image_id,nutrient,quantity,unit,context
1.jpeg,Magnesium (gesamt),400,mg,per_daily_dose
1.jpeg,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose
1.jpeg,Magnesiumoxid,400,mg,per_daily_dose
1.jpeg,Magnesiumbisglycinat,350,mg,per_daily_dose
1.jpeg,Magnesiummalat,333,mg,per_daily_dose
2.jpeg,Energie/energy,1195,kJ,per_100g
2.jpeg,Energie/energy,281,kcal,per_100g
2.jpeg,Energie/energy,837,kJ,per_serving
2.jpeg,Energie/energy,197,kcal,per_serving
2.jpeg,Fett/fat,0,g,per_100g
2.jpeg,Fett/fat,0,g,per_serving
2.jpeg,davon gesättigte Fettsäuren/of which saturates,0,g,per_100g
2.jpeg,davon gesättigte Fettsäuren/of which saturates,0,g,per_serving
2.jpeg,Kohlenhydrate/carbohydrates,70,g,per_100g
2.jpeg,Kohlenhydrate/carbohydrates,50,g,per_serving
2.jpeg,davon Zuckerarten/of which sugars,33,g,per_100g
2.jpeg,davon Zuckerarten/of which sugars,25,g,per_serving
2.jpeg,Eiweiss/Protein,0,g,per_100g
2.jpeg,Eiweiss/Protein,0,g,per_serving
2.jpeg,Salz/salt,0.43,g,per_100g
2.jpeg,Salz/salt,0.30,g,per_serving
2.jpeg,Natrium/sodium,120,mg,per_serving
2.jpeg,Kalium/potassium,110,mg,per_serving
4.jpeg,ENERGY,952,kJ,per_100g
4.jpeg,ENERGY,224,KCAL,per_100g
4.jpeg,FAT,0,,per_100g
4.jpeg,OF WHICH SATURATES,0,,per_100g
4.jpeg,CARBOHYDRATE,56,g,per_100g
4.jpeg,OF WHICH SUGARS,6.1,g,per_100g
4.jpeg,PROTEIN,0,,per_100g
4.jpeg,SALT,0.12,g,per_100g
6.jpeg,VITAMIN C,28,mg,per_serving
6.jpeg,MAGNESIUM,56,mg,per_serving
6.jpeg,KALIUM,70,mg,per_serving
6.jpeg,CALCIUM,9,mg,per_serving
6.jpeg,NATRIUM,200,mg,per_serving
6.jpeg,GRÜNER TEE,1,mg,per_serving
8.jpeg,ENERGY,892,kJ,per_serving
8.jpeg,ENERGY,1486,kJ,per_100g
8.jpeg,ENERGY,213,kcal,per_serving
8.jpeg,ENERGY,355,kcal,per_100g
8.jpeg,PROTEIN,2.2,g,per_serving
