image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,100,100,100,100,100
101.png,11,8,8,100,100,100,100,100
102.png,18,17,14,71,93,57,64,50
103.jpeg,18,17,15,80,80,87,67,60
104.jpeg,18,19,15,80,80,87,73,73
105.png,18,13,13,69,100,54,62,38
106.png,2,7,1,100,0,0,0,0
107.png,10,13,7,86,57,100,57,57
108.jpeg,11,15,6,67,67,100,67,67
109.jpeg,9,11,8,100,100,100,88,88
110.jpeg,6,4,4,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,20,7,5,60,100,100,60,60
114.jpeg,20,8,6,100,100,100,100,100
115.png,9,13,8,88,88,100,75,75
116.jpeg,18,4,4,50,50,50,50,50
117.jpeg,9,2,2,0,0,100,0,0
118.jpeg,20,5,2,0,100,0,0,0
119.jpeg,20,4,2,0,100,0,0,0
12.png,16,16,14,93,100,86,14,14
120.jpeg,26,40,5,80,60,100,60,60
121.jpeg,20,11,2,50,100,100,50,50
15.png,42,15,12,83,100,100,83,83
17.png,4,7,2,100,100,100,100,100
2.png,16,11,11,64,82,55,64,36
20.png,48,63,37,46,59,81,24,24
201.jpeg,16,11,7,100,100,43,0,0
26.png,8,5,5,20,80,100,20,20
27.png,13,18,10,80,70,100,30,30
30.png,18,12,12,100,67,100,33,33
33.png,26,28,19,95,100,89,74,74
34.png,40,43,25,84,100,100,84,84
35.jpeg,4,3,3,67,67,67,67,67
4.png,8,31,5,60,100,100,60,60
41.png,8,6,5,60,80,100,60,60
42.png,18,7,7,100,43,71,29,29
45_1.png,18,8,8,62,62,88,38,38
45_2.png,8,6,5,80,80,100,80,80
51.png,18,14,10,70,100,60,0,0
53.png,18,13,12,100,100,58,0,0
56.jpeg,10,3,2,0,100,50,0,0
57.jpeg,10,9,4,75,100,50,0,0
59.png,28,30,21,86,81,100,24,24
6.png,6,5,4,100,100,100,100,100
61.png,22,18,15,100,100,100,0,0
63.png,22,17,15,100,100,100,0,0
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,1,0,0,0,0,0,0
68.jpeg,34,10,7,0,71,57,0,0
78.jpeg,2,9,1,0,0,100,0,0
8.png,18,9,9,44,56,78,0,0
82.jpeg,12,5,5,20,20,80,0,0
88.png,16,13,9,78,100,100,33,33
9.jpeg,4,7,4,75,100,25,75,0
90.png,17,17,12,92,100,92,75,67
91.png,16,21,12,100,100,100,67,67
