image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,7,4,100,100,100,100,100
101.png,11,12,11,91,91,100,91,91
102.png,18,22,16,75,94,56,62,50
103.jpeg,18,28,17,76,82,88,65,59
104.jpeg,18,25,15,80,80,87,73,73
105.png,18,18,15,73,100,53,60,40
106.png,2,10,2,100,50,0,0,0
107.png,10,18,9,78,44,100,44,44
108.jpeg,11,19,8,75,62,100,62,62
109.jpeg,9,14,9,100,100,100,89,89
110.jpeg,6,6,6,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,20,25,14,50,100,86,50,50
114.jpeg,20,27,15,80,100,80,80,80
115.png,9,16,9,89,89,100,78,78
116.jpeg,18,23,15,100,80,100,67,67
117.jpeg,9,8,7,57,14,100,14,14
118.jpeg,20,20,12,0,83,25,0,0
119.jpeg,20,23,10,0,100,20,0,0
12.png,16,19,14,86,100,86,14,14
120.jpeg,26,78,17,94,59,100,59,59
121.jpeg,20,32,12,92,83,100,75,75
15.png,42,15,12,83,100,100,83,83
17.png,4,7,3,100,100,100,100,100
2.png,16,14,13,69,77,54,54,31
20.png,48,86,39,46,62,82,26,26
201.jpeg,16,18,12,75,100,50,0,0
26.png,8,8,6,33,83,100,33,33
27.png,13,21,11,82,73,100,27,27
30.png,18,17,17,100,59,100,24,24
33.png,26,32,23,96,91,91,70,70
34.png,40,58,39,90,100,97,90,87
35.jpeg,4,5,3,67,67,67,67,67
4.png,8,71,6,67,100,100,50,50
41.png,8,9,6,67,83,100,50,50
42.png,18,12,12,100,50,83,17,17
45_1.png,18,13,13,77,62,100,38,38
45_2.png,8,7,6,67,67,100,67,67
51.png,18,17,12,75,83,58,0,0
53.png,18,16,15,100,87,53,0,0
56.jpeg,10,9,4,25,100,50,0,0
57.jpeg,10,12,4,75,100,50,0,0
59.png,28,38,23,83,83,100,22,22
6.png,6,7,5,100,100,100,100,100
61.png,22,20,19,100,100,100,0,0
63.png,22,23,19,95,100,95,0,0
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,2,0,0,0,0,0,0
68.jpeg,34,25,10,0,50,50,0,0
78.jpeg,2,12,1,0,0,100,0,0
8.png,18,11,11,36,45,91,0,0
82.jpeg,12,9,6,17,33,67,0,0
88.png,16,13,9,78,100,100,33,33
9.jpeg,4,15,4,75,100,25,75,0
90.png,17,20,16,81,75,81,56,50
91.png,16,23,15,93,80,93,53,53
