image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,7,4,100,100,100,100,100
101.png,11,12,11,91,91,100,91,91
102.png,18,22,13,77,92,62,77,62
103.jpeg,18,31,17,76,82,88,65,59
104.jpeg,18,28,15,80,80,87,73,73
105.png,18,18,13,69,100,54,69,46
106.png,2,7,2,100,50,0,50,0
107.png,10,16,10,80,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,100,100,100,100
110.jpeg,6,4,4,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,22,14,50,100,86,50,50
114.jpeg,20,19,15,80,100,80,80,80
115.png,9,16,8,88,88,100,88,88
116.jpeg,18,12,12,100,100,100,100,100
117.jpeg,9,8,7,57,14,100,14,14
118.jpeg,20,12,11,9,100,27,0,0
119.jpeg,20,12,10,0,100,20,0,0
12.png,16,17,11,91,100,91,73,73
120.jpeg,26,63,22,86,59,100,50,50
121.jpeg,20,23,11,82,91,91,82,82
15.png,42,9,9,100,100,100,100,100
17.png,4,7,4,100,75,100,75,75
2.png,16,14,13,69,77,54,54,31
20.png,48,69,39,38,54,82,21,21
201.jpeg,16,16,7,100,100,57,100,57
26.png,8,7,6,17,83,100,17,17
27.png,13,21,12,83,75,100,25,25
30.png,18,15,13,100,46,100,15,15
33.png,26,31,22,95,91,95,86,86
34.png,40,62,39,95,100,97,95,92
35.jpeg,4,5,3,67,67,67,67,67
4.png,8,31,7,71,86,100,71,71
41.png,8,7,6,67,83,100,67,67
42.png,18,9,9,100,56,78,11,11
45_1.png,18,10,10,70,70,90,40,40
45_2.png,8,7,6,67,67,100,67,67
51.png,18,17,11,73,82,55,0,0
53.png,18,16,13,100,85,54,0,0
56.jpeg,10,6,4,25,100,50,25,25
57.jpeg,10,12,4,75,100,50,75,25
59.png,28,37,25,76,76,100,56,56
6.png,6,6,6,100,100,100,100,100
61.png,22,24,19,100,100,100,100,100
63.png,22,23,19,95,100,95,84,84
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,11,2,0,100,50,0,0
78.jpeg,2,9,2,0,0,50,0,0
8.png,18,12,10,40,40,100,0,0
82.jpeg,12,7,5,20,40,60,0,0
88.png,16,13,9,78,100,100,78,78
9.jpeg,4,15,4,75,100,25,75,0
90.png,17,20,16,81,75,81,69,62
91.png,16,23,15,93,80,93,80,80
