image_id,nutrient,quantity,unit,context
1.png,Nahrstoffe,400,mg,per_daily_dose
1.png,Magnesium (gesamt,400,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiumbisglycinat,350,mg,per_daily_dose
1.png,Magnesiummalat,333,mg,per_daily_dose
1.png,Nahr,,,per_daily_dose
2.png,Fett/fat,1616,,per_100g
2.png,davon gesattigte Fettsauren,1616,,per_100g
2.png,of which saturates,70,g,per_100g
2.png,of which saturates,50,g,per_daily_dose
2.png,Kohlenhydrate/carbohydrates,70,g,per_100g
2.png,Kohlenhydrate/carbohydrates,50,g,per_daily_dose
2.png,davon Zuckerarten/of which sugars,33,g,per_100g
2.png,davon Zuckerarten/of which sugars,25,g,per_daily_dose
2.png,Eiweiss/Protein,0,g,per_100g
2.png,Salz/salt,0.43,g,per_100g
2.png,Salz/salt,0.30,g,per_daily_dose
4.png,ENERGY,952,kcal,per_100g
4.png,ENERGY,224,kcal,per_100g
4.png,VALORE ENERGETICO,952,kcal,per_100g
4.png,VALORE ENERGETICO,224,kcal,per_100g
4.png,VALOR ENERGETICO,952,kcal,per_100g
4.png,VALOR ENERGETICO,224,kcal,per_100g
4.png,energie,952,kcal,per_100g
4.png,energie,224,kcal,per_100g
4.png,Energie,952,kcal,per_100g
4.png,Energie,224,kcal,per_100g
4.png,FAT,0,g,per_100g
4.png,GRASSI,0,g,per_100g
4.png,PASVAT,0,g,per_100g
4.png,lipides,0,g,per_100g
4.png,GRASAS,0,g,per_100g
4.png,GRAISSES,0,g,per_100g
4.png,VETTEN,0,g,per_100g
4.png,FEDT,0,g,per_100g
4.png,FETT,0,g,per_100g
4.png,saturates,0,g,per_100g
4.png,DI CUI DOSQUAS,952,kcal,per_100g
4.png,PASVA,0,g,per_100g
4.png,DE LAS CUALES DONTACIDES WAARVAN,0,g,per_100g
4.png,DYTTYNEITA,0,g,per_100g
4.png,DI TURI,0,g,per_100g
4.png,SATURALAS,0,g,per_100g
4.png,SATURATES,0,g,per_100g
4.png,verzadigde vetzuren,0,g,per_100g
4.png,GRASSATURES,0,g,per_100g
4.png,FEDTSYRER,0,g,per_100g
4.png,FEDTSYRER,56,g,per_100g
4.png,Fettsauren,0,g,per_100g
4.png,Fettsauren,56,g,per_100g
4.png,carbohydrates,56,g,per_100g
4.png,carbohydrate,56,g,per_100g
4.png,HUL/HYDRAATTI,56,g,per_100g
4.png,HIDRATOS DE CABBONO,56,g,per_100g
4.png,HIDRATOSDE CABBONO,6.7,g,per_100g
4.png,HIDRATOSDE CABBONO,56,g,per_100g
4.png,glucides,6.7,g,per_100g
4.png,glucides,56,g,per_100g
4.png,KOOLHYDRATEN,6.7,g,per_100g
4.png,KOOLHYDRATEN,56,g,per_100g
4.png,KULHYDRAT,6.7,g,per_100g
4.png,KULHYDRAT,56,g,per_100g
4.png,Kohlenhydrate,6.7,g,per_100g
4.png,Kohlenhydrate,56,g,per_100g
4.png,DI CUI ZUCCHERI,6.7,g,per_100g
4.png,OFWHICHRUGARS,6.7,g,per_100g
4.png,DOS QUAIS ACUCARES,6.7,g,per_100g
4.png,JOISTA SOKERETTA,6.7,g,per_100g
4.png,DELOSCUALESAZUCARES,6.7,g,per_100g
4.png,DONT SUCRES WAARVAN SUIKERS HERAF SUKKERARTER,6.7,g,per_100g
4.png,DAVON ZUCKER,6.7,g,per_100g
4.png,PROTEIN,0.12,g,per_100g
4.png,proteines,6.7,g,per_100g
4.png,0.1a,6.7,g,per_100g
4.png,0.1a,0.12,g,per_100g
4.png,0.1a,56,g,per_100g
4.png,proteins,6.7,g,per_100g
4.png,protein,0.12,g,per_100g
4.png,protein,6.7,g,per_100g
4.png,PROTEINES,56,g,per_100g
4.png,EIWITTEN,0.12,g,per_100g
4.png,eiweiss,0.12,g,per_100g
4.png,SALE,0.12,g,per_100g
4.png,SALT,0.12,g,per_100g
4.png,SUOLA,0.12,g,per_100g
4.png,SAL,0.12,g,per_100g
4.png,SEL,0.12,g,per_100g
4.png,ZCUT,0.12,g,per_100g
6.png,VITAMIN C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,POTASSIUM,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,SODIUM,200,mg,per_serving
8.png,protein,2.2,,per_serving
8.png,protein,3.7,,per_100g
8.png,FAT: (g,4.8,g,per_serving
8.png,FAT: (g,7.9,g,per_100g
8.png,- SATURATED FAT (g,4.8,g,per_serving
8.png,carbohydrate,7.9,,per_100g
8.png,-SUGARS (g,21271,g,per_serving
8.png,-SUGARS (g,2823232,g,per_100g
8.png,dietary fibre,2823232,,per_100g
