image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,6,4,100,100,100,100,100
101.png,11,10,9,89,89,100,89,89
102.png,18,20,16,69,94,56,62,50
103.jpeg,18,25,14,71,86,86,64,57
104.jpeg,18,22,12,83,92,83,83,83
105.png,18,17,15,73,100,53,60,40
106.png,2,7,2,100,50,0,0,0
107.png,10,18,9,78,44,100,44,44
108.jpeg,11,18,8,75,62,100,62,62
109.jpeg,9,13,9,100,100,100,89,89
110.jpeg,6,4,4,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,20,19,14,50,100,86,50,50
114.jpeg,20,19,15,80,100,80,80,80
115.png,9,15,9,89,89,100,78,78
116.jpeg,18,14,12,100,100,100,83,83
117.jpeg,9,5,4,25,50,100,25,25
118.jpeg,20,13,8,0,100,0,0,0
119.jpeg,20,14,10,0,100,20,0,0
12.png,16,10,7,86,86,100,0,0
120.jpeg,26,67,15,87,53,100,47,47
121.jpeg,20,18,10,90,100,100,90,90
15.png,42,15,12,83,100,100,83,83
17.png,4,7,3,100,100,100,100,100
2.png,16,11,11,64,82,55,64,36
20.png,48,62,32,47,59,78,28,28
201.jpeg,16,14,10,80,80,50,0,0
26.png,8,5,5,20,80,100,20,20
27.png,13,21,11,82,73,100,27,27
30.png,18,12,12,100,67,100,33,33
33.png,26,25,17,94,100,88,71,71
34.png,40,57,39,90,100,97,90,87
35.jpeg,4,5,4,75,100,50,75,50
4.png,8,71,7,86,86,100,57,57
41.png,8,8,7,86,86,100,57,57
42.png,18,9,9,100,56,78,22,22
45_1.png,18,8,8,62,62,88,38,38
45_2.png,8,6,5,80,80,100,80,80
51.png,18,16,10,70,100,60,0,0
53.png,18,14,13,100,100,54,0,0
56.jpeg,10,6,4,25,100,50,0,0
57.jpeg,10,12,4,75,100,50,0,0
59.png,28,37,23,83,83,100,22,22
6.png,6,5,5,100,100,100,100,100
61.png,22,14,13,100,100,100,0,0
63.png,22,13,11,100,100,100,0,0
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,2,0,0,0,0,0,0
68.jpeg,34,9,6,0,83,50,0,0
78.jpeg,2,9,1,0,0,100,0,0
8.png,18,9,9,44,56,78,0,0
82.jpeg,12,6,5,20,40,60,0,0
88.png,16,12,8,75,100,100,38,38
9.jpeg,4,15,4,75,100,25,75,0
90.png,17,17,13,85,92,85,69,62
91.png,16,20,12,100,100,100,67,67
