Experiment  : exp41_thresh40_llm2
Pipeline    : Geometry-Aware V2 (PaddleOCR + Token Enricher + Graph V2)
Classifier  : embedding_only
Evaluator   : LLM-Assisted (qwen2.5:7b)
Schema      : nutrient|quantity|unit|context
Timestamp   : 2026-04-11T21:12:02.216444
Notes       : 

Full Tuple Precision : 37.0%
Full Tuple Recall    : 39.3%
Full Tuple F1        : 38.1%
Nutrient F1          : 0.614
Unit Acc             : 86.1%
Context Acc          : 83.6%

LLM calls    : 156
Fast hits    : 252
Eval time    : 1850.9s
