image_id,nutrient,quantity,unit,context
1.png,Magnesiumoxid,400,,
1.png,Magnesiumoxid,mg,,
1.png,Magnesiumbisglycinat,333,,
1.png,Magnesiumbisglycinat,350,,
1.png,Magnesiumbisglycinat,mg,,
1.png,Magnesiummalat,333,,
1.png,Magnesiummalat,mg,,
101.png,Fett,0.8,,
101.png,Fett,g,,
101.png,Kohlenhydrate,,,
101.png,Ballaststoffe,3.0,,
101.png,Ballaststoffe,g,,
101.png,Eiweiss,6.3,,
101.png,Eiweiss,g,,
101.png,Salz,0.09,,
101.png,Salz,g,,
101.png,Thiamin,,,
101.png,Natrium,36,,
101.png,Natrium,mg,,
102.png,Fett,,,
102.png,Fettsauren,1.1,,
102.png,Fettsauren,g,,
102.png,Fettsauren,7.9,,
102.png,Kohlenhydrate,,,
102.png,Ballaststoffe,0.6,,
102.png,Ballaststoffe,0.7,,
102.png,Ballaststoffe,g,,
102.png,Eiweiss,0.14,,
102.png,Eiweiss,5.9,,
102.png,Eiweiss,g,,
102.png,Salz,0.14,,
102.png,Salz,g,,
102.png,AA,0.14,,
103.jpeg,Fett,0.4,,
103.jpeg,Fett,g,,
103.jpeg,Kohlenhydrate,51,,
103.jpeg,Kohlenhydrate,g,,
103.jpeg,Ballaststoffe,7.7,,
103.jpeg,Ballaststoffe,51,,
103.jpeg,Ballaststoffe,g,,
103.jpeg,Eiweiss,7.7,,
103.jpeg,Eiweiss,g,,
103.jpeg,Eiweiss,66.0,,
103.jpeg,Salz,7.7,,
103.jpeg,Salz,g,,
103.jpeg,Salz,66.0,,
104.jpeg,Fett,51,,
104.jpeg,Fett,kcal,,
104.jpeg,Kohlenhydrate,72,,
104.jpeg,Kohlenhydrate,g,,
104.jpeg,Kohlenhydrate,10,,
104.jpeg,Ballaststoffe,10,,
104.jpeg,Ballaststoffe,3.2,,
104.jpeg,Ballaststoffe,72,,
104.jpeg,Eiweif,10,,
104.jpeg,Eiweif,3.2,,
104.jpeg,Eiweif,0.1,,
104.jpeg,Salz,3.2,,
104.jpeg,Salz,0.1,,
104.jpeg,Salz,g,,
105.png,0.3,0.0,,
105.png,g,g,,
105.png,Fett,,,
105.png,Fettsauren,0.4,,
105.png,Fettsauren,g,,
105.png,Kohlenhydrate,6.2,,
105.png,Kohlenhydrate,g,,
105.png,Ballaststoffe,15.5,,
105.png,Ballaststoffe,g,,
105.png,Ballaststoffe,0.8,,
105.png,Eiweiss,0.00,,
105.png,Eiweiss,g,,
105.png,Salz,0.03,,
105.png,Salz,g,,
106.png,VitaminE,,,
106.png,Magnezij,,,
107.png,Vitamin B1,1.1,,
107.png,Vitamin B1,1.4,,
107.png,Vitamin B1,mg,,
107.png,Vitamin B2,1.4,,
107.png,Vitamin B2,mg,,
107.png,Vitamin B6,1.4,,
107.png,Vitamin B6,mg,,
107.png,Vitamin B12,,,
107.png,VitaminC,,,
107.png,Vitamin E,,,
107.png,Niacin,50,,
107.png,Niacin,g,,
107.png,Biotin,200,,
107.png,Biotin,50,,
107.png,Biotin,g,,
