image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
103.jpeg,Fett,Fett,0.4,0.4,g,,per_serving,,True,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,,True,False,False,False,False
103.jpeg,Eiweiß,Eiweiss,7.7,7.7,g,,per_100g,,True,False,False,False,False
103.jpeg,Fett,Fett,3.7,g,g,,per_100g,,False,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,g,g,,per_serving,,False,False,False,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,51,g,,per_serving,,False,False,False,False,False
103.jpeg,Eiweiß,Eiweiss,0.9,g,g,,per_serving,,False,False,False,False,False
103.jpeg,Salz,Salz,0,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Salz,Salz,0,g,g,,per_serving,,False,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,72,g,,per_100g,,True,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,10,10,g,,per_serving,,True,False,False,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,10,10,g,,per_100g,,True,False,False,False,False
104.jpeg,Salz,Salz,0.1,0.1,g,,per_100g,,True,False,False,False,False
104.jpeg,Fett,Fett,2.6,51,g,,per_100g,,False,False,False,False,False
104.jpeg,Fett,Fett,0,kcal,g,,per_serving,,False,False,False,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,1.4,3.2,g,,per_serving,,False,False,False,False,False
104.jpeg,Salz,Salz,0,3.2,g,,per_serving,,False,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,240,mg,,per_serving,,True,False,False,False,False
108.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,,per_serving,,True,False,False,False,False
