image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.jpeg,5,0,0,0,0,0,0,0
1.png,0,7,0,0,0,0,0,0
101.jpeg,11,0,0,0,0,0,0,0
101.png,0,12,0,0,0,0,0,0
102.jpeg,18,0,0,0,0,0,0,0
102.png,0,14,0,0,0,0,0,0
103.jpeg,18,13,10,30,0,0,0,0
104.jpeg,18,14,8,50,0,0,0,0
105.jpeg,18,0,0,0,0,0,0,0
105.png,0,14,0,0,0,0,0,0
106.jpeg,2,0,0,0,0,0,0,0
106.png,0,2,0,0,0,0,0,0
107.jpeg,10,0,0,0,0,0,0,0
107.png,0,18,0,0,0,0,0,0
108.jpeg,11,21,7,57,0,0,0,0
109.jpeg,9,16,6,100,0,0,0,0
110.jpeg,6,8,6,100,0,0,0,0
111.jpeg,1,3,1,100,0,0,0,0
112.jpeg,1,3,0,0,0,0,0,0
113.jpeg,28,9,8,12,0,0,0,0
114.jpeg,20,10,8,0,0,0,0,0
115.jpeg,9,0,0,0,0,0,0,0
115.png,0,15,0,0,0,0,0,0
116.jpeg,18,6,5,40,0,0,0,0
117.jpeg,18,5,5,20,0,0,0,0
118.jpeg,20,8,5,0,0,0,0,0
119.jpeg,19,9,5,0,0,0,0,0
12.jpeg,16,0,0,0,0,0,0,0
120.jpeg,26,14,6,0,0,0,0,0
121.jpeg,20,6,4,50,0,0,0,0
122.jpeg,2,0,0,0,0,0,0,0
15.jpeg,42,0,0,0,0,0,0,0
16.jpeg,40,0,0,0,0,0,0,0
17.jpeg,4,0,0,0,0,0,0,0
17.png,0,10,0,0,0,0,0,0
2.jpeg,18,0,0,0,0,0,0,0
2.png,0,3,0,0,0,0,0,0
20.jpeg,48,0,0,0,0,0,0,0
20.png,0,6,0,0,0,0,0,0
201.jpeg,16,0,0,0,0,0,0,0
26.jpeg,8,0,0,0,0,0,0,0
26.png,0,11,0,0,0,0,0,0
27.png,0,4,0,0,0,0,0,0
30.jpeg,18,0,0,0,0,0,0,0
30.png,0,2,0,0,0,0,0,0
33.jpeg,26,0,0,0,0,0,0,0
33.png,0,10,0,0,0,0,0,0
34.jpeg,40,0,0,0,0,0,0,0
34.png,0,29,0,0,0,0,0,0
35.jpeg,4,6,4,75,0,0,0,0
4.jpeg,8,0,0,0,0,0,0,0
4.png,0,24,0,0,0,0,0,0
41.jpeg,8,0,0,0,0,0,0,0
41.png,0,9,0,0,0,0,0,0
42.jpeg,18,0,0,0,0,0,0,0
42.png,0,3,0,0,0,0,0,0
45.jpeg,18,0,0,0,0,0,0,0
45_1.png,0,2,0,0,0,0,0,0
45_2.png,0,12,0,0,0,0,0,0
51.jpeg,18,0,0,0,0,0,0,0
51.png,0,3,0,0,0,0,0,0
53.jpeg,18,0,0,0,0,0,0,0
53.png,0,6,0,0,0,0,0,0
56.jpeg,10,8,2,50,0,0,0,0
57.jpeg,10,10,4,25,0,0,0,0
59.jpeg,28,0,0,0,0,0,0,0
59.png,0,2,0,0,0,0,0,0
6.jpeg,6,0,0,0,0,0,0,0
6.png,0,12,0,0,0,0,0,0
61.jpeg,22,0,0,0,0,0,0,0
63.jpeg,22,0,0,0,0,0,0,0
64.jpeg,8,0,0,0,0,0,0,0
64.png,0,10,0,0,0,0,0,0
67.jpeg,2,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,0,0,0,0,0,0,0
8.jpeg,18,0,0,0,0,0,0,0
8.png,0,3,0,0,0,0,0,0
82.jpeg,12,5,5,20,40,0,0,0
88.jpeg,16,0,0,0,0,0,0,0
9.jpeg,4,7,4,50,0,0,0,0
90.jpeg,17,0,0,0,0,0,0,0
90.png,0,1,0,0,0,0,0,0
91.jpeg,16,0,0,0,0,0,0,0
91.png,0,2,0,0,0,0,0,0
