image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.jpeg,Magnesiumoxid,magnesiumoxid,400,,mg,,per_daily_dose,400,False,False,False,False,False
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,,False,False,False,False,False
101.jpeg,Energie,g,383,,kcal,,per_100g,,False,False,False,False,False
101.jpeg,Fett,Fett,0.8,,g,,per_100g,,False,False,False,False,False
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,,g,,per_100g,,False,False,False,False,False
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,,g,,per_100g,,False,False,False,False,False
101.jpeg,Salz,Salz,0.09,,g,,per_100g,,False,False,False,False,False
101.jpeg,Thiamin,Thiamin,0.44,,mg,,per_100g,,False,False,False,False,False
101.jpeg,Natrium,Natrium,36,,mg,,per_100g,,False,False,False,False,False
102.jpeg,Fett,Fett,7.7,,g,,per_100g,,False,False,False,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,,g,,per_100g,,False,False,False,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,,g,,per_100g,,False,False,False,False,False
102.jpeg,Salz,Salz,0.14,,g,,per_100g,,False,False,False,False,False
102.jpeg,Fett,Fettsauren,1.0,,g,,per_serving,,False,False,False,False,False
103.jpeg,Energie,Energie,1383,Nahrwerte,kJ,,per_100g,pro,False,False,False,False,False
103.jpeg,Energie,Energie,328,39,kcal,,per_100g,pro,False,False,False,False,False
103.jpeg,Fett,Fett,3.7,39,g,,per_100g,pro,False,False,False,False,False
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,kcal,g,,per_100g,pro,False,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,pro,True,False,False,False,False
103.jpeg,davon Zucker,davon Zucker,51,51,g,,per_100g,pro,True,False,False,False,False
103.jpeg,Salz,Salz,0,66.0,g,,per_100g,pro,False,False,False,False,False
103.jpeg,Energie,Energie,166,12,kJ,g,per_serving,pro,False,False,False,False,False
103.jpeg,Energie,g,39,51,kcal,,per_serving,pro,False,False,False,False,False
103.jpeg,Fett,Fettsauren,0.4,51,g,,per_serving,pro,False,False,False,False,False
103.jpeg,davon gesättigte Fettsäuren,g,0,g,g,,per_serving,pro,False,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,6.1,g,,per_serving,pro,True,False,False,False,False
103.jpeg,davon Zucker,davon Zucker,6.1,6.1,g,,per_serving,pro,True,False,False,False,False
104.jpeg,Energie,Energie,1528,,kJ,,per_100g,,False,False,False,False,False
104.jpeg,Fett,Fett,2.6,,g,,per_100g,,False,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,,g,,per_100g,,False,False,False,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,10,,g,,per_100g,,False,False,False,False,False
104.jpeg,Salz,Salz,0.1,,g,,per_100g,,False,False,False,False,False
104.jpeg,Fett,Fettsauren,0,,g,,per_serving,,False,False,False,False,False
105.jpeg,Energie,Energie,1320,,kJ,,per_100g,,False,False,False,False,False
105.jpeg,Fett,Fett,2.7,,g,,per_100g,,False,False,False,False,False
105.jpeg,Kohlenhydrate,Kohlenhydrate 52.1g,52.1,,g,,per_100g,,False,False,False,False,False
105.jpeg,Salz,Salz,0.03,,g,,per_100g,,False,False,False,False,False
105.jpeg,Fett,Fettsauren,0.3,,g,,per_serving,,False,False,False,False,False
106.jpeg,Vitamin E / Vitamine E / Vitamina E / E-vitamin / Vitamin E,VitaminE,12,12,mg α-TE,,per_serving,NRV/,True,False,True,False,False
107.jpeg,Vitamin B1,Vitamin B12,1.1,,mg,,per_daily_dose,,False,False,False,False,False
107.jpeg,Vitamin B2,Vitamin B2,1.4,,mg,,per_daily_dose,,False,False,False,False,False
107.jpeg,Vitamin B6,Vitamin B6,1.4,,mg,,per_daily_dose,,False,False,False,False,False
107.jpeg,Vitamin E,Vitamin E,12,,mg α-TE,,per_daily_dose,,False,False,False,False,False
107.jpeg,Niacin,Niacin,16,,mg NE,,per_daily_dose,,False,False,False,False,False
107.jpeg,Biotin,Biotin,50,,µg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,,mg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Vitamin B1,Vitamin B1,1.1,,mg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Vitamin B2,Vitamin B2,1.4,,mg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Vitamin B6,Vitamin B6,1.4,,mg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Vitamin B12,Vitamin B12,2.5,,µg,,per_daily_dose,,False,False,False,False,False
108.jpeg,Biotin,Biotin,50,,µg,,per_daily_dose,,False,False,False,False,False
109.jpeg,Brennwert,Brennwert,420,,kJ,,per_100g,,False,False,False,False,False
109.jpeg,Fett,Fett,0,,g,,per_100g,,False,False,False,False,False
109.jpeg,- davon gesättigte Fettsäuren,g,0.2,,g,,per_100g,,False,False,False,False,False
109.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,,g,,per_100g,,False,False,False,False,False
109.jpeg,Ballaststoffe,Ballaststoffe,1.5,,g,,per_100g,,False,False,False,False,False
109.jpeg,Salz,Salz,0.05,,g,,per_100g,,False,False,False,False,False
110.jpeg,Melissen Extrakt,Melissen Extrakt,15,,mg,,per_serving,,False,False,False,False,False
110.jpeg,Niacin,Niacin,8.0,,mg NE,,per_serving,,False,False,False,False,False
111.jpeg,Vitamin B12,Vitamin B12,17.5,700%,µg,,per_daily_dose,,False,False,False,False,False
115.jpeg,Fett,Fett,0,,g,,per_100g,,False,False,False,False,False
115.jpeg,- davon gesättigte Fettsäuren,g,0.2,,g,,per_100g,,False,False,False,False,False
115.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,,g,,per_100g,,False,False,False,False,False
115.jpeg,Ballaststoffe,Ballaststoffe,1.6,,g,,per_100g,,False,False,False,False,False
116.jpeg,ENERGIE,ENERGIE,1696,,kJ,,per_100g,,False,False,False,False,False
116.jpeg,FETT:,FETT:,12.0,,g,,per_100g,,False,False,False,False,False
116.jpeg,KOHLENHYDRATE:,KOHLENHYDRATE:,27.0,,g,,per_100g,,False,False,False,False,False
116.jpeg,BALLASTSTOFFE,Ballaststoffe,12.0,,g,,per_100g,,False,False,False,False,False
116.jpeg,SALZ,SALZ,2.02,,g,,per_100g,,False,False,False,False,False
118.jpeg,ENERGIE,g,1440,,kJ,,per_100g,,False,False,False,False,False
119.jpeg,ENERGIE,g,1471,g,kJ,,per_100g,,False,False,False,False,False
12.jpeg,Energie / Energia / Energie / Energi / Energia / Energi,g,547,32,kJ,,per_100ml,g,False,False,False,False,False
12.jpeg,Energie / Energia / Energie / Energi / Energia / Energi,g,129,g,kcal,,per_100ml,g,False,False,False,False,False
12.jpeg,Vetten / Rasva / Matières grasses / Fett / Tłuszcze / Fett,g,0.0,0.0,g,,per_100ml,g,True,False,False,False,False
120.jpeg,INOSITOL,INOSITOL,100,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,ALPHA-LIPONSÄURE,R,42,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,CHOLIN,choline,20,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,RUTIN,RUTIN,20,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,LACTOBACILLUS ACIDOPHILUS,LACTOBACILLUS,3.6 x 10^8,,KBE,,per_daily_dose,,False,False,False,False,False
120.jpeg,VITAMIN C,V,250,,mg,,per_daily_dose,ON,False,False,False,False,False
120.jpeg,NIACIN,Niacin,16,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,VITAMIN B1,1,1,22,mg,,per_daily_dose,ON,False,False,False,False,False
120.jpeg,BIOTIN,Biotin,40,Jod,µg,,per_daily_dose,,False,False,False,False,False
120.jpeg,VITAMIN B12,1,4.1,100,µg,g,per_daily_dose,ON,False,False,False,False,False
120.jpeg,CALCIUM,Calcium,121,,mg,,per_daily_dose,,False,False,False,False,False
120.jpeg,ZINK,ZINK,6.5,100,mg,g,per_daily_dose,ON,False,False,False,False,False
120.jpeg,SELEN,SELEN,22,22,µg,,per_daily_dose,ON,True,False,False,False,False
120.jpeg,KUPFER,KUPFER,1,,mg,,per_daily_dose,ON,False,False,False,False,False
120.jpeg,MANGAN,MANGAN,0.4,,mg,,per_daily_dose,ON,False,False,False,False,False
120.jpeg,CHROM,CHROM,25,,µg,,per_daily_dose,ON,False,False,False,False,False
121.jpeg,ENERGIE,g,1.401,KOHLENHYDRATE:,kJ,,per_100g,KJ/KCAL,False,False,False,False,False
121.jpeg,ENERGIE,g,336,-DAVONMEHRWERTIGEALKOHOLE,kcal,,per_100g,KJ/KCAL,False,False,False,False,False
