image_id,ocr_total,ocr_low_conf,ocr_passed,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_noise,clf_unknown,clf_noise_pct,graph_same_row,graph_same_col,graph_adjacent,graph_ctx_scope,graph_total_edges,assoc_tuples,assoc_no_qty,assoc_no_unit,assoc_no_ctx,gt_tuples,lost_at_ocr,lost_at_clf,lost_at_graph,lost_at_assoc
1.jpeg,19,5,14,2,2,2,0,6,9,31.6,52,26,40,0,118,1,0,0,1,5,3,9,0,0
101.jpeg,21,0,21,10,7,1,1,0,3,0.0,32,114,56,18,220,12,2,11,0,11,1,3,0,2
102.jpeg,28,1,27,9,13,1,1,1,4,3.6,212,178,78,23,491,18,0,8,0,18,9,4,0,0
103.jpeg,31,0,31,8,14,6,0,0,8,0.0,296,316,180,0,792,16,0,0,16,18,10,8,0,0
104.jpeg,30,2,28,8,13,4,0,2,6,6.7,200,254,114,0,568,16,0,0,16,18,10,6,0,0
105.jpeg,23,4,19,4,9,4,1,5,3,21.7,104,122,58,17,301,8,0,0,0,18,14,3,1,0
106.jpeg,29,17,12,5,1,0,0,17,6,58.6,20,22,22,0,64,5,5,5,5,2,0,6,0,5
107.jpeg,26,14,12,6,2,0,0,14,4,53.8,18,38,22,0,78,6,3,6,6,10,4,4,0,3
108.jpeg,45,11,34,11,6,3,0,13,15,28.9,40,160,96,0,296,10,6,10,10,11,0,15,0,6
109.jpeg,21,1,20,8,7,4,1,1,4,4.8,34,60,68,19,181,8,1,1,0,9,1,4,0,1
110.jpeg,21,0,21,2,4,4,1,9,5,42.9,48,30,32,10,120,3,1,1,0,6,4,5,0,1
111.jpeg,11,0,11,2,0,0,0,5,4,45.5,4,2,6,0,12,2,2,2,2,1,0,4,0,2
112.jpeg,14,6,8,2,0,0,0,10,2,71.4,2,2,6,0,10,2,2,2,2,1,0,2,0,2
113.jpeg,73,6,67,8,24,17,4,14,22,19.2,298,460,190,188,1136,13,2,2,1,30,22,22,0,2
114.jpeg,66,5,61,10,24,16,4,11,14,16.7,250,344,164,177,935,18,1,2,1,20,10,14,0,1
115.jpeg,30,2,28,7,8,2,1,4,9,13.3,36,106,68,17,227,7,2,6,0,9,2,9,0,2
116.jpeg,44,0,44,9,16,15,0,6,13,13.6,176,278,142,0,596,16,2,2,16,18,9,13,0,2
117.jpeg,23,1,22,8,7,1,1,1,6,4.3,24,92,48,16,180,8,1,5,0,18,10,6,2,1
118.jpeg,39,3,36,7,14,3,0,4,14,10.3,118,150,98,0,366,13,1,6,13,20,13,14,0,1
119.jpeg,34,10,24,3,12,4,0,10,9,29.4,48,110,58,0,216,5,0,1,5,20,17,9,0,0
12.jpeg,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,16,16,0,0,0
120.jpeg,93,4,89,26,33,13,0,11,22,11.8,268,1078,150,0,1496,38,4,15,38,26,0,22,0,4
121.jpeg,34,1,33,11,16,15,2,1,4,2.9,224,296,196,84,800,19,3,3,0,20,9,4,0,3
122.jpeg,25,22,3,0,0,0,0,22,3,88.0,4,6,0,0,10,0,0,0,0,2,2,3,0,0
15.jpeg,33,21,12,0,2,0,0,31,0,93.9,0,0,2,0,2,0,0,0,0,42,42,0,0,0
17.jpeg,12,9,3,2,0,0,0,9,1,75.0,2,6,0,0,8,2,2,2,2,4,2,1,0,2
2.jpeg,26,6,20,7,4,1,0,6,9,23.1,102,48,68,0,218,9,1,7,9,18,11,9,0,1
20.jpeg,55,45,10,0,5,0,1,45,4,81.8,10,34,6,5,55,0,0,0,0,48,48,4,43,0
201.jpeg,62,9,53,5,14,3,1,9,33,14.5,252,220,172,20,664,9,0,7,0,16,11,33,0,0
26.jpeg,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
30.jpeg,53,37,16,0,1,0,0,51,1,96.2,0,0,0,0,0,0,0,0,0,18,18,1,0,0
33.jpeg,35,25,10,0,5,1,0,25,5,71.4,24,24,8,0,56,0,0,0,0,26,26,5,0,0
34.jpeg,51,34,17,1,5,1,0,34,10,66.7,34,50,30,0,114,1,1,1,1,40,39,10,0,1
35.jpeg,14,0,14,2,4,1,1,3,4,21.4,76,10,14,7,107,4,0,0,0,4,2,4,0,0
4.jpeg,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
41.jpeg,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
42.jpeg,83,44,39,15,3,1,0,44,21,53.0,408,104,90,0,602,14,4,12,14,0,0,21,0,4
45.jpeg,85,42,43,16,2,0,0,42,25,49.4,390,114,90,0,594,13,9,13,13,0,0,25,0,9
56.jpeg,28,5,23,3,4,2,2,5,14,17.9,168,114,112,17,411,3,0,0,0,0,0,14,0,0
6.jpeg,2,2,0,0,0,0,0,2,0,100.0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
61.jpeg,86,49,37,9,6,1,0,50,21,58.1,402,140,134,0,676,14,1,7,14,0,0,21,0,1
8.jpeg,11,11,0,0,0,0,0,11,0,100.0,0,0,0,0,0,0,0,0,0,18,18,0,0,0
9.jpeg,18,7,11,1,1,0,0,7,9,38.9,86,14,8,0,108,1,1,1,1,4,3,9,0,1
