image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,False,False,True,False
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,True,False
101.jpeg,Fett,-davon gesattigte Fettsauren <0.1g,0.8,0.8,g,g,per_100g,per_100g,True,True,True,False
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,0.1,86.1,g,g,per_100g,per_100g,False,True,True,False
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,True,True,True,False
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True
101.jpeg,Eiweiß,Salz,6.3,660.0,g,,per_100g,per_100g,False,False,True,False
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,False,True,False
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,True,True,False
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,False,False,True,False
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,False,False,True,False
102.jpeg,Energie,Fett,188,7.7,kJ,g,per_serving,per_100g,False,False,False,False
102.jpeg,Energie,Fett,45,1.1,kcal,g,per_serving,per_100g,False,False,False,False
102.jpeg,Fett,Fett,7.7,1.0,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,Fett,Fettsauren,1.0,1.1,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,- davon gesättigte Fettsäuren,-davon gesattigte,1.1,7.7,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,- davon gesättigte Fettsäuren,-davon gesattigte,0.1,1.1,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,7.9,31,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,- davon Zucker,-davon gesattigte,31,1.0,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,- davon Zucker,Fettsauren,3.9,31,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,31,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,Ballaststoffe,Ballaststoffe,0.6,5.1,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,Eiweiß,Fettsauren,5.9,0.1,g,g,per_100g,per_100g,False,True,True,False
102.jpeg,Eiweiß,Kohlenhydrate,0.7,5.1,g,g,per_serving,per_100g,False,True,False,False
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True
102.jpeg,Salz,Salz,0.02,5.9,g,g,per_serving,per_100g,False,True,False,False
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,per_100g,False,False,True,False
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,per_100g,False,True,True,False
103.jpeg,Energie,Energie,166,39,kJ,kcal,per_serving,per_100g,False,False,False,False
103.jpeg,Energie,Fett,39,328,kcal,kcal,per_serving,per_100g,False,True,False,False
103.jpeg,Fett,Fett,3.7,0.4,g,g,per_100g,per_100g,False,True,True,False
103.jpeg,Fett,Fett,0.4,3.7,g,kcal,per_serving,per_100g,False,False,False,False
103.jpeg,davon gesättigte Fettsäuren,davon gesattigte,0.4,0.4,g,g,per_100g,per_100g,True,True,True,False
103.jpeg,davon gesättigte Fettsäuren,davon gesattigte,0,3.7,g,kcal,per_serving,per_100g,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,g,per_100g,per_100g,True,True,True,True
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,6.1,g,g,per_serving,per_100g,True,True,False,False
103.jpeg,davon Zucker,davon Zucker,51,51,g,g,per_100g,per_100g,True,True,True,True
103.jpeg,davon Zucker,davon Zucker,6.1,16,g,g,per_serving,per_100g,False,True,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,g,per_100g,per_100g,False,True,True,False
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,51,g,g,per_serving,per_100g,False,True,False,False
103.jpeg,Eiweiß,Fettsauren,7.7,0.4,g,g,per_100g,per_100g,False,True,True,False
103.jpeg,Eiweiß,Fettsauren,0.9,51,g,g,per_serving,per_100g,False,True,False,False
103.jpeg,Salz,Salz,0,7.7,g,g,per_100g,per_100g,False,True,True,False
103.jpeg,Salz,Salz,0,66.0,g,g,per_serving,per_100g,False,True,False,False
104.jpeg,Energie,Energie,1528,361,kJ,kcal,per_100g,per_100g,False,False,True,False
