image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,1,1,100,100,100,100
101.jpeg,11,10,10,40,60,100,20
102.jpeg,18,20,18,6,78,50,6
103.jpeg,18,20,18,22,78,50,11
104.jpeg,18,21,18,17,67,50,6
105.jpeg,18,18,18,22,72,50,0
106.jpeg,2,12,2,50,0,0,0
107.jpeg,10,16,10,0,50,0,0
108.jpeg,11,10,10,50,70,0,0
109.jpeg,9,8,8,38,62,100,38
110.jpeg,6,4,4,0,0,100,0
111.jpeg,1,2,1,100,0,0,0
112.jpeg,1,2,1,0,0,0,0
113.jpeg,28,16,16,0,56,62,0
114.jpeg,20,15,15,0,60,40,0
115.jpeg,9,8,8,12,62,100,0
116.jpeg,18,12,12,0,58,50,0
117.jpeg,18,5,5,0,20,40,0
118.jpeg,20,12,12,0,58,50,0
119.jpeg,19,9,9,0,44,56,0
12.jpeg,16,3,3,0,0,0,0
120.jpeg,26,51,26,46,58,0,0
121.jpeg,20,19,19,11,74,53,5
122.jpeg,2,0,0,0,0,0,0
15.jpeg,42,1,1,0,0,0,0
16.jpeg,40,0,0,0,0,0,0
17.jpeg,4,12,4,25,50,0,0
2.jpeg,18,15,15,7,73,53,0
20.jpeg,48,16,16,0,31,50,0
201.jpeg,16,10,10,0,60,0,0
26.jpeg,8,31,8,12,38,100,12
30.jpeg,18,18,18,11,0,50,0
33.jpeg,26,22,22,0,50,0,0
34.jpeg,40,33,33,18,82,52,6
35.jpeg,4,3,3,67,67,67,67
4.jpeg,8,23,8,0,38,100,0
41.jpeg,8,10,8,0,0,100,0
42.jpeg,18,6,6,0,0,50,0
45.jpeg,18,0,0,0,0,0,0
45_1.jpeg,0,13,0,0,0,0,0
45_2.jpeg,0,10,0,0,0,0,0
51.jpeg,18,21,18,17,67,50,0
53.jpeg,18,10,10,10,60,90,0
56.jpeg,10,6,6,17,33,50,0
57.jpeg,10,9,9,22,56,56,0
59.jpeg,28,8,8,0,50,50,0
6.jpeg,6,4,4,0,0,0,0
61.jpeg,22,3,3,0,0,67,0
63.jpeg,22,7,7,0,43,57,0
64.jpeg,8,8,8,0,50,0,0
67.jpeg,2,1,1,0,0,0,0
68.jpeg,34,18,18,0,33,94,0
78.jpeg,2,4,2,0,0,0,0
8.jpeg,18,2,2,0,0,0,0
82.jpeg,12,5,5,0,0,0,0
88.jpeg,16,16,16,6,75,50,0
9.jpeg,4,3,3,0,0,100,0
90.jpeg,17,20,17,29,71,47,0
91.jpeg,16,26,16,19,75,50,0
