image_id,nutrient,quantity,unit,context
1.jpeg,Magnesium (gesamt,400,mg,per_daily_dose
101.jpeg,Energie,,,per_100g
101.jpeg,Fett,0.8,g,per_100g
101.jpeg,-davon gesattigte Fettsauren <0.1g,0.8,g,per_100g
101.jpeg,Kohlenhydrate,86.1,g,per_100g
101.jpeg,-davon Zucker,86.1,g,per_100g
101.jpeg,-davon Zucker,8.9,g,per_100g
101.jpeg,Ballaststoffe,3.0,g,per_100g
101.jpeg,Salz,660.0,,per_100g
101.jpeg,Thiamin,,,per_100g
101.jpeg,Natrium,36,mg,per_100g
102.jpeg,Energie,7.7,g,per_100g
102.jpeg,Energie,1.0,g,per_100g
102.jpeg,Fett,7.7,g,per_100g
102.jpeg,Fett,1.1,g,per_100g
102.jpeg,Fett,1.0,g,per_100g
102.jpeg,-davon gesattigte,7.7,g,per_100g
102.jpeg,-davon gesattigte,1.1,g,per_100g
102.jpeg,-davon gesattigte,1.0,g,per_100g
102.jpeg,Fettsauren,1.1,g,per_100g
102.jpeg,Fettsauren,31,g,per_100g
102.jpeg,Fettsauren,0.1,g,per_100g
102.jpeg,Kohlenhydrate,1.1,g,per_100g
102.jpeg,Kohlenhydrate,31,g,per_100g
102.jpeg,Kohlenhydrate,5.1,g,per_100g
102.jpeg,Ballaststoffe,31,g,per_100g
102.jpeg,Ballaststoffe,5.1,g,per_100g
102.jpeg,Ballaststoffe,5.9,g,per_100g
102.jpeg,Salz,0.14,g,per_100g
102.jpeg,Salz,5.9,g,per_100g
102.jpeg,Salz,0.02,g,per_100g
103.jpeg,Energie,328,kcal,per_100g
103.jpeg,Energie,3.7,kcal,per_100g
103.jpeg,Energie,39,kcal,per_100g
103.jpeg,Fett,328,kcal,per_100g
103.jpeg,Fett,0.4,g,per_100g
103.jpeg,Fett,3.7,kcal,per_100g
103.jpeg,davon gesattigte,0.4,g,per_100g
103.jpeg,davon gesattigte,3.7,kcal,per_100g
103.jpeg,Fettsauren,0.4,g,per_100g
103.jpeg,Fettsauren,51,g,per_100g
103.jpeg,Fettsauren,6.1,g,per_100g
103.jpeg,Kohlenhydrate,51,g,per_100g
103.jpeg,Kohlenhydrate,6.1,g,per_100g
