image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesiumoxid,magnesiumoxid,400,400,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
1.jpeg,Magnesiummalat,magnesiummalat,333,333,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.jpeg,Fett,Fett,0.8,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Salz,Salz,0.09,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Thiamin,Thiamin,0.44,,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Natrium,Natrium,36,,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Fett,Fett,7.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Fett,Fettsauren,1.0,,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch: 'Fett' vs 'Fettsauren',Quantity missing in prediction,Unit missing in prediction,Context missing in prediction
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Salz,Salz,0.14,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fett,Fett,3.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fett,Fettsauren,0.4,,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch: 'Fett' vs 'Fettsauren',Quantity missing in prediction,Unit missing in prediction,Context missing in prediction
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Ballaststoffe,Ballaststoffe,16,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Salz,Salz,0,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Fett,Fett,2.6,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Fett,Fettsauren,0,,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch.,"Quantity missing in prediction, ground truth is zero.",Unit and quantity are missing in prediction.,Context not applicable due to missing information.
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Ballaststoffe,Ballaststoffe,10,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Salz,Salz,0.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
105.jpeg,Fett,Fett,2.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
105.jpeg,Fett,Fettsauren,0.3,,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch.,Quantity missing in prediction.,Unit missing in prediction.,Context missing in prediction.
105.jpeg,Salz,Salz,0.03,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
