image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.jpeg,5,6,2,100,0,0,0,0
101.jpeg,11,7,6,0,0,0,0,0
102.jpeg,18,6,5,0,0,0,0,0
103.jpeg,18,7,5,0,0,0,0,0
104.jpeg,18,7,5,0,0,0,0,0
105.jpeg,18,3,3,0,0,0,0,0
106.jpeg,2,2,2,0,0,0,0,0
107.jpeg,10,8,7,0,0,0,0,0
108.jpeg,11,7,6,0,0,0,0,0
109.jpeg,9,6,4,0,0,0,0,0
110.jpeg,6,2,1,0,0,0,0,0
111.jpeg,1,2,1,0,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,28,4,3,0,0,0,0,0
114.jpeg,20,4,3,0,0,0,0,0
115.jpeg,9,6,4,0,0,0,0,0
116.jpeg,18,3,3,0,0,0,0,0
117.jpeg,18,1,1,0,0,0,0,0
118.jpeg,20,3,2,0,0,0,0,0
119.jpeg,19,2,1,0,0,0,0,0
12.jpeg,16,0,0,0,0,0,0,0
120.jpeg,26,14,4,0,0,0,0,0
121.jpeg,20,2,2,0,0,0,0,0
122.jpeg,2,0,0,0,0,0,0,0
15.jpeg,42,0,0,0,0,0,0,0
16.jpeg,40,0,0,0,0,0,0,0
17.jpeg,4,6,3,33,0,0,0,0
2.jpeg,18,0,0,0,0,0,0,0
20.jpeg,48,4,2,0,0,0,0,0
201.jpeg,16,0,0,0,0,0,0,0
26.jpeg,8,6,2,0,0,0,0,0
30.jpeg,18,3,3,0,0,0,0,0
33.jpeg,26,3,2,0,0,0,0,0
34.jpeg,40,14,12,0,0,0,0,0
35.jpeg,4,2,2,0,0,0,0,0
4.jpeg,8,5,3,0,33,0,0,0
41.jpeg,8,5,4,0,0,0,0,0
42.jpeg,18,2,2,0,0,0,0,0
45.jpeg,18,0,0,0,0,0,0,0
45_1.jpeg,0,3,0,0,0,0,0,0
45_2.jpeg,0,3,0,0,0,0,0,0
51.jpeg,18,0,0,0,0,0,0,0
53.jpeg,18,1,0,0,0,0,0,0
56.jpeg,10,1,1,0,0,0,0,0
57.jpeg,10,3,1,0,0,0,0,0
59.jpeg,28,0,0,0,0,0,0,0
6.jpeg,6,2,1,0,0,0,0,0
61.jpeg,22,0,0,0,0,0,0,0
63.jpeg,22,0,0,0,0,0,0,0
64.jpeg,8,4,1,0,0,0,0,0
67.jpeg,2,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,0,0,0,0,0,0,0
8.jpeg,18,2,2,0,0,0,0,0
82.jpeg,12,6,6,0,0,0,0,0
88.jpeg,16,0,0,0,0,0,0,0
9.jpeg,4,3,3,0,0,0,0,0
90.jpeg,17,0,0,0,0,0,0,0
91.jpeg,16,0,0,0,0,0,0,0
