image_id,nutrient,quantity,unit,context
1.jpeg,magnesiumoxid,350,,
1.jpeg,magnesiumoxid,400,,
1.jpeg,magnesiumoxid,420,,
1.jpeg,magnesiummalat,350,,
1.jpeg,magnesiummalat,333,,
1.jpeg,magnesiummalat,mg,,
101.jpeg,Fett,,,
101.jpeg,Kohlenhydrate,,,
101.jpeg,Ballaststoffe,3.0,,
101.jpeg,Ballaststoffe,g,,
101.jpeg,Eiweiss,6.3,,
101.jpeg,Eiweiss,g,,
101.jpeg,Salz,,,
101.jpeg,Thiamin,,,
101.jpeg,Natrium,36,,
101.jpeg,Natrium,mg,,
102.jpeg,Ballaststoffe,0.02,,
102.jpeg,Ballaststoffe,g,,
102.jpeg,Eiweiss,0.02,,
102.jpeg,Eiweiss,g,,
102.jpeg,Salz,0.02,,
102.jpeg,Salz,g,,
103.jpeg,Fett,,,
103.jpeg,Kohlenhydrate,,,
103.jpeg,Ballaststoffe,,,
103.jpeg,Eiweiss,,,
103.jpeg,Salz,,,
104.jpeg,Fettsauren,,,
104.jpeg,Kohlenhydrate,72,,
104.jpeg,Kohlenhydrate,g,,
104.jpeg,Ballaststoffe,10,,
104.jpeg,Ballaststoffe,72,,
104.jpeg,Ballaststoffe,g,,
104.jpeg,Eiweif,10,,
104.jpeg,Eiweif,0.1,,
104.jpeg,Eiweif,g,,
104.jpeg,Og,0.1,,
104.jpeg,Og,g,,
104.jpeg,Salz,0.1,,
104.jpeg,Salz,g,,
105.jpeg,Salz,,,
106.jpeg,%,,,
106.jpeg,VitaminE,,,
106.jpeg,Magnezij,250,,
106.jpeg,Magnezij,mg,,
107.jpeg,Vitamin B1,14,,
107.jpeg,Vitamin B1,1.1,,
107.jpeg,Vitamin B1,mg,,
107.jpeg,Vitamin B2,14,,
107.jpeg,Vitamin B2,mg,,
107.jpeg,Vitamin B6,,,
107.jpeg,Vitamin B12,80,,
107.jpeg,Vitamin B12,mg,,
107.jpeg,VitaminC,80,,
107.jpeg,VitaminC,mg,,
107.jpeg,Vitamin E,,,
107.jpeg,Niacin,,,
107.jpeg,Biotin,,,
108.jpeg,Magnesium,,,
108.jpeg,Vitamin B1,1.1,,
108.jpeg,Vitamin B1,mg,,
108.jpeg,Vitamin B2,1.4,,
108.jpeg,Vitamin B2,mg,,
108.jpeg,Vitamin B6,,,
108.jpeg,Vitamin B12,,,
108.jpeg,VitaminC,,,
108.jpeg,Biotin,,,
108.jpeg,Folsaure,,,
108.jpeg,Pantothensaure,,,
109.jpeg,Fett,,,
109.jpeg,Fettsauren,0.2,,
109.jpeg,Fettsauren,g,,
109.jpeg,Kohlenhydrate,12.0,,
109.jpeg,Kohlenhydrate,g,,
109.jpeg,Ballaststoffe,1.5,,
109.jpeg,Ballaststoffe,g,,
109.jpeg,Eiweiss,11.0,,
109.jpeg,Eiweiss,g,,
109.jpeg,Salz,0.05,,
109.jpeg,Salz,g,,
110.jpeg,Niacin,8.0,,
110.jpeg,Niacin,16,,
110.jpeg,Pantothensaure,3.0,,
110.jpeg,Pantothensaure,mg,,
111.jpeg,Vitamine,,,
111.jpeg,Vitamin B12,,,
112.jpeg,Vitamine,,,
112.jpeg,VitaminB12,17.5,,
112.jpeg,VitaminB12,g,,
113.jpeg,DAVONGESATTIGTE FETTSAUREN,,,
113.jpeg,Kohlenhydrate,,,
113.jpeg,DAVONZUCKER,,,
113.jpeg,Ballaststoffe,,,
113.jpeg,Eiweiss,,,
113.jpeg,SALZ,,,
113.jpeg,KOFFEIN,80,,
113.jpeg,KOFFEIN,mg,,
114.jpeg,S,,,
114.jpeg,Kohlenhydrate,,,
114.jpeg,DAVONZUCKER,,,
114.jpeg,Ballaststoffe,,,
114.jpeg,Eiweiss,,,
114.jpeg,SALZ,,,
