image_id,nutrient,quantity,unit,context
1.jpeg,magnesiumoxid,350,,
1.jpeg,magnesiumoxid,400,,
1.jpeg,magnesiumoxid,420,,
1.jpeg,magnesiummalat,350,,
1.jpeg,magnesiummalat,333,,
1.jpeg,magnesiummalat,mg,,
101.jpeg,Fett,,,
101.jpeg,Kohlenhydrate,86.1,,
101.jpeg,Kohlenhydrate,g,,
101.jpeg,Ballaststoffe,3.0,,
101.jpeg,Ballaststoffe,g,,
101.jpeg,Eiweiss,6.3,,
101.jpeg,Eiweiss,g,,
101.jpeg,Salz,660.0,,
101.jpeg,Thiamin,0.44mg88%3,,
101.jpeg,Natrium,36,,
101.jpeg,Natrium,mg,,
102.jpeg,Fett,1.0,,
102.jpeg,Fett,0.1,,
102.jpeg,Fett,g,,
102.jpeg,Fettsauren,0.1,,
102.jpeg,Fettsauren,7.9,,
102.jpeg,Fettsauren,66.8,,
102.jpeg,Kohlenhydrate,5.1,,
102.jpeg,Kohlenhydrate,g,,
102.jpeg,Kohlenhydrate,7.9,,
102.jpeg,Ballaststoffe,5.1,,
102.jpeg,Ballaststoffe,5.9,,
102.jpeg,Ballaststoffe,g,,
102.jpeg,Eiweiss,5.1,,
102.jpeg,Eiweiss,0.14,,
102.jpeg,Eiweiss,5.9,,
102.jpeg,Salz,0.14,,
102.jpeg,Salz,5.9,,
102.jpeg,Salz,g,,
103.jpeg,Fett,,,
103.jpeg,Fettsauren,51,,
103.jpeg,Fettsauren,g,,
103.jpeg,Fettsauren,6.1,,
103.jpeg,Kohlenhydrate,51,,
103.jpeg,Kohlenhydrate,g,,
103.jpeg,Ballaststoffe,7.7,,
103.jpeg,Ballaststoffe,51,,
103.jpeg,Ballaststoffe,g,,
103.jpeg,Eiweiss,7.7,,
103.jpeg,Eiweiss,g,,
103.jpeg,Eiweiss,66.0,,
103.jpeg,Salz,7.7,,
103.jpeg,Salz,g,,
103.jpeg,Salz,66.0,,
104.jpeg,Nahrwerte,100,g,
104.jpeg,Fett,51,,
104.jpeg,Fett,kcal,,
104.jpeg,Fettsauren,,,
104.jpeg,Kohlenhydrate,10,,
104.jpeg,Kohlenhydrate,g,,
104.jpeg,Ballaststoffe,10,,
104.jpeg,Ballaststoffe,3.2,,
104.jpeg,Ballaststoffe,g,,
104.jpeg,Eiweif,10,,
104.jpeg,Eiweif,3.2,,
104.jpeg,Eiweif,0.1,,
104.jpeg,Salz,3.2,,
104.jpeg,Salz,0.1,,
104.jpeg,Salz,g,,
105.jpeg,Fett,0.3,,
105.jpeg,Fett,600,,
105.jpeg,Fett,g,,
105.jpeg,Fettsauren,0.4,,
105.jpeg,Fettsauren,g,,
105.jpeg,Fettsauren,6.3,,
105.jpeg,Salz,7.0,,
105.jpeg,Salz,600,,
105.jpeg,Salz,g,,
106.jpeg,VitaminE,,,
106.jpeg,Magnezij,,,
107.jpeg,Vitamin B1,14,,
107.jpeg,Vitamin B1,1.1,,
107.jpeg,Vitamin B1,mg,,
107.jpeg,Vitamin B2,14,,
107.jpeg,Vitamin B2,mg,,
107.jpeg,Vitamin B6,,,
107.jpeg,Vitamin B12,80,,
107.jpeg,Vitamin B12,mg,,
107.jpeg,VitaminC,80,,
107.jpeg,VitaminC,mg,,
107.jpeg,Vitamin E,,,
107.jpeg,Niacin,5019,,
107.jpeg,Biotin,5019,,
108.jpeg,Magnesium,240,,
108.jpeg,Magnesium,mg,,
108.jpeg,Vitamin B1,1.1,,
108.jpeg,Vitamin B1,mg,,
108.jpeg,Vitamin B2,1.4,,
108.jpeg,Vitamin B2,mg,,
108.jpeg,Vitamin B6,1.4,,
108.jpeg,Vitamin B6,mg,,
108.jpeg,Vitamin B12,,,
108.jpeg,VitaminC,80,,
108.jpeg,VitaminC,mg,,
