image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesiumoxid,magnesiumoxid,400,400,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
1.jpeg,Magnesiummalat,magnesiummalat,333,333,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.jpeg,Fett,Fett,0.8,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,86.1,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.jpeg,Salz,Salz,0.09,660.0,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Thiamin,Thiamin,0.44,0.44mg88%3,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Natrium,Natrium,36,36,mg,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.jpeg,Fett,Fett,7.7,1.0,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Fett,Fett,1.0,0.1,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,g,g,,per_100g,,False,False,False,False,False,False,fast+llm,Fett vs Fettsaeuren,"g vs None, 1.1 vs None",None vs None,per_100g vs None
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,5.1,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Kohlenhydrate,Kohlenhydrate,7.9,7.9,g,,per_serving,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.jpeg,Ballaststoffe,Ballaststoffe,0.6,5.9,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Salz,Salz,0.14,0.14,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.jpeg,Salz,Salz,0.02,5.9,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fett,Fett,3.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fett,Fettsauren,0.4,51,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch: 'Fett' vs 'Fettsauren',Quantity mismatch: 0.4g vs 51,Unit missing in prediction,Context missing in prediction
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,g,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,51,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Salz,Salz,0,7.7,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Salz,Salz,0,g,g,,per_serving,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Fett,Fett,2.6,51,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
