image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.jpeg,Magnesiumoxid,magnesiumoxid,400,400,mg,,per_daily_dose,,True,False,False,False,False
1.jpeg,Magnesiummalat,magnesiummalat,333,333,mg,,per_daily_dose,,True,False,False,False,False
101.jpeg,Fett,Fett,0.8,,g,,per_100g,,False,False,False,False,False
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,86.1,g,,per_100g,,True,False,False,False,False
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,,per_100g,,True,False,False,False,False
101.jpeg,Salz,Salz,0.09,660.0,g,,per_100g,,False,False,False,False,False
101.jpeg,Thiamin,Thiamin,0.44,0.44mg88%3,mg,,per_100g,,False,False,False,False,False
101.jpeg,Natrium,Natrium,36,36,mg,,per_100g,,True,False,False,False,False
102.jpeg,Fett,Fett,7.7,1.0,g,,per_100g,,False,False,False,False,False
102.jpeg,Fett,Fett,1.0,0.1,g,,per_serving,,False,False,False,False,False
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,g,g,,per_100g,,False,False,False,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,5.1,g,,per_100g,,False,False,False,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,7.9,7.9,g,,per_serving,,True,False,False,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,,per_100g,,True,False,False,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,0.6,5.9,g,,per_serving,,False,False,False,False,False
102.jpeg,Salz,Salz,0.14,0.14,g,,per_100g,,True,False,False,False,False
102.jpeg,Salz,Salz,0.02,5.9,g,,per_serving,,False,False,False,False,False
103.jpeg,Fett,Fett,3.7,,g,,per_100g,,False,False,False,False,False
103.jpeg,Fett,Fettsauren,0.4,51,g,,per_serving,,False,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,,True,False,False,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,g,g,,per_serving,,False,False,False,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,51,g,,per_serving,,False,False,False,False,False
103.jpeg,Salz,Salz,0,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Salz,Salz,0,g,g,,per_serving,,False,False,False,False,False
104.jpeg,Fett,Fett,2.6,51,g,,per_100g,,False,False,False,False,False
104.jpeg,Fett,Fett,0,kcal,g,,per_serving,,False,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,10,g,,per_100g,,False,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,10,g,g,,per_serving,,False,False,False,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,10,10,g,,per_100g,,True,False,False,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,1.4,3.2,g,,per_serving,,False,False,False,False,False
104.jpeg,Salz,Salz,0.1,0.1,g,,per_100g,,True,False,False,False,False
104.jpeg,Salz,Salz,0,3.2,g,,per_serving,,False,False,False,False,False
105.jpeg,Fett,Fett,2.7,0.3,g,,per_100g,,False,False,False,False,False
105.jpeg,Fett,Fett,0.3,600,g,,per_serving,,False,False,False,False,False
105.jpeg,- davon gesättigte Fettsäuren,Fett,0.4,g,g,,per_100g,,False,False,False,False,False
105.jpeg,Salz,Salz,0.03,7.0,g,,per_100g,,False,False,False,False,False
105.jpeg,Salz,Salz,0.00,600,g,,per_serving,,False,False,False,False,False
106.jpeg,Vitamin E / Vitamine E / Vitamina E / E-vitamin / Vitamin E,VitaminE,12,,mg α-TE,,per_serving,,False,False,False,False,False
106.jpeg,Magnesium / Magnésium / Magnesio / Magnézium / Magnezij,Magnezij,250,,mg,,per_serving,,False,False,False,False,False
107.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,,per_serving,,True,False,False,False,False
107.jpeg,Vitamin B2,Vitamin B2,1.4,14,mg,,per_serving,,False,False,False,False,False
107.jpeg,Vitamin B6,Vitamin B6,1.4,,mg,,per_serving,,False,False,False,False,False
107.jpeg,Vitamin B12,Vitamin B12,2.5,80,µg,,per_serving,,False,False,False,False,False
107.jpeg,Vitamin E,Vitamin E,12,,mg α-TE,,per_serving,,False,False,False,False,False
107.jpeg,Niacin,Niacin,16,5019,mg NE,,per_serving,,False,False,False,False,False
107.jpeg,Biotin,Biotin,50,5019,µg,,per_serving,,False,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,240,mg,,per_serving,,True,False,False,False,False
108.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,,per_serving,,True,False,False,False,False
108.jpeg,Vitamin B2,Vitamin B2,1.4,1.4,mg,,per_serving,,True,False,False,False,False
108.jpeg,Vitamin B6,Vitamin B6,1.4,1.4,mg,,per_serving,,True,False,False,False,False
108.jpeg,Vitamin B12,Vitamin B12,2.5,,µg,,per_serving,,False,False,False,False,False
108.jpeg,Biotin,Biotin,50,,µg,,per_serving,,False,False,False,False,False
109.jpeg,Fett,Fett,0,0,g,,per_100g,,True,False,False,False,False
109.jpeg,- davon gesättigte Fettsäuren,Fett,0.2,g,g,,per_100g,,False,False,False,False,False
109.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,12.0,g,,per_100g,,True,False,False,False,False
109.jpeg,Ballaststoffe,Ballaststoffe,1.5,1.5,g,,per_100g,,True,False,False,False,False
109.jpeg,Salz,Salz,0.05,0.05,g,,per_100g,,True,False,False,False,False
110.jpeg,Melissen Extrakt,Melissen Extrakt,15,15,mg,,per_serving,,True,False,False,False,False
110.jpeg,Melissen Extrakt,Melissen Extrakt,30,30,mg,,per_serving,,True,False,False,False,False
110.jpeg,Niacin,Niacin,8.0,8.0,mg NE,,per_serving,,True,False,False,False,False
110.jpeg,Niacin,Niacin,16,16,mg NE,,per_serving,,True,False,False,False,False
111.jpeg,Vitamin B12,Vitamin B12,17.5,17.5,µg,,per_daily_dose,,True,False,False,False,False
113.jpeg,FETT,FETT,4.5,,g,,per_100g,,False,False,False,False,False
113.jpeg,FETT,DAVONGESATTIGTE FETTSAUREN,1.3,,g,,per_serving,,False,False,False,False,False
113.jpeg,KOHLENHYDRATE,Kohlenhydrate,7.7,,g,,per_100g,,False,False,False,False,False
113.jpeg,BALLASTSTOFFE,Ballaststoffe,1.9,,g,,per_100g,,False,False,False,False,False
113.jpeg,SALZ,SALZ,0.53,,g,,per_100g,,False,False,False,False,False
113.jpeg,KOFFEIN,KOFFEIN,267,,mg,,per_100g,,False,False,False,False,False
114.jpeg,FETT,FETT,4.8,,g,,per_100g,,False,False,False,False,False
114.jpeg,FETT,DAVONGESATTIGTEFETTSAUREN,1.4,,g,,per_serving,,False,False,False,False,False
114.jpeg,DAVON GESÄTTIGTE FETTSÄUREN,S,3.3,,g,,per_100g,,False,False,False,False,False
114.jpeg,KOHLENHYDRATE,Kohlenhydrate,8.8,,g,,per_100g,,False,False,False,False,False
114.jpeg,BALLASTSTOFFE,Ballaststoffe,2.8,,g,,per_100g,,False,False,False,False,False
114.jpeg,SALZ,SALZ,0.51,,g,,per_100g,,False,False,False,False,False
114.jpeg,KOFFEIN,KOFFEIN,268,,mg,,per_100g,,False,False,False,False,False
115.jpeg,Fett,Fett,0,,g,,per_100g,,False,False,False,False,False
115.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,10.0,g,,per_100g,,False,False,False,False,False
115.jpeg,Ballaststoffe,Ballaststoffe,1.6,11.0,g,,per_100g,,False,False,False,False,False
115.jpeg,Salz,Salz,0.05,,g,,per_100g,,False,False,False,False,False
116.jpeg,FETT,Fettsauren,12.0,,g,,per_100g,,False,False,False,False,False
