tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.jpeg,Magnesium (gesamt),400,mg,per_daily_dose,Magnesium,400,mg,,context: got None expected per_daily_dose
missing,1.jpeg,Magnesiumsalze der CitronensÃ¤ure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiumoxid,400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiumbisglycinat,350,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiummalat,333,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.jpeg,Energie,1625,kJ,per_100g,Energie,,,per_100g,qty: got None expected 1625 | unit: got None expected kJ
missing,101.jpeg,Energie,383,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Fett,0.8,g,per_100g,Fett,0.89,,per_100g,qty: got 0.89 expected 0.8 | unit: got None expected g
missing,101.jpeg,#NAME?,<0.1,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Kohlenhydrate,86.1,g,per_100g,Kohlenhydrate,86.19,,per_100g,qty: got 86.19 expected 86.1 | unit: got None expected g
missing,101.jpeg,#NAME?,8.9,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Ballaststoffe,3,g,per_100g,Ballaststoffe,3.09,,per_100g,qty: got 3.09 expected 3 | unit: got None expected g
missing,101.jpeg,EiweiÃŸ,6.3,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Salz,0.09,g,per_100g,Salz,0.099,,per_100g,qty: got 0.099 expected 0.09 | unit: got None expected g
incorrect,101.jpeg,Thiamin,0.44,mg,per_100g,Thiamin,,,per_100g,qty: got None expected 0.44 | unit: got None expected mg
incorrect,102.jpeg,Energie,1502,kJ,per_100g,Energie,7.79,,per_100g,qty: got 7.79 expected 1502 | unit: got None expected kJ
incorrect,102.jpeg,Energie,356,kcal,per_100g,Energie,1.09,,per_100g,qty: got 1.09 expected 356 | unit: got None expected kcal
incorrect,102.jpeg,Fett,7.7,g,per_100g,Fett,7.79,,per_100g,qty: got 7.79 expected 7.7 | unit: got None expected g
missing,102.jpeg,#NAME?,1.1,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.jpeg,Kohlenhydrate,63,g,per_100g,Kohlenhydrate,1.19,g,per_100g,qty: got 1.19 expected 63
missing,102.jpeg,#NAME?,31,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.jpeg,Ballaststoffe,5.1,g,per_100g,Ballaststoffe,319,g,per_100g,qty: got 319 expected 5.1
missing,102.jpeg,EiweiÃŸ,5.9,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.jpeg,Salz,0.14,g,per_100g,Salz,0.149,,per_100g,qty: got 0.149 expected 0.14 | unit: got None expected g
missing,102.jpeg,Energie,188,kJ,per_serving,,,,,nutrient not found in predictions
missing,102.jpeg,Energie,45,kcal,per_serving,,,,,nutrient not found in predictions
incorrect,102.jpeg,Fett,1,g,per_serving,Fett,1.19,g,per_100g,qty: got 1.19 expected 1 | context: got per_100g expected per_serving
missing,102.jpeg,#NAME?,0.1,g,per_serving,,,,,nutrient not found in predictions
incorrect,102.jpeg,Kohlenhydrate,7.9,g,per_serving,Kohlenhydrate,639,g,per_100g,qty: got 639 expected 7.9 | context: got per_100g expected per_serving
missing,102.jpeg,#NAME?,3.9,g,per_serving,,,,,nutrient not found in predictions
incorrect,102.jpeg,Ballaststoffe,0.6,g,per_serving,Ballaststoffe,5.19,,per_100g,qty: got 5.19 expected 0.6 | unit: got None expected g | context: got per_100g expected per_serving
missing,102.jpeg,EiweiÃŸ,0.7,g,per_serving,,,,,nutrient not found in predictions
incorrect,102.jpeg,Salz,0.02,02,per_serving,Salz,0.029,,per_100g,qty: got 0.029 expected 0.02 | unit: got None expected 02 | context: got per_100g expected per_serving
incorrect,103.jpeg,Energie,1383,kJ,per_100g,Energie,328,kcal,,qty: got 328 expected 1383 | unit: got kcal expected kJ | context: got None expected per_100g
incorrect,103.jpeg,Energie,328,kcal,per_100g,Energie,3.7,kcal,,qty: got 3.7 expected 328 | context: got None expected per_100g
incorrect,103.jpeg,Fett,3.7,g,per_100g,Fett,328,kcal,,qty: got 328 expected 3.7 | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,davon gesÃ¤ttigte FettsÃ¤uren,0.4,g,per_100g,Fett,3.7,kcal,,qty: got 3.7 expected 0.4 | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,Kohlenhydrate,51,g,per_100g,Kohlenhydrate,51,g,,context: got None expected per_100g
incorrect,103.jpeg,davon Zucker,51,g,per_100g,davon Zucker,51,g,,context: got None expected per_100g
incorrect,103.jpeg,Ballaststoffe,16,g,per_100g,Ballaststoffe,7.7,g,,qty: got 7.7 expected 16 | context: got None expected per_100g
missing,103.jpeg,EiweiÃŸ,7.7,g,per_100g,,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_100g,Salz,7.7,g,,qty: got 7.7 expected 0 | context: got None expected per_100g
missing,103.jpeg,Energie,166,kJ,per_serving,,,,,nutrient not found in predictions
missing,103.jpeg,Energie,39,kcal,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Fett,0.4,g,per_serving,Fettsäuren,0.49,g,,qty: got 0.49 expected 0.4 | context: got None expected per_serving
missing,103.jpeg,davon gesÃ¤ttigte FettsÃ¤uren,0,g,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Kohlenhydrate,6.1,g,per_serving,Kohlenhydrate,519,g,,qty: got 519 expected 6.1 | context: got None expected per_serving
incorrect,103.jpeg,davon Zucker,6.1,g,per_serving,davon Zucker,169,g,,qty: got 169 expected 6.1 | context: got None expected per_serving
incorrect,103.jpeg,Ballaststoffe,1.9,g,per_serving,Ballaststoffe,51,g,,qty: got 51 expected 1.9 | context: got None expected per_serving
missing,103.jpeg,EiweiÃŸ,0.9,g,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_serving,Salz,0.99,g,,qty: got 0.99 expected 0 | context: got None expected per_serving
incorrect,104.jpeg,Energie,1528,kJ,per_100g,Energie,361,kcal,,qty: got 361 expected 1528 | unit: got kcal expected kJ | context: got None expected per_100g
incorrect,104.jpeg,Energie,361,kcal,per_100g,Energie,1009,kcal,,qty: got 1009 expected 361 | context: got None expected per_100g
incorrect,104.jpeg,Fett,2.6,g,per_100g,Fett,361,kcal,,qty: got 361 expected 2.6 | unit: got kcal expected g | context: got None expected per_100g
incorrect,104.jpeg,davon gesÃ¤ttigte FettsÃ¤uren,0.6,g,per_100g,Fett,2.69,kcal,,qty: got 2.69 expected 0.6 | unit: got kcal expected g | context: got None expected per_100g
incorrect,104.jpeg,Kohlenhydrate,72,g,per_100g,Kohlenhydrate,0.69,kcal,,qty: got 0.69 expected 72 | unit: got kcal expected g | context: got None expected per_100g
incorrect,104.jpeg,davon Zucker,72,g,per_100g,davon Zucker,729,g,,qty: got 729 expected 72 | context: got None expected per_100g
incorrect,104.jpeg,Ballaststoffe,10,g,per_100g,Ballaststoffe,3.29,g,,qty: got 3.29 expected 10 | context: got None expected per_100g
missing,104.jpeg,EiweiÃŸ,3.2,g,per_100g,,,,,nutrient not found in predictions
incorrect,104.jpeg,Salz,0.1,g,per_100g,Salz,0.1,g,,context: got None expected per_100g
