image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,1,1,100,100,0,0
101.jpeg,11,12,7,14,14,100,14
102.jpeg,18,18,10,0,40,60,0
103.jpeg,18,16,13,15,77,0,0
104.jpeg,18,16,13,8,62,0,0
105.jpeg,18,8,5,0,100,60,0
106.jpeg,2,5,0,0,0,0,0
107.jpeg,10,6,5,0,0,0,0
108.jpeg,11,10,6,0,0,0,0
109.jpeg,9,8,5,60,80,100,60
110.jpeg,6,3,1,0,0,100,0
111.jpeg,1,2,1,0,0,0,0
112.jpeg,1,2,1,0,0,0,0
113.jpeg,20,13,9,22,89,33,0
114.jpeg,20,18,15,67,87,40,33
115.jpeg,9,7,5,0,0,100,0
116.jpeg,18,16,9,78,89,0,0
117.jpeg,9,8,6,0,33,100,0
118.jpeg,20,13,9,0,33,0,0
119.jpeg,20,5,3,0,67,0,0
12.jpeg,16,0,0,0,0,0,0
120.jpeg,26,38,22,45,50,0,0
121.jpeg,20,19,9,0,89,67,0
15.jpeg,42,0,0,0,0,0,0
17.jpeg,4,2,2,0,0,0,0
2.jpeg,16,9,4,0,0,0,0
20.jpeg,48,0,0,0,0,0,0
201.jpeg,16,9,0,0,0,0,0
26.jpeg,8,12,5,0,0,0,0
27.jpeg,13,0,0,0,0,0,0
30.jpeg,18,0,0,0,0,0,0
33.jpeg,26,0,0,0,0,0,0
34.jpeg,40,1,1,0,0,0,0
35.jpeg,4,4,2,0,50,50,0
4.jpeg,8,1,0,0,0,0,0
41.jpeg,8,0,0,0,0,0,0
42.jpeg,18,0,0,0,0,0,0
45_1.jpeg,18,2,1,0,0,0,0
45_2.jpeg,8,2,2,0,0,0,0
51.jpeg,18,0,0,0,0,0,0
53.jpeg,18,0,0,0,0,0,0
56.jpeg,10,3,2,50,100,0,0
57.jpeg,10,3,2,50,50,0,0
59.jpeg,28,0,0,0,0,0,0
6.jpeg,6,0,0,0,0,0,0
61.jpeg,22,14,9,0,11,0,0
63.jpeg,22,0,0,0,0,0,0
64.jpeg,8,0,0,0,0,0,0
67.jpeg,4,2,1,0,0,0,0
68.jpeg,34,0,0,0,0,0,0
78.jpeg,2,1,1,0,0,0,0
8.jpeg,18,0,0,0,0,0,0
82.jpeg,12,8,6,17,33,0,0
88.jpeg,16,2,2,0,0,0,0
9.jpeg,4,1,0,0,0,0,0
90.jpeg,17,14,3,33,100,0,0
91.jpeg,16,6,1,0,0,0,0
