image_id,ocr_total,ocr_low_conf,ocr_passed,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_noise,clf_unknown,clf_noise_pct,graph_same_row,graph_same_col,graph_adjacent,graph_ctx_scope,graph_total_edges,assoc_tuples,assoc_no_qty,assoc_no_unit,assoc_no_ctx,gt_tuples,lost_at_ocr,lost_at_clf,lost_at_graph,lost_at_assoc
1.jpeg,11,0,11,3,5,5,1,1,1,9.1,60,60,28,13,161,5,0,0,0,5,2,1,0,0
101.jpeg,21,0,21,9,7,6,1,0,4,0.0,60,164,86,22,332,10,2,3,0,11,2,4,0,2
102.jpeg,28,0,28,7,13,11,1,0,7,0.0,418,386,118,31,953,14,0,0,0,18,11,7,0,0
103.jpeg,33,0,33,8,14,12,0,0,11,0.0,470,608,260,0,1338,14,0,0,14,18,10,11,0,0
104.jpeg,33,0,33,8,17,14,0,0,8,0.0,466,646,256,0,1368,16,0,0,16,18,10,8,0,0
105.jpeg,24,0,24,6,12,10,1,0,5,0.0,300,334,168,28,830,12,0,0,0,18,12,5,0,0
106.jpeg,23,0,23,8,1,1,0,5,9,21.7,56,106,92,0,254,8,4,4,8,2,0,9,0,4
107.jpeg,23,0,23,10,8,3,1,0,4,0.0,108,264,36,21,429,16,1,7,0,10,0,4,0,1
108.jpeg,24,0,24,10,11,9,1,0,2,0.0,46,214,90,24,374,10,2,2,2,11,1,2,0,2
109.jpeg,19,0,19,8,7,7,1,0,3,0.0,44,108,68,22,242,8,2,2,0,9,1,3,0,2
110.jpeg,22,0,22,2,4,4,0,8,8,36.4,70,30,32,0,132,3,1,1,3,6,4,8,0,1
111.jpeg,8,0,8,2,1,1,0,3,2,37.5,6,6,8,0,20,2,1,1,2,1,0,2,0,1
112.jpeg,7,0,7,2,1,1,0,3,1,42.9,6,2,8,0,16,2,1,1,2,1,0,1,0,1
113.jpeg,57,0,57,7,25,17,2,10,12,17.5,274,376,136,98,884,12,1,1,0,20,13,12,0,1
114.jpeg,58,0,58,7,24,17,2,10,13,17.2,234,334,132,90,790,13,1,1,1,20,13,13,0,1
115.jpeg,22,0,22,8,7,7,1,0,6,0.0,42,128,74,22,266,8,2,2,0,9,1,6,0,2
116.jpeg,37,0,37,7,15,15,0,3,12,8.1,170,264,110,0,544,12,2,2,12,18,11,12,0,2
117.jpeg,12,0,12,5,2,1,0,0,5,0.0,12,22,20,0,54,5,3,4,5,9,4,5,0,3
118.jpeg,35,0,35,6,16,16,1,1,11,2.9,180,288,182,38,688,11,1,1,0,20,14,11,0,1
119.jpeg,34,0,34,5,16,16,1,0,12,0.0,176,280,152,37,645,9,1,1,0,20,15,12,0,1
12.jpeg,16,0,16,1,10,6,0,0,5,0.0,154,226,28,0,408,2,0,0,2,16,15,5,0,0
120.jpeg,84,0,84,25,44,24,0,4,11,4.8,346,1448,230,0,2024,44,2,2,44,26,1,11,0,2
121.jpeg,34,0,34,9,16,16,1,0,8,0.0,230,314,212,41,797,15,3,3,0,20,11,8,0,3
15.jpeg,3,0,3,1,0,0,0,1,1,33.3,0,2,0,0,2,1,1,1,1,42,41,1,0,1
17.jpeg,15,0,15,4,6,3,0,1,4,6.7,126,56,70,0,252,8,0,0,8,4,0,4,0,0
2.jpeg,21,0,21,7,11,8,1,1,1,4.8,236,164,52,26,478,14,0,0,0,16,9,1,0,0
20.jpeg,70,0,70,6,25,16,2,8,28,11.4,656,1772,216,94,2738,11,0,0,0,48,42,28,0,0
201.jpeg,29,0,29,4,12,10,1,0,12,0.0,118,224,60,26,428,7,1,1,0,16,12,12,0,1
26.jpeg,86,0,86,22,2,1,1,0,61,0.0,2190,432,450,25,3097,22,7,12,0,8,0,61,0,7
27.jpeg,25,0,25,0,9,6,1,7,8,28.0,98,234,44,15,391,0,0,0,0,13,13,8,0,0
30.jpeg,29,0,29,7,14,0,1,0,7,0.0,126,138,88,21,373,13,1,13,0,18,11,7,0,1
33.jpeg,38,0,38,12,8,3,0,4,14,10.5,244,278,180,0,702,19,3,5,19,26,14,14,0,3
34.jpeg,82,0,82,12,41,32,1,15,13,18.3,1144,2616,772,85,4617,23,0,0,0,40,28,13,0,0
35.jpeg,10,0,10,2,2,2,1,2,3,20.0,62,18,4,6,90,3,0,0,0,4,2,3,0,0
4.jpeg,90,0,90,19,2,0,1,2,66,2.2,2990,590,544,21,4145,17,12,17,0,8,0,66,0,12
41.jpeg,15,0,15,7,3,0,1,0,4,0.0,78,84,30,10,202,10,0,10,0,8,1,4,0,0
42.jpeg,21,0,21,4,4,1,0,2,11,9.5,94,112,60,0,266,5,3,5,5,18,14,11,0,3
45_1.jpeg,26,0,26,5,7,1,0,5,9,19.2,104,118,56,0,278,9,0,9,9,18,13,9,0,0
45_2.jpeg,17,0,17,6,5,3,1,0,5,0.0,100,136,44,14,294,10,0,1,0,8,2,5,0,0
51.jpeg,28,0,28,6,13,10,0,0,9,0.0,378,312,126,0,816,12,0,0,12,18,12,9,0,0
53.jpeg,26,0,26,3,7,4,0,0,16,0.0,230,172,92,0,494,5,0,1,5,18,15,16,0,0
56.jpeg,15,0,15,2,8,3,1,1,3,6.7,118,66,22,13,219,4,0,0,0,10,8,3,0,0
57.jpeg,19,0,19,3,10,6,2,1,3,5.3,210,110,68,38,426,6,0,0,0,10,7,3,0,0
59.jpeg,35,0,35,5,7,6,1,1,21,2.9,224,308,98,18,648,5,2,2,0,28,23,21,10,2
6.jpeg,21,0,21,3,0,0,0,0,18,0.0,318,46,24,0,388,3,3,3,3,6,3,18,0,3
61.jpeg,27,0,27,2,14,7,2,0,9,0.0,340,350,72,46,808,4,0,0,0,22,20,9,0,0
63.jpeg,31,0,31,3,11,7,2,1,14,3.2,402,346,78,42,868,6,0,0,0,22,19,14,0,0
64.jpeg,25,0,25,4,8,4,0,2,11,8.0,168,234,68,0,470,8,0,0,8,8,4,11,0,0
67.jpeg,13,0,13,3,0,0,0,0,10,0.0,20,36,40,0,96,3,3,3,3,4,1,10,0,3
68.jpeg,43,0,43,5,21,4,0,2,15,4.7,202,528,108,0,838,9,0,7,9,34,29,15,0,0
78.jpeg,34,0,34,5,0,0,2,2,25,5.9,84,188,78,1,351,5,5,5,4,2,0,25,1,5
8.jpeg,9,0,9,2,1,0,0,0,6,0.0,20,42,14,0,76,2,0,2,2,18,16,6,0,0
82.jpeg,20,0,20,5,4,2,2,0,9,0.0,90,62,72,22,246,6,1,2,0,12,7,9,0,1
88.jpeg,22,0,22,5,11,9,0,0,6,0.0,210,258,66,0,534,10,0,0,10,16,11,6,0,0
9.jpeg,12,0,12,3,0,0,1,0,8,0.0,74,30,36,3,143,3,3,3,0,4,1,8,1,3
90.jpeg,32,0,32,9,11,8,0,2,10,6.2,220,260,88,0,568,14,0,0,14,17,8,10,0,0
91.jpeg,29,0,29,8,12,9,0,0,9,0.0,282,364,76,0,722,16,0,0,16,16,8,9,0,0
