image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,5,5,100,100,100,60
101.jpeg,11,10,10,60,90,100,20
102.jpeg,18,14,14,43,86,86,21
103.jpeg,18,14,14,21,79,43,0
104.jpeg,18,16,16,19,62,44,0
105.jpeg,18,12,12,17,67,92,0
106.jpeg,2,8,2,0,100,50,0
107.jpeg,10,16,10,10,60,100,10
108.jpeg,11,10,10,60,90,100,50
109.jpeg,9,8,8,62,88,100,38
110.jpeg,6,3,3,0,67,33,0
111.jpeg,1,2,1,100,0,0,0
112.jpeg,1,2,1,0,100,100,0
113.jpeg,20,12,12,25,92,83,8
114.jpeg,20,13,13,62,92,69,31
115.jpeg,9,8,8,25,88,100,0
116.jpeg,18,12,12,50,92,58,8
117.jpeg,9,5,5,20,80,20,0
118.jpeg,20,11,11,36,82,91,0
119.jpeg,20,9,9,67,100,100,0
12.jpeg,16,2,2,0,100,0,0
120.jpeg,26,44,26,58,77,19,0
121.jpeg,20,13,13,23,100,77,8
15.jpeg,42,1,1,0,0,0,0
17.jpeg,4,8,4,50,50,0,0
2.jpeg,16,14,14,21,86,57,21
20.jpeg,48,11,11,36,100,100,0
201.jpeg,16,9,9,22,89,89,11
26.jpeg,8,28,8,12,50,100,12
27.jpeg,13,0,0,0,0,0,0
30.jpeg,18,13,13,31,38,31,0
33.jpeg,26,19,19,0,84,26,0
34.jpeg,40,23,23,17,83,13,0
35.jpeg,4,3,3,67,67,67,67
4.jpeg,8,22,8,38,62,100,0
41.jpeg,8,10,8,12,62,100,0
42.jpeg,18,6,6,0,83,17,0
45_1.jpeg,18,10,10,20,70,30,0
45_2.jpeg,8,10,8,50,75,100,12
51.jpeg,18,12,12,17,75,50,8
53.jpeg,18,5,5,0,100,100,0
56.jpeg,10,4,4,25,100,100,0
57.jpeg,10,6,6,17,100,83,17
59.jpeg,28,5,5,40,100,100,0
6.jpeg,6,3,3,0,100,67,0
61.jpeg,22,4,4,0,100,0,0
63.jpeg,22,6,6,0,100,0,0
64.jpeg,8,8,8,25,100,50,12
67.jpeg,4,1,1,0,100,100,0
68.jpeg,34,13,13,23,85,92,8
78.jpeg,2,4,2,0,100,100,0
8.jpeg,18,2,2,0,50,0,0
82.jpeg,12,6,6,0,83,33,0
88.jpeg,16,12,12,17,100,8,0
9.jpeg,4,3,3,0,0,67,0
90.jpeg,17,16,16,25,81,0,0
91.jpeg,16,18,16,19,81,25,0
