image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.jpeg,5,1,1,100,100,100,100,100
101.jpeg,11,10,10,40,20,100,0,0
102.jpeg,18,14,14,21,0,64,0,0
103.jpeg,18,15,15,20,13,0,0,0
104.jpeg,18,16,16,6,6,0,0,0
105.jpeg,18,12,12,0,17,75,0,0
106.jpeg,2,12,2,50,50,0,0,0
107.jpeg,10,16,10,0,50,100,0,0
108.jpeg,11,10,10,50,70,80,50,50
109.jpeg,9,8,8,38,12,100,0,0
110.jpeg,6,4,4,25,75,0,25,0
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,0,0,0,0,0
113.jpeg,20,12,12,8,8,83,0,0
114.jpeg,20,13,13,38,8,69,8,0
115.jpeg,9,8,8,12,12,100,0,0
116.jpeg,18,12,12,33,0,0,0,0
117.jpeg,9,5,5,0,0,0,0,0
118.jpeg,20,11,11,0,0,91,0,0
119.jpeg,20,9,9,11,11,100,0,0
12.jpeg,16,2,2,0,0,0,0,0
120.jpeg,26,43,26,46,54,0,31,0
121.jpeg,20,13,13,8,0,77,0,0
15.jpeg,42,1,1,0,0,0,0,0
17.jpeg,4,8,4,25,50,0,0,0
2.jpeg,16,13,13,15,0,62,0,0
20.jpeg,48,11,11,0,64,100,0,0
201.jpeg,16,9,9,11,0,89,0,0
26.jpeg,8,28,8,12,0,100,0,0
27.jpeg,13,0,0,0,0,0,0,0
30.jpeg,18,13,13,15,0,31,0,0
33.jpeg,26,21,21,0,5,0,0,0
34.jpeg,40,24,24,17,25,17,8,0
35.jpeg,4,3,3,67,0,67,0,0
4.jpeg,8,22,8,0,0,100,0,0
41.jpeg,8,10,8,0,0,100,0,0
42.jpeg,18,6,6,0,0,0,0,0
45_1.jpeg,18,10,10,10,0,0,0,0
45_2.jpeg,8,9,8,0,0,100,0,0
51.jpeg,18,12,12,17,42,0,8,0
53.jpeg,18,5,5,0,0,0,0,0
56.jpeg,10,4,4,0,0,100,0,0
57.jpeg,10,6,6,17,50,83,17,17
59.jpeg,28,7,7,0,0,100,0,0
6.jpeg,6,3,3,0,0,0,0,0
61.jpeg,22,2,2,0,0,0,0,0
63.jpeg,22,5,5,0,0,0,0,0
64.jpeg,8,8,8,0,75,0,0,0
67.jpeg,4,1,1,0,0,0,0,0
68.jpeg,34,13,13,0,0,0,0,0
78.jpeg,2,4,2,0,0,0,0,0
8.jpeg,18,2,2,0,0,0,0,0
82.jpeg,12,5,5,0,60,0,0,0
88.jpeg,16,12,12,17,0,67,0,0
9.jpeg,4,3,3,0,0,67,0,0
90.jpeg,17,15,15,27,0,0,0,0
91.jpeg,16,18,16,12,0,50,0,0
