image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,False,False,True,False,False
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,True,False,False
101.jpeg,Fett,-davon gesattigte Fettsauren <0.1g,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,True,True,False,False
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,True,True,True,False,False
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True
101.jpeg,Eiweiß,Salz,6.3,660.0,g,,per_100g,per_100g,False,False,True,False,False
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,True,True,False,False
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,True,True,False,False
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,False,False,True,False,False
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,False,False,True,False,False
102.jpeg,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,g,per_100g,per_100g,True,True,True,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,False,True,True,False,False
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,g,per_100g,per_100g,False,True,True,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,31,g,g,per_100g,per_100g,False,True,True,False,False
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,g,per_100g,per_100g,False,True,True,False,False
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True
102.jpeg,Energie,Fettsauren,188,1.1,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
102.jpeg,Energie,Fettsauren,45,31,kcal,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
102.jpeg,Fett,Kohlenhydrate,1.0,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,True,False,False,False
