image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.jpeg,5,6,3,100,100,100,100,100
101.jpeg,11,11,7,57,57,100,57,57
102.jpeg,18,23,11,55,82,64,45,27
103.jpeg,18,23,14,43,71,57,29,21
104.jpeg,18,21,14,43,64,57,36,29
105.jpeg,18,18,10,30,50,60,20,0
106.jpeg,2,12,1,100,100,0,100,0
107.jpeg,10,16,7,14,43,100,14,14
108.jpeg,11,10,6,67,67,100,67,67
109.jpeg,9,9,5,60,60,100,60,60
110.jpeg,6,4,2,100,100,50,100,50
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,20,19,11,36,91,36,36,18
114.jpeg,20,18,12,75,92,33,75,25
115.jpeg,9,9,5,0,40,100,0,0
116.jpeg,18,14,9,89,89,56,89,44
117.jpeg,9,6,5,40,20,100,20,20
118.jpeg,20,14,9,0,67,67,0,0
119.jpeg,20,11,7,0,86,57,0,0
12.jpeg,16,3,0,0,0,0,0,0
120.jpeg,26,51,13,85,62,54,54,38
121.jpeg,20,19,11,73,91,55,73,36
15.jpeg,42,1,0,0,0,0,0,0
17.jpeg,4,12,3,100,33,0,33,0
2.jpeg,16,15,8,62,75,50,62,38
20.jpeg,48,18,4,50,50,50,25,25
201.jpeg,16,10,0,0,0,0,0,0
26.jpeg,8,36,7,14,43,100,14,14
27.jpeg,13,0,0,0,0,0,0,0
30.jpeg,18,18,14,64,0,43,0,0
33.jpeg,26,22,16,6,69,0,6,0
34.jpeg,40,35,28,39,86,54,36,21
35.jpeg,4,3,3,67,67,67,67,67
4.jpeg,8,31,6,0,0,100,0,0
41.jpeg,8,10,6,0,0,100,0,0
42.jpeg,18,6,6,0,0,17,0,0
45_1.jpeg,18,13,10,20,0,40,0,0
45_2.jpeg,8,10,5,20,40,100,20,20
51.jpeg,18,21,3,33,0,67,0,0
53.jpeg,18,10,0,0,0,0,0,0
56.jpeg,10,6,2,50,100,50,50,50
57.jpeg,10,12,2,50,100,50,50,0
59.jpeg,28,8,0,0,0,0,0,0
6.jpeg,6,6,2,0,0,0,0,0
61.jpeg,22,3,0,0,0,0,0,0
63.jpeg,22,7,0,0,0,0,0,0
64.jpeg,8,8,1,100,100,0,100,0
67.jpeg,4,1,0,0,0,0,0,0
68.jpeg,34,18,0,0,0,0,0,0
78.jpeg,2,4,1,0,0,0,0,0
8.jpeg,18,4,4,0,0,0,0,0
82.jpeg,12,5,5,0,0,0,0,0
88.jpeg,16,16,2,0,100,50,0,0
9.jpeg,4,3,3,0,0,67,0,0
90.jpeg,17,20,10,80,100,50,80,50
91.jpeg,16,26,9,56,67,44,33,11
