image_id,nutrient,quantity,unit,context
1.png,Magnesium (gesamt,400,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,
1.png,Magnesiumbisglycinat,350,mg,
1.png,Magnesiummalat,333,mg,
101.png,Energie,,,per_100g
101.png,Fett,0.8,g,per_100g
101.png,-davon gesattigte Fettsauren,<0.1,g,per_100g
101.png,Kohlenhydrate,86.1,g,
101.png,-davon Zucker,8.9,g,
101.png,Ballaststoffe,3.0,g,
101.png,Eiweiss,6.3,g,
101.png,Salz,0.09,g,
101.png,Thiamin,,,
101.png,Natrium,36,mg,
102.png,Energie,,,per_100g
102.png,Fett,,,per_100g
102.png,davon gesattigte,0.1,g,per_100g
102.png,Fettsauren,,,per_100g
102.png,Kohlenhydrate,3.9,g,
102.png,-davon Zucker,,,
102.png,Ballaststoffe,,,
102.png,Eiweiss,,,
102.png,Salz,,,
103.jpeg,Energie,328,kcal,per_100g
103.jpeg,Energie,3.7,kcal,per_100g
103.jpeg,Energie,39,kcal,per_100g
103.jpeg,Fett,328,kcal,per_100g
103.jpeg,Fett,0.4,g,per_100g
103.jpeg,Fett,3.7,kcal,per_100g
103.jpeg,davon gesattigte,0.4,g,per_100g
103.jpeg,davon gesattigte,3.7,kcal,per_100g
103.jpeg,Fettsauren,0.4,g,per_100g
103.jpeg,Fettsauren,51,g,per_100g
103.jpeg,Fettsauren,6.1,g,per_100g
103.jpeg,Kohlenhydrate,51,g,per_100g
103.jpeg,Kohlenhydrate,6.1,g,per_100g
103.jpeg,davon Zucker,51,g,per_100g
103.jpeg,davon Zucker,16,g,per_100g
103.jpeg,Ballaststoffe,7.7,g,per_100g
103.jpeg,Ballaststoffe,51,g,per_100g
103.jpeg,Ballaststoffe,16,g,per_100g
103.jpeg,Eiweiss,7.7,g,per_100g
103.jpeg,Eiweiss,16,g,per_100g
103.jpeg,Eiweiss,1.9,g,per_100g
103.jpeg,Salz,7.7,g,per_100g
103.jpeg,Salz,66.0,g,per_100g
104.jpeg,Energie,361,kcal,per_100g
104.jpeg,Energie,51,kcal,per_100g
104.jpeg,Energie,14,g,per_100g
104.jpeg,Fett,361,kcal,per_100g
104.jpeg,Fett,2.6,kcal,per_100g
104.jpeg,Fett,51,kcal,per_100g
104.jpeg,davon gesattigte,0.6,g,per_100g
104.jpeg,davon gesattigte,2.6,kcal,per_100g
104.jpeg,davon gesattigte,51,kcal,per_100g
104.jpeg,Fettsauren,0.6,g,per_100g
104.jpeg,Fettsauren,2.6,kcal,per_100g
104.jpeg,Fettsauren,72,g,per_100g
104.jpeg,Kohlenhydrate,0.6,g,per_100g
104.jpeg,Kohlenhydrate,72,g,per_100g
104.jpeg,davon Zucker,10,g,per_100g
104.jpeg,davon Zucker,72,g,per_100g
104.jpeg,Ballaststoffe,10,g,per_100g
104.jpeg,Ballaststoffe,3.2,g,per_100g
104.jpeg,Ballaststoffe,72,g,per_100g
104.jpeg,Salz,3.2,g,per_100g
104.jpeg,Salz,0.1,g,per_100g
105.png,Energie,1320,kj,per_100g
105.png,Fett,2.7,g,per_100g
