image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.PNG,5,0,0,0,0,0,0,0
1.png,0,4,0,0,0,0,0,0
101.PNG,11,0,0,0,0,0,0,0
101.png,0,10,0,0,0,0,0,0
102.PNG,18,0,0,0,0,0,0,0
102.png,0,9,0,0,0,0,0,0
103.jpeg,18,23,14,43,71,57,29,21
104.jpeg,18,21,14,43,64,57,36,29
105.PNG,18,0,0,0,0,0,0,0
105.png,0,10,0,0,0,0,0,0
106.PNG,2,0,0,0,0,0,0,0
106.png,0,8,0,0,0,0,0,0
107.PNG,10,0,0,0,0,0,0,0
107.png,0,10,0,0,0,0,0,0
108.jpeg,11,10,6,67,67,100,67,67
109.jpeg,9,9,5,60,60,100,60,60
110.jpeg,6,4,2,100,100,50,100,50
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,0,0,0,0,0,0
113.jpeg,20,19,11,36,91,36,36,18
114.jpeg,20,18,12,75,92,33,75,25
115.PNG,9,0,0,0,0,0,0,0
115.png,0,9,0,0,0,0,0,0
116.jpeg,18,14,9,89,89,56,89,44
117.jpeg,9,6,5,40,20,100,20,20
118.jpeg,20,14,9,0,67,67,0,0
119.jpeg,20,11,7,0,86,57,0,0
12.PNG,16,0,0,0,0,0,0,0
12.png,0,1,0,0,0,0,0,0
120.jpeg,26,51,13,85,62,54,54,38
121.jpeg,20,19,11,73,91,55,73,36
15.PNG,42,0,0,0,0,0,0,0
15.png,0,6,0,0,0,0,0,0
17.PNG,4,0,0,0,0,0,0,0
17.png,0,7,0,0,0,0,0,0
2.PNG,16,0,0,0,0,0,0,0
2.png,0,9,0,0,0,0,0,0
20.PNG,48,0,0,0,0,0,0,0
20.png,0,36,0,0,0,0,0,0
201.jpeg,16,10,0,0,0,0,0,0
26.PNG,8,0,0,0,0,0,0,0
26.png,0,7,0,0,0,0,0,0
27.PNG,13,0,0,0,0,0,0,0
27.png,0,12,0,0,0,0,0,0
30.PNG,18,0,0,0,0,0,0,0
30.png,0,14,0,0,0,0,0,0
33.PNG,26,0,0,0,0,0,0,0
33.png,0,19,0,0,0,0,0,0
34.PNG,40,0,0,0,0,0,0,0
34.png,0,34,0,0,0,0,0,0
35.jpeg,4,3,3,67,67,67,67,67
4.PNG,8,0,0,0,0,0,0,0
4.png,0,39,0,0,0,0,0,0
41.PNG,8,0,0,0,0,0,0,0
41.png,0,7,0,0,0,0,0,0
42.PNG,18,0,0,0,0,0,0,0
42.png,0,8,0,0,0,0,0,0
45_1.PNG,18,0,0,0,0,0,0,0
45_1.png,0,8,0,0,0,0,0,0
45_2.PNG,8,0,0,0,0,0,0,0
45_2.png,0,7,0,0,0,0,0,0
51.PNG,18,0,0,0,0,0,0,0
51.png,0,8,0,0,0,0,0,0
53.PNG,18,0,0,0,0,0,0,0
53.png,0,8,0,0,0,0,0,0
56.jpeg,10,6,2,50,100,50,50,50
57.jpeg,10,12,2,50,100,50,50,0
59.PNG,28,0,0,0,0,0,0,0
59.png,0,12,0,0,0,0,0,0
6.PNG,6,0,0,0,0,0,0,0
6.png,0,5,0,0,0,0,0,0
61.PNG,22,0,0,0,0,0,0,0
61.png,0,14,0,0,0,0,0,0
63.PNG,22,0,0,0,0,0,0,0
63.png,0,14,0,0,0,0,0,0
64.PNG,8,0,0,0,0,0,0,0
64.png,0,8,0,0,0,0,0,0
67.jpeg,4,1,0,0,0,0,0,0
68.jpeg,34,18,0,0,0,0,0,0
78.jpeg,2,4,1,0,0,0,0,0
8.PNG,18,0,0,0,0,0,0,0
8.png,0,11,0,0,0,0,0,0
82.jpeg,12,5,5,0,0,0,0,0
88.PNG,16,0,0,0,0,0,0,0
88.png,0,7,0,0,0,0,0,0
9.jpeg,4,3,3,0,0,67,0,0
90.PNG,17,0,0,0,0,0,0,0
90.png,0,9,0,0,0,0,0,0
91.PNG,16,0,0,0,0,0,0,0
91.png,0,9,0,0,0,0,0,0
