tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,1.png,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,400,mg,,context: got None expected per_daily_dose
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,350,mg,,context: got None expected per_daily_dose
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,333,mg,,context: got None expected per_daily_dose
incorrect,101.png,Energie,1625,kJ,per_100g,Energie,,,per_100g,qty: got None expected 1625 | unit: got None expected kJ
missing,101.png,Energie,383,kcal,per_100g,,,,,nutrient not found in predictions
missing,101.png,- davon gesättigte Fettsäuren,< 0.1,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.png,Kohlenhydrate,86.1,g,per_100g,Kohlenhydrate,86.1,g,,context: got None expected per_100g
missing,101.png,- davon Zucker,8.9,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.png,Ballaststoffe,3.0,g,per_100g,Ballaststoffe,3.0,g,,context: got None expected per_100g
missing,101.png,Eiweiß,6.3,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.png,Salz,0.09,g,per_100g,Salz,0.09,g,,context: got None expected per_100g
incorrect,101.png,Thiamin,0.44,mg,per_100g,Thiamin,,,,qty: got None expected 0.44 | unit: got None expected mg | context: got None expected per_100g
incorrect,101.png,Natrium,36,mg,per_100g,Natrium,36,mg,,context: got None expected per_100g
incorrect,102.png,Energie,1502,kJ,per_100g,Energie,,,per_100g,qty: got None expected 1502 | unit: got None expected kJ
missing,102.png,Energie,356,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Fett,7.7,g,per_100g,Fett,,,per_100g,qty: got None expected 7.7 | unit: got None expected g
missing,102.png,- davon gesättigte Fettsäuren,1.1,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Kohlenhydrate,63,g,per_100g,Kohlenhydrate,3.9,g,,qty: got 3.9 expected 63 | context: got None expected per_100g
missing,102.png,- davon Zucker,31,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Ballaststoffe,5.1,g,per_100g,Ballaststoffe,,,,qty: got None expected 5.1 | unit: got None expected g | context: got None expected per_100g
missing,102.png,Eiweiß,5.9,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Salz,0.14,g,per_100g,Salz,,,,qty: got None expected 0.14 | unit: got None expected g | context: got None expected per_100g
missing,102.png,Energie,188,kJ,per_serving,,,,,nutrient not found in predictions
missing,102.png,Energie,45,kcal,per_serving,,,,,nutrient not found in predictions
incorrect,102.png,Fett,1.0,g,per_serving,Fettsauren,,,per_100g,nutrient: Nutrient specificity mismatch: 'Fett' vs 'Fettsauren' | qty: got None expected 1.0 | unit: got None expected g | context: got per_100g expected per_serving
missing,102.png,- davon gesättigte Fettsäuren,0.1,g,per_serving,,,,,nutrient not found in predictions
missing,102.png,Kohlenhydrate,7.9,g,per_serving,,,,,nutrient not found in predictions
missing,102.png,- davon Zucker,3.9,g,per_serving,,,,,nutrient not found in predictions
missing,102.png,Ballaststoffe,0.6,g,per_serving,,,,,nutrient not found in predictions
missing,102.png,Eiweiß,0.7,g,per_serving,,,,,nutrient not found in predictions
missing,102.png,Salz,0.02,g,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Energie,1383,kJ,per_100g,Energie,328,kcal,per_100g,qty: got 328 expected 1383 | unit: got kcal expected kJ
incorrect,103.jpeg,Energie,328,kcal,per_100g,Energie,3.7,kcal,per_100g,qty: got 3.7 expected 328
incorrect,103.jpeg,Fett,3.7,g,per_100g,Fett,3.7,kcal,per_100g,unit: got kcal expected g
incorrect,103.jpeg,davon gesättigte Fettsäuren,0.4,g,per_100g,Fett,0.4,g,per_100g,nutrient: specificity rule violated: 'Fett' vs 'davon gesättigte Fettsäuren'
missing,103.jpeg,Eiweiß,7.7,g,per_100g,,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_100g,Salz,7.7,g,per_100g,qty: got 7.7 expected 0
incorrect,103.jpeg,Energie,166,kJ,per_serving,Energie,39,kcal,per_100g,qty: got 39 expected 166 | unit: got kcal expected kJ | context: got per_100g expected per_serving
missing,103.jpeg,Energie,39,kcal,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Fett,0.4,g,per_serving,Fett,328,kcal,per_100g,qty: got 328 expected 0.4 | unit: got kcal expected g | context: got per_100g expected per_serving
missing,103.jpeg,davon gesättigte Fettsäuren,0,g,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Kohlenhydrate,6.1,g,per_serving,Kohlenhydrate,6.1,g,per_100g,context: got per_100g expected per_serving
incorrect,103.jpeg,davon Zucker,6.1,g,per_serving,davon Zucker,16,g,per_100g,qty: got 16 expected 6.1 | context: got per_100g expected per_serving
incorrect,103.jpeg,Ballaststoffe,1.9,g,per_serving,Ballaststoffe,7.7,g,per_100g,qty: got 7.7 expected 1.9 | context: got per_100g expected per_serving
missing,103.jpeg,Eiweiß,0.9,g,per_serving,,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_serving,Salz,66.0,g,per_100g,qty: got 66.0 expected 0 | context: got per_100g expected per_serving
incorrect,104.jpeg,Energie,1528,kJ,per_100g,Energie,361,kcal,per_100g,qty: got 361 expected 1528 | unit: got kcal expected kJ
incorrect,104.jpeg,Energie,361,kcal,per_100g,Energie,51,kcal,per_100g,qty: got 51 expected 361
incorrect,104.jpeg,Fett,2.6,g,per_100g,Fett,2.6,kcal,per_100g,unit: got kcal expected g
incorrect,104.jpeg,davon gesättigte Fettsäuren,0.6,g,per_100g,Fett,361,kcal,per_100g,nutrient: Nutrient does not match due to specificity rule violation. | qty: got 361 expected 0.6 | unit: got kcal expected g
missing,104.jpeg,Eiweiß,3.2,g,per_100g,,,,,nutrient not found in predictions
incorrect,104.jpeg,Energie,214,kJ,per_serving,Energie,14,g,per_100g,qty: got 14 expected 214 | unit: got g expected kJ | context: got per_100g expected per_serving
missing,104.jpeg,Energie,51,kcal,per_serving,,,,,nutrient not found in predictions
incorrect,104.jpeg,Fett,0,g,per_serving,Fett,51,kcal,per_100g,qty: got 51 expected 0 | unit: got kcal expected g | context: got per_100g expected per_serving
missing,104.jpeg,davon gesättigte Fettsäuren,0,g,per_serving,,,,,nutrient not found in predictions
