image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.png,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,,True,True,False,True,False
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,mg,per_daily_dose,,True,True,False,True,False
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,,True,True,False,True,False
101.png,Energie,Energie,1625,,kJ,,per_100g,per_100g,False,False,True,False,False
101.png,Fett,Fett,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Kohlenhydrate,Kohlenhydrate,86.1,86.1,g,g,per_100g,,True,True,False,True,False
101.png,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,,True,True,False,True,False
101.png,Salz,Salz,0.09,0.09,g,g,per_100g,,True,True,False,True,False
101.png,Thiamin,Thiamin,0.44,,mg,,per_100g,,False,False,False,False,False
101.png,Natrium,Natrium,36,36,mg,mg,per_100g,,True,True,False,True,False
102.png,Energie,Energie,1502,,kJ,,per_100g,per_100g,False,False,True,False,False
102.png,Fett,Fett,7.7,,g,,per_100g,per_100g,False,False,True,False,False
102.png,Kohlenhydrate,Kohlenhydrate,63,3.9,g,g,per_100g,,False,True,False,False,False
102.png,Ballaststoffe,Ballaststoffe,5.1,,g,,per_100g,,False,False,False,False,False
102.png,Salz,Salz,0.14,,g,,per_100g,,False,False,False,False,False
102.png,Fett,Fettsauren,1.0,,g,,per_serving,per_100g,False,False,False,False,False
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,per_100g,False,False,True,False,False
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,per_100g,False,True,True,False,False
103.jpeg,Fett,Fett,3.7,3.7,g,kcal,per_100g,per_100g,True,False,True,False,False
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,0.4,g,g,per_100g,per_100g,True,True,True,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,davon Zucker,davon Zucker,51,51,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Ballaststoffe,Ballaststoffe,16,16,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Salz,Salz,0,7.7,g,g,per_100g,per_100g,False,True,True,False,False
103.jpeg,Energie,Energie,166,39,kJ,kcal,per_serving,per_100g,False,False,False,False,False
