image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.jpeg,5,2,2,100,100,0,0,0
101.jpeg,11,10,9,11,11,78,11,11
102.jpeg,18,15,14,7,7,36,7,0
103.jpeg,18,16,13,8,15,23,8,8
104.jpeg,18,12,11,18,18,64,18,9
105.jpeg,18,7,5,0,20,40,0,0
106.jpeg,2,5,0,0,0,0,0,0
107.jpeg,10,6,6,0,0,0,0,0
108.jpeg,11,12,8,0,25,0,0,0
109.jpeg,9,9,8,0,25,75,0,0
110.jpeg,6,4,4,50,50,50,50,25
111.jpeg,1,2,1,0,0,0,0,0
112.jpeg,1,2,1,0,0,0,0,0
113.jpeg,20,24,15,27,47,20,20,13
114.jpeg,20,24,17,41,82,29,41,29
115.jpeg,9,10,7,0,0,71,0,0
116.jpeg,18,18,15,20,67,33,20,13
117.jpeg,9,8,8,0,12,0,0,0
118.jpeg,20,15,13,0,15,0,0,0
119.jpeg,20,9,4,0,50,0,0,0
12.jpeg,16,0,0,0,0,0,0,0
120.jpeg,26,39,26,23,42,0,23,0
121.jpeg,20,20,13,31,77,23,31,23
15.jpeg,42,0,0,0,0,0,0,0
17.jpeg,4,2,2,0,0,0,0,0
2.jpeg,16,9,4,0,0,0,0,0
20.jpeg,48,0,0,0,0,0,0,0
201.jpeg,16,15,1,0,0,0,0,0
26.jpeg,8,20,5,0,0,0,0,0
27.jpeg,13,0,0,0,0,0,0,0
30.jpeg,18,0,0,0,0,0,0,0
33.jpeg,26,0,0,0,0,0,0,0
34.jpeg,40,3,3,0,33,0,0,0
35.jpeg,4,4,1,0,0,0,0,0
4.jpeg,8,1,0,0,0,0,0,0
41.jpeg,8,0,0,0,0,0,0,0
42.jpeg,18,0,0,0,0,0,0,0
45_1.jpeg,18,2,1,0,0,0,0,0
45_2.jpeg,8,2,2,0,0,0,0,0
51.jpeg,18,0,0,0,0,0,0,0
53.jpeg,18,0,0,0,0,0,0,0
56.jpeg,10,5,4,25,50,50,25,25
57.jpeg,10,2,1,100,0,100,0,0
59.jpeg,28,0,0,0,0,0,0,0
6.jpeg,6,0,0,0,0,0,0,0
61.jpeg,22,12,8,0,0,0,0,0
63.jpeg,22,0,0,0,0,0,0,0
64.jpeg,8,0,0,0,0,0,0,0
67.jpeg,4,1,1,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,1,1,0,0,0,0,0
8.jpeg,18,0,0,0,0,0,0,0
82.jpeg,12,6,5,0,0,0,0,0
88.jpeg,16,3,2,0,0,0,0,0
9.jpeg,4,1,0,0,0,0,0,0
90.jpeg,17,14,3,67,33,0,33,0
91.jpeg,16,6,1,0,0,0,0,0
