image_id,nutrient,quantity,unit,context
1.png,Magnesium (gesamt,400,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiumbisglycinat,350,mg,per_daily_dose
1.png,Magnesiummalat,333,mg,per_daily_dose
2.png,Energie/energy kJ (kcal,1195,kcal,per_100g
2.png,Energie/energy kJ (kcal,837,kcal,per_daily_dose
2.png,Fett/fat,1616,,per_100g
2.png,davon gesattigte Fettsauren,70,g,per_100g
2.png,davon gesattigte Fettsauren,50,g,per_daily_dose
2.png,of which saturates,33,g,per_100g
2.png,of which saturates,25,g,per_daily_dose
2.png,Kohlenhydrate/carbohydrates,70,g,per_100g
2.png,Kohlenhydrate/carbohydrates,50,g,per_daily_dose
2.png,davon Zuckerarten/of which sugars,33,g,per_100g
2.png,davon Zuckerarten/of which sugars,25,g,per_daily_dose
2.png,Eiweiss/Protein,0,g,per_100g
2.png,Salz/salt,0.43,g,per_100g
2.png,Salz/salt,0.30,g,per_daily_dose
4.png,ENERGY,,,per_100g
4.png,VALORE ENERGETICO,,,per_100g
4.png,VALOR ENERGETICO,,,per_100g
4.png,energie,,,per_100g
4.png,Energie,,,per_100g
4.png,Energie,0,g,per_100g
4.png,FAT,0,g,per_100g
4.png,GRASSI,0,g,per_100g
4.png,lipides,0,g,per_100g
4.png,GRASAS,0,g,per_100g
4.png,GRAISSES,0,g,per_100g
4.png,VETTEN,0,g,per_100g
4.png,FETT,0,g,per_100g
4.png,saturates,,,per_100g
4.png,davon gesattigte,0,g,per_100g
4.png,saturates,0,g,per_100g
4.png,SATURATES,0,g,per_100g
4.png,verzadigde vetzuren,0,g,per_100g
4.png,Fettsauren,0,g,per_100g
4.png,Fettsauren,56,g,per_100g
4.png,carbohydrates,56,g,per_100g
4.png,carbohydrate,56,g,per_100g
4.png,glucides,6.7,g,per_100g
4.png,glucides,56,g,per_100g
4.png,KOOLHYDRATEN,6.7,g,per_100g
4.png,KOOLHYDRATEN,56,g,per_100g
4.png,Kohlenhydrate,6.7,g,per_100g
4.png,Kohlenhydrate,56,g,per_100g
4.png,DI CUI ZUCCHERI,6.7,g,per_100g
4.png,DONT SUCRES,6.7,g,per_100g
4.png,WAARVAN SUIKERS,6.7,g,per_100g
4.png,DAVON ZUCKER,6.7,g,per_100g
4.png,PROTEIN,,,per_100g
4.png,proteines,,,per_100g
4.png,proteins,,,per_100g
4.png,protein,,,per_100g
4.png,PROTEINES,,,per_100g
4.png,EIWITTEN,0.12,g,per_100g
4.png,PROTEIN,0.12,g,per_100g
4.png,eiweiss,0.12,g,per_100g
4.png,SALE,0.12,g,per_100g
4.png,SALT,0.12,g,per_100g
4.png,SAL,0.12,g,per_100g
4.png,SEL,0.12,g,per_100g
4.png,SALT,,,per_100g
6.png,VITAMIN C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,POTASSIUM,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,SODIUM,200,mg,per_serving
6.png,GREENTEA,1,mg,per_serving
8.png,ENERGY kJ/kca,2.2,kj/kca,per_serving
8.png,protein,2.2,,per_serving
8.png,protein,3.7,,per_100g
8.png,FAT: (g,4.8,g,per_serving
8.png,FAT: (g,7.9,g,per_100g
8.png,- SATURATED FAT (g,7.9,g,per_100g
8.png,carbohydrate,21271,,per_serving
8.png,-SUGARS (g,21271,g,per_serving
8.png,-SUGARS (g,2823232,g,per_100g
8.png,dietary fibre,,,per_serving
8.png,SODIUM (mg,,,per_serving
9.jpeg,Vitamin Czuachten,,,per_daily_dose
9.jpeg,Zink,,,per_daily_dose
