image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Energie,Energie,1625,0.8,kJ,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.png,Fett,Fett,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Kohlenhydrate,Kohlenhydrate,86.1,86.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Salz,Salz,0.09,0.09,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Thiamin,Thiamin,0.44,36,mg,mg,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Natrium,Natrium,36,36,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.png,Energie,Energie,356,1.0,kcal,g,per_100g,per_daily_dose,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Kohlenhydrate,Kohlenhydrate,63,63,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Ballaststoffe,Ballaststoffe,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Fett,Fettsauren,1.0,1.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,False,fast+llm,Fett and Fettsauren are different nutrients.,Quantities do not match and are outside tolerance.,"Units differ, g vs 100g.",Contexts do not match after stripping serving size.
102.png,Kohlenhydrate,Kohlenhydrate,7.9,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Ballaststoffe,Ballaststoffe,0.6,0.6,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
103.jpeg,Energie,Energie,328,3.7,kcal,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
103.jpeg,Fett,Fett,3.7,3.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,0.4,g,g,per_100g,per_100g,False,True,True,True,False,False,fast+llm,specificity rule violated: 'Fett' is more general than 'davon gesättigte Fettsäuren',0.4 matches 0.4 within tolerance,units match after normalization,contexts match after stripping serving-size suffix
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,davon Zucker,davon Zucker,51,51,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Ballaststoffe,Ballaststoffe,16,16,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Salz,Salz,0,7.7,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Energie,Energie,166,39,kJ,kcal,per_serving (pro Port. (12g)),per_serving,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
103.jpeg,Fett,Fett,0.4,39,g,kcal,per_serving (pro Port. (12g)),per_serving,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,6.1,g,g,per_serving (pro Port. (12g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,davon Zucker,davon Zucker,6.1,6.1,g,g,per_serving (pro Port. (12g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,1.9,g,g,per_serving (pro Port. (12g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Salz,Salz,0,66.0,g,g,per_serving (pro Port. (12g)),per_serving,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
104.jpeg,Energie,Energie,1528,361,kJ,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
104.jpeg,Energie,Energie,361,51,kcal,kcal,per_100g,per_serving,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
104.jpeg,Fett,Fett,2.6,2.6,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,davon gesättigte Fettsäuren,Fett,0.6,361,g,kcal,per_100g,per_100g,False,False,False,True,False,False,fast+llm,Nutrient does not match due to specificity rule violation.,Quantities do not match and are not partial matches.,Units do not match and are not aliases.,Context does not match serving size suffix.
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,72,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,davon Zucker,davon Zucker,72,72,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Ballaststoffe,Ballaststoffe,10,10,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Salz,Salz,0.1,0.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Energie,Energie,214,14,kJ,g,per_serving (pro Port. (14g)),per_serving,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
104.jpeg,Fett,Fett,0,51,g,kcal,per_serving (pro Port. (14g)),per_serving,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
104.jpeg,Kohlenhydrate,Kohlenhydrate,10,10,g,g,per_serving (pro Port. (14g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,davon Zucker,davon Zucker,10,10,g,g,per_serving (pro Port. (14g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Ballaststoffe,Ballaststoffe,1.4,1.4,g,g,per_serving (pro Port. (14g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Salz,Salz,0,0,g,g,per_serving (pro Port. (14g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
105.png,Energie,Energie,1320,1320,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
105.png,Energie,Energie,313,38,kcal,kcal,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
105.png,Fett,Fett,2.7,2.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
105.png,- davon gesättigte Fettsäuren,Fett,0.4,0.3,g,g,per_100g,per_100g,False,False,True,True,False,False,fast+llm,specificity rule violated: 'Fett' vs 'Fettsäuren',quantities do not match within tolerance,units are the same and valid,serving size suffixes stripped and match
105.png,Kohlenhydrate,Kohlenhydrate,52.1,6.2,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
105.png,Ballaststoffe,Ballaststoffe,15.5,15.5,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
105.png,Salz,Salz,0.03,0.03,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
105.png,Energie,Energie,158,158,kJ,kj,per_serving (1 Portion* (12 g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
