image_id,token,context,rule_label,nutrient_score,second_best_score,second_best_cat,quantity_score,unit_score,context_score,noise_score,margin_actual,gt_label,current_pred,gt_label_old
1.png,VR,VR,,0.535,0.5083,NOISE,0.4595,0.4361,0.4144,0.5083,0.0267,0,0,0
1.png,Nahrstoffe**,Nahrstoffe**,,0.6132,0.5234,NOISE,0.458,0.3878,0.4434,0.5234,0.0899,0,0,0
1.png,Magnesium (gesamt),Magnesium (gesamt),,0.7631,0.4645,UNIT,0.4087,0.4645,0.4503,0.4136,0.2986,1,1,0
1.png,Magnesiumoxid,Magnesiumoxid 400 mg,,0.873,0.4433,CONTEXT,0.409,0.4397,0.4433,0.4166,0.4297,1,1,1
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,,0.6973,0.4291,UNIT,0.3976,0.4291,0.4066,0.4194,0.2682,1,1,1
1.png,Magnesiummalat,Magnesiummalat 333 mg,,0.7067,0.4666,QUANTITY,0.4666,0.4453,0.4572,0.4402,0.2402,1,1,1
1.png,**,**,,0.4774,0.5012,NOISE,0.4425,0.3936,0.4365,0.5012,-0.0238,0,0,0
1.png,Nahr,Nahr,,0.615,0.451,NOISE,0.4198,0.2838,0.3475,0.451,0.164,0,1,0
1.png,**,**,,0.4774,0.5012,NOISE,0.4425,0.3936,0.4365,0.5012,-0.0238,0,0,0
2.png,Energie/energy kJ (kcal),Energie/energy kJ (kcal),,0.6816,0.6323,UNIT,0.4619,0.6323,0.4355,0.4488,0.0493,1,0,0
2.png,Fett/fat,Fett/fat,,0.7402,0.5325,NOISE,0.4382,0.4359,0.5007,0.5325,0.2077,1,1,0
2.png,davon gesattigte Fettsauren/,davon gesattigte Fettsauren/,,0.7336,0.4638,CONTEXT,0.3838,0.3515,0.4638,0.4619,0.2699,1,1,0
2.png,of which saturates,of which saturates,,1.0,0.4551,NOISE,0.3902,0.3778,0.4067,0.4551,0.5449,1,1,0
2.png,Kohlenhydrate/carbohydrates,Kohlenhydrate/carbohydrates,,0.8441,0.5498,NOISE,0.4883,0.4713,0.4789,0.5498,0.2944,1,1,0
2.png,davon Zuckerarten/of which sugars,davon Zuckerarten/of which sugars,,0.7717,0.4735,QUANTITY,0.4735,0.4143,0.4316,0.4516,0.2982,1,1,0
2.png,Eiweiss/Protein,Eiweiss/Protein,,0.7622,0.5133,NOISE,0.4021,0.3967,0.463,0.5133,0.2489,1,1,0
2.png,Salz/salt,Salz/salt,,0.6957,0.562,NOISE,0.4619,0.4329,0.4856,0.562,0.1336,1,1,0
4.png,50572977>,50572977>,,0.4312,0.4987,NOISE,0.409,0.4066,0.4544,0.4987,-0.0675,0,0,0
4.png,UK,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,PT,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,FI,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,IT,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,ES,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,NL/SE,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,FR/BE,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,DK/NO/SE,DK/NO/SE NL/SE FR/BE ES PT FI IT UK,,0.4527,0.4881,NOISE,0.4246,0.4756,0.4309,0.4881,-0.0354,0,0,0
4.png,DE/AT/CH,DE/AT/CH PR.100g,,0.5377,0.5613,CONTEXT,0.4716,0.4074,0.5613,0.4522,-0.0235,0,0,0
4.png,NUTRITIONINFO,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,VALORI NUTRIZIONALI,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,INFO NUTRICIONAL,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,RAVINTOSISALTO,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,INFO NUTRICIONAL,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,VOEDINGSWAARDEN,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,INFONUTRITIONELLE,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,NAERINGSINDHOLD,NAERINGSINDHOLD VOEDINGSWAARDEN INFONUTRITIONELLE INFO NUTRICIONAL INFO NUTRICIONAL RAVINTOSISALTO VALORI NUTRIZIONALI NUTRITIONINFO,,0.521,0.5511,CONTEXT,0.4182,0.3985,0.5511,0.4967,-0.0301,0,0,0
4.png,NAHRWERTE,NAHRWERTE,,0.5128,0.4917,NOISE,0.4228,0.3483,0.3784,0.4917,0.0211,0,0,0
4.png,ENERGY,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,1,1,1
4.png,VALORE ENERGETICO,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,0,1,0
4.png,VALOR ENERGETICO,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,0,1,0
4.png,energie,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,0,1,0
4.png,energie,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,0,1,0
4.png,Energie,Energie VALOR ENERGETICO energie energie VALORE ENERGETICO ENERGY 952 224 kcal,,0.6517,0.5095,UNIT,0.4365,0.5095,0.405,0.3778,0.1423,0,1,0
4.png,energie,Energie energie Energie,,0.8583,0.5456,NOISE,0.4102,0.432,0.4343,0.5456,0.3126,0,1,0
4.png,Energie,Energie energie Energie,,0.8583,0.5456,NOISE,0.4102,0.432,0.4343,0.5456,0.3126,0,1,0
4.png,Energie,Energie energie Energie,,0.8583,0.5456,NOISE,0.4102,0.432,0.4343,0.5456,0.3126,0,1,0
4.png,FAT,VETTEN GRAISSES GRASAS lipides PASVAT GRASSI FAT 0 g,,0.5717,0.4018,CONTEXT,0.3647,0.3635,0.4018,0.3784,0.1699,1,1,1
