threshold,margin,TP,FP,FN,TN,precision,recall,f1
0.2,0.0,460,211,2,123,0.6855439642324889,0.9956709956709957,0.8120035304501324
0.2,0.01,459,193,3,141,0.7039877300613497,0.9935064935064936,0.8240574506283663
0.2,0.02,453,185,9,149,0.7100313479623824,0.9805194805194806,0.8236363636363636
0.2,0.03,448,169,14,165,0.7260940032414911,0.9696969696969697,0.8303985171455052
0.2,0.04,445,157,17,177,0.739202657807309,0.9632034632034632,0.8364661654135338
0.2,0.05,438,143,24,191,0.7538726333907056,0.948051948051948,0.8398849472674976
0.2,0.06,433,134,29,200,0.763668430335097,0.9372294372294372,0.8415937803692906
0.2,0.07,429,125,33,209,0.7743682310469314,0.9285714285714286,0.8444881889763779
0.2,0.08,424,114,38,220,0.7881040892193308,0.9177489177489178,0.8480000000000001
0.2,0.09,418,108,44,226,0.7946768060836502,0.9047619047619048,0.8461538461538461
0.2,0.1,406,106,56,228,0.79296875,0.8787878787878788,0.8336755646817249
0.2,0.11,395,90,67,244,0.8144329896907216,0.854978354978355,0.8342133051742344
0.2,0.12,377,83,85,251,0.8195652173913044,0.816017316017316,0.8177874186550977
0.2,0.13,361,78,101,256,0.8223234624145785,0.7813852813852814,0.8013318534961154
0.2,0.14,344,70,118,264,0.8309178743961353,0.7445887445887446,0.7853881278538813
0.2,0.15,325,55,137,279,0.8552631578947368,0.7034632034632035,0.7719714964370546
0.2,0.16,309,52,153,282,0.8559556786703602,0.6688311688311688,0.7509113001215068
0.2,0.17,285,40,177,294,0.8769230769230769,0.6168831168831169,0.7242693773824651
0.2,0.18,260,34,202,300,0.8843537414965986,0.5627705627705628,0.6878306878306879
0.2,0.19,242,28,220,306,0.8962962962962963,0.5238095238095238,0.6612021857923497
0.2,0.2,217,28,245,306,0.8857142857142857,0.4696969696969697,0.6138613861386139
0.2,0.21,201,26,261,308,0.8854625550660793,0.43506493506493504,0.5834542815674891
0.2,0.22,188,26,274,308,0.8785046728971962,0.4069264069264069,0.5562130177514792
0.2,0.23,172,22,290,312,0.8865979381443299,0.3722943722943723,0.5243902439024389
0.2,0.24,167,17,295,317,0.907608695652174,0.36147186147186144,0.5170278637770898
0.2,0.25,151,13,311,321,0.9207317073170732,0.3268398268398268,0.48242811501597443
0.21,0.0,460,211,2,123,0.6855439642324889,0.9956709956709957,0.8120035304501324
0.21,0.01,459,193,3,141,0.7039877300613497,0.9935064935064936,0.8240574506283663
0.21,0.02,453,185,9,149,0.7100313479623824,0.9805194805194806,0.8236363636363636
0.21,0.03,448,169,14,165,0.7260940032414911,0.9696969696969697,0.8303985171455052
0.21,0.04,445,157,17,177,0.739202657807309,0.9632034632034632,0.8364661654135338
0.21,0.05,438,143,24,191,0.7538726333907056,0.948051948051948,0.8398849472674976
0.21,0.06,433,134,29,200,0.763668430335097,0.9372294372294372,0.8415937803692906
0.21,0.07,429,125,33,209,0.7743682310469314,0.9285714285714286,0.8444881889763779
0.21,0.08,424,114,38,220,0.7881040892193308,0.9177489177489178,0.8480000000000001
0.21,0.09,418,108,44,226,0.7946768060836502,0.9047619047619048,0.8461538461538461
0.21,0.1,406,106,56,228,0.79296875,0.8787878787878788,0.8336755646817249
0.21,0.11,395,90,67,244,0.8144329896907216,0.854978354978355,0.8342133051742344
0.21,0.12,377,83,85,251,0.8195652173913044,0.816017316017316,0.8177874186550977
0.21,0.13,361,78,101,256,0.8223234624145785,0.7813852813852814,0.8013318534961154
0.21,0.14,344,70,118,264,0.8309178743961353,0.7445887445887446,0.7853881278538813
0.21,0.15,325,55,137,279,0.8552631578947368,0.7034632034632035,0.7719714964370546
0.21,0.16,309,52,153,282,0.8559556786703602,0.6688311688311688,0.7509113001215068
0.21,0.17,285,40,177,294,0.8769230769230769,0.6168831168831169,0.7242693773824651
