tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.png,Magnesium (gesamt),400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.png,Magnesiummalat,333,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,101.png,Energy,1625,kJ,per_100g,,,,,nutrient not found in predictions
missing,101.png,Energy,383,kcal,per_100g,,,,,nutrient not found in predictions
missing,101.png,Fat,0.8,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Saturated Fats,< 0.1,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Carbohydrate,86.1,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Sugars,8.9,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Fibre,3.0,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Protein,6.3,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Salt,0.09,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Vitamin B1,0.44,mg,per_100g,,,,,nutrient not found in predictions
missing,101.png,Sodium,36,mg,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,1502,kJ,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,356,kcal,per_100g,,,,,nutrient not found in predictions
missing,102.png,Fat,7.7,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Saturated Fats,1.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Carbohydrate,63,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Sugars,31,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Fibre,5.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Protein,5.9,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Salt,0.14,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,188,kJ,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Protein,0.7,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salt,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,103.jpeg,Energy,1383,kJ,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,328,kcal,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Fat,3.7,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0.4,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Carbohydrate,51,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,51,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Fibre,16,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Protein,7.7,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Salt,0,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,166,kJ,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Energy,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Carbohydrate,6.1,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,6.1,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Fibre,1.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Protein,0.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Salt,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,104.jpeg,Energy,1528,kJ,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,361,kcal,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Fat,2.6,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0.6,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,72,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Sugars,72,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Fibre,10,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Protein,3.2,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Salt,0.1,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,214,kJ,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Energy,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fat,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,10,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Sugars,10,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fibre,1.4,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Protein,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Salt,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,105.png,Energy,1320,kJ,per_100g,,,,,nutrient not found in predictions
missing,105.png,Energy,313,kcal,per_100g,,,,,nutrient not found in predictions
missing,105.png,Fat,2.7,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Saturated Fats,0.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Carbohydrate,52.1,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Sugars,51.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Fibre,15.5,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Protein,7.0,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Salt,0.03,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Energy,158,kJ,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Energy,38,kcal,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Fat,0.3,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Saturated Fats,0.0,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Carbohydrate,6.3,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
