image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,2,1,100,100,100,100,100
101.png,11,8,0,0,0,0,0,0
102.png,18,8,0,0,0,0,0,0
103.jpeg,18,2,0,0,0,0,0,0
104.jpeg,18,2,0,0,0,0,0,0
105.png,18,9,0,0,0,0,0,0
106.png,2,2,2,0,50,0,0,0
107.png,10,9,8,75,88,100,75,75
108.jpeg,11,10,9,100,89,44,67,33
109.jpeg,9,7,0,0,0,0,0,0
110.jpeg,6,3,3,0,100,0,0,0
111.jpeg,1,1,1,100,100,100,100,100
112.jpeg,1,1,1,100,100,100,100,100
113.jpeg,20,2,2,100,100,50,100,50
114.jpeg,20,7,6,83,100,33,83,33
115.png,9,8,6,0,100,100,0,0
116.jpeg,18,3,0,0,0,0,0,0
117.jpeg,9,8,7,86,86,100,86,86
118.jpeg,20,2,2,50,50,50,0,0
119.jpeg,20,2,2,0,50,50,0,0
12.png,16,8,8,0,100,0,0,0
120.jpeg,26,6,5,80,100,0,80,0
121.jpeg,20,9,8,88,88,88,75,75
15.png,42,2,2,0,100,50,0,0
17.png,4,4,3,100,100,100,100,100
2.png,16,7,7,0,100,57,0,0
20.png,48,11,10,0,100,50,0,0
201.jpeg,16,5,5,0,80,0,0,0
26.png,8,6,6,0,83,100,0,0
27.png,13,10,10,0,60,60,0,0
30.png,18,8,8,75,88,50,62,50
33.png,26,2,2,0,100,50,0,0
34.png,40,7,7,0,86,57,0,0
35.jpeg,4,2,2,0,100,100,0,0
4.png,8,2,2,0,50,50,0,0
41.png,8,2,2,0,50,100,0,0
42.png,18,2,2,100,100,100,100,100
45_1.png,18,2,2,100,100,100,100,100
45_2.png,8,7,7,0,86,71,0,0
51.png,18,5,5,60,80,60,60,40
53.png,18,6,6,17,83,100,17,17
56.jpeg,10,2,1,100,100,100,100,100
57.jpeg,10,2,1,0,100,0,0,0
59.png,28,12,11,0,82,100,0,0
6.png,6,5,5,100,100,100,100,100
61.png,22,7,7,71,100,86,71,57
63.png,22,9,9,67,89,100,67,67
64.png,8,8,8,100,100,100,100,100
67.jpeg,4,1,1,0,100,0,0,0
68.jpeg,34,2,1,100,0,100,0,0
78.jpeg,2,1,1,0,100,0,0,0
8.png,18,8,8,62,88,62,50,25
82.jpeg,12,4,4,0,75,25,0,0
88.png,16,6,5,0,100,40,0,0
9.jpeg,4,2,1,0,100,0,0,0
90.png,17,2,2,0,100,50,0,0
91.png,16,7,7,0,100,43,0,0
