image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.png,Magnesiumoxid,Magnesium,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,333,mg,mg,per_daily_dose,per_daily_dose,False,True,True,False,False
106.png,Magnesium,Magnesium,250,250 mg,mg,mg,per_serving (Pro Stick),per_daily_dose,False,True,False,False,False
106.png,Vitamin E,Vitamin E,12,12 mg α-TE,mg α-TE,mg a-TE,per_serving (Pro Stick),per_100g,False,False,False,False,False
107.png,Vitamin B1,Vitamin B1,1.1,1.1,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_100g,True,True,False,True,False
107.png,Vitamin B2,Vitamin B2,1.4,1.4,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_100g,True,True,False,True,False
107.png,Vitamin B12,Vitamin B12,2.5,2.5,µg,μg,per_daily_dose (1 Tablette (4.3 g)*),per_100g,True,True,False,True,False
107.png,Vitamin C,Vitamin C,80,80,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_serving,True,True,False,True,False
107.png,Vitamin E,Vitamin E,12,12,mg α-TE,mg α-TE,per_daily_dose (1 Tablette (4.3 g)*),per_100g,True,True,False,True,False
107.png,Vitamin B6,Vitamin B6,1.4,1.4,mg,μg,per_daily_dose (1 Tablette (4.3 g)*),per_100g,True,False,False,False,False
107.png,Biotin,Biotin,50,200,µg,μg,per_daily_dose (1 Tablette (4.3 g)*),per_100g,False,True,False,False,False
107.png,Niacin,Niacin,16,50,mg NE,μg,per_daily_dose (1 Tablette (4.3 g)*),per_serving,False,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,240,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_100g,True,True,False,True,False
108.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_serving,True,True,False,True,False
108.jpeg,Vitamin B2,Vitamin B2,1.4,1.4,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_serving,True,True,False,True,False
108.jpeg,Vitamin C,Vitamin C,80,80,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_serving,True,True,False,True,False
108.jpeg,Biotin,Biotin,50,50,µg,μg,per_daily_dose (1 Tablette (5.6 g)*),per_100ml,True,True,False,True,False
108.jpeg,Pantothenic Acid,Pantothenic Acid,6.0,6.0,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_100ml,True,True,False,True,False
108.jpeg,Vitamin B6,Vitamin B6,1.4,1.4,mg,μg,per_daily_dose (1 Tablette (5.6 g)*),per_100ml,True,False,False,False,False
108.jpeg,Vitamin E,Vitamin E (α-TE),12,12,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_100g,True,True,False,False,False
108.jpeg,Niacin,Niacin (NE),16,16,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_serving,True,True,False,False,False
109.jpeg,Energy,Energy,420,420 kJ / 99 kcal,kJ,kJ,per_100g,per_100g,False,True,True,False,False
110.jpeg,Melissen Extrakt,Melissen Extrakt,15,15 mg,mg,mg,per_serving (pro Stick),per_100g,False,True,False,False,False
110.jpeg,Niacin,Niacin,8.0,8.0 mg NE,mg NE,mg NE,per_serving (pro Stick),per_daily_dose,False,True,False,False,False
110.jpeg,Pantothenic Acid,Pantothenic Acid,3.0,3.0 mg,mg,mg,per_serving (pro Stick),per_100g,False,True,False,False,False
111.jpeg,Vitamin B12,Vitamin B12,17.5,17.5,µg,μg,per_daily_dose (1 Tagesdosis (8 ml)),per_daily_dose,True,True,True,True,True
112.jpeg,Vitamin B12,Vitamin B12,17.5,17.5,µg,µg,per_daily_dose (1 Tagesdosis (8 ml)),per_daily_dose,True,True,True,True,True
113.jpeg,Energy,Energy,1546,1546,kJ,kJ,per_100g,per_100g,True,True,True,True,True
113.jpeg,Fat,Fat,4.5,4.5,g,g,per_100g,per_100g,True,True,True,True,True
113.jpeg,Protein,Protein,72.7,72.7,g,g,per_100g,per_100g,True,True,True,True,True
114.jpeg,Energy,Energy,1541,1541,kJ,kJ,per_100g,per_100g,True,True,True,True,True
114.jpeg,Fat,FAT,4.8,4.8 g,g,g,per_100g,per_100g,False,True,True,False,False
116.jpeg,Fat,Fat,12.0,12.0,g,g,per_100g,per_serving,True,True,False,True,False
116.jpeg,Energy,Energy,1696,1696/404,kJ,kJ/kcal,per_100g,per_100g,False,False,True,False,False
117.jpeg,Saturated Fats,Saturated Fats,1.5,1.5,g,g,per_serving (45 g),per_portion,True,True,False,True,False
117.jpeg,Sugars,Sugars,13.5,13.5,g,g,per_serving (45 g),per_portion,True,True,False,True,False
117.jpeg,Protein,Protein,11.0,11.0,g,g,per_serving (45 g),per_portion,True,True,False,True,False
117.jpeg,Salt,Salt,0.04,0.04,g,g,per_serving (45 g),per_portion,True,True,False,True,False
117.jpeg,Energy,Energy,728,728/173,kJ,kJ/kcal,per_serving (45 g),per_portion,False,False,False,False,False
117.jpeg,Fat,Fatty Acids,6.1,6.1,g,g,per_serving (45 g),per_portion,True,True,False,False,False
117.jpeg,Carbohydrate,Carbohydrates,16.7,16.7,g,g,per_serving (45 g),per_portion,True,True,False,True,False
118.jpeg,Energy,Energy,1440,8.0,kJ,kJ/kcal,per_100g,per_100g,False,False,True,False,False
118.jpeg,Saturated Fats,Fats,2.6,2.6,g,g,per_100g,per_serving,True,True,False,False,False
119.jpeg,Fat,Fat,11,2.4 g,g,g,per_100g,per_serving,False,True,False,False,False
119.jpeg,Sugars,Sugars,4.0,17 g,g,g,per_100g,per_100g,False,True,True,False,False
119.jpeg,Protein,Protein,24,24 g,g,g,per_100g,per_serving,False,True,False,False,False
119.jpeg,Salt,Salt,0.70,0.56 g,g,g,per_100g,per_100g,False,True,True,False,False
119.jpeg,Energy,Energy,1471,8.4 g,kJ,kJ/kcal,per_100g,per_100g,False,False,True,False,False
119.jpeg,Carbohydrate,Carbohydrates,47,3.2 g,g,g,per_100g,per_serving,False,True,False,False,False
119.jpeg,Fat,Saturated Fatty Acids,8.4,38 g,g,g,per_serving (80 g),per_100g,False,True,False,False,False
12.png,Energy,Energy,547,547kJ,kJ,kJ,per_100ml,per serving,False,True,False,False,False
12.png,Energy,Energy,129,129kcal,kcal,kcal,per_100ml,per serving,False,True,False,False,False
12.png,Fat,Fatten / Rasva / Matières grasses / Fett / Tlustcze / Fett,0.0,0.0g,g,g,per_100ml,per serving,False,True,False,False,False
12.png,Protein,Eiwitten / Proteinit / Protéines / Protein / Bialko / Protein,0.1,0.1g,g,g,per_100ml,per serving,False,True,False,False,False
12.png,Salt,Zout / Sucia / Sel / Salt / Sól / Salt,0.6,0.6g,g,g,per_100ml,per serving,False,True,False,False,False
120.jpeg,Inositol,Inositol,100,100,mg,mg,per_daily_dose (10 G),per_10g,True,True,False,True,False
120.jpeg,Alpha-Liponsäure,Alpha-liponsäure,42,42,mg,mg,per_daily_dose (10 G),per_10g,True,True,False,True,False
