image_id,status,ocr_tokens,corrector_edits,predicted_tuples,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_via_embedding,vlm_backend,vlm_original_width,vlm_original_height,vlm_width,vlm_height,vlm_image_path,vlm_time_s,vlm_attempts,vlm_last_error,total_processing_time_s,error
1.png,ok,15,5,2,6,5,5,1,9,openai_compat,2682,1600,896,535,outputs\vlm_lmstudio_v5\vlm_resized_images\1_vlm_896x535.jpg,2.38,1,,8.744,
2.png,ok,23,8,2,8,12,8,2,8,openai_compat,2930,1440,896,440,outputs\vlm_lmstudio_v5\vlm_resized_images\2_vlm_896x440.jpg,1.76,1,,4.678,
4.png,ok,100,26,2,38,5,5,1,84,openai_compat,4396,960,896,196,outputs\vlm_lmstudio_v5\vlm_resized_images\4_vlm_896x196.jpg,1.75,1,,10.206,
6.png,ok,15,8,6,6,6,6,1,8,openai_compat,2572,1632,896,569,outputs\vlm_lmstudio_v5\vlm_resized_images\6_vlm_896x569.jpg,3.61,1,,5.739,
8.png,ok,18,3,8,9,6,0,2,10,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_v5\vlm_resized_images\8_vlm_896x875.jpg,4.59,1,,7.006,
9.jpeg,ok,12,3,2,7,3,3,2,7,openai_compat,325,92,325,92,outputs\vlm_lmstudio_v5\vlm_resized_images\9_vlm_325x92.jpg,1.19,1,,3.192,
12.png,ok,33,18,7,10,17,17,2,13,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_v5\vlm_resized_images\12_vlm_896x597.jpg,5.04,1,,9.781,
15.png,ok,13,4,2,5,0,0,2,9,openai_compat,3098,1376,896,398,outputs\vlm_lmstudio_v5\vlm_resized_images\15_vlm_896x398.jpg,1.77,1,,6.76,
17.png,ok,15,4,4,4,7,4,1,6,openai_compat,2704,1568,896,520,outputs\vlm_lmstudio_v5\vlm_resized_images\17_vlm_896x520.jpg,2.58,1,,4.988,
20.png,ok,116,45,11,28,49,41,3,41,openai_compat,2270,1888,896,745,outputs\vlm_lmstudio_v5\vlm_resized_images\20_vlm_896x745.jpg,7.55,1,,16.402,
26.png,ok,19,7,6,7,7,6,1,11,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_v5\vlm_resized_images\26_vlm_896x597.jpg,3.66,1,,6.016,
27.png,ok,38,13,12,12,12,11,2,16,openai_compat,1920,2206,780,896,outputs\vlm_lmstudio_v5\vlm_resized_images\27_vlm_780x896.jpg,6.66,1,,10.145,
30.png,ok,29,4,8,7,18,0,2,11,openai_compat,1760,2372,665,896,outputs\vlm_lmstudio_v5\vlm_resized_images\30_vlm_665x896.jpg,4.83,1,,7.751,
33.png,ok,51,23,7,14,24,22,3,15,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_v5\vlm_resized_images\33_vlm_896x875.jpg,4.75,1,,9.599,
34.png,ok,89,40,2,24,40,41,2,31,openai_compat,1600,2654,540,896,outputs\vlm_lmstudio_v5\vlm_resized_images\34_vlm_540x896.jpg,2.85,1,,9.561,
35.jpeg,ok,10,4,2,3,2,2,2,5,openai_compat,520,130,520,130,outputs\vlm_lmstudio_v5\vlm_resized_images\35_vlm_520x130.jpg,1.26,1,,2.868,
41.png,ok,17,5,7,7,5,4,1,11,openai_compat,2486,1728,896,623,outputs\vlm_lmstudio_v5\vlm_resized_images\41_vlm_896x623.jpg,3.97,1,,6.516,
42.png,ok,25,5,2,7,13,0,2,11,openai_compat,1984,2154,825,896,outputs\vlm_lmstudio_v5\vlm_resized_images\42_vlm_825x896.jpg,2.03,1,,5.556,
51.png,ok,29,15,5,10,16,14,1,12,openai_compat,3174,1312,896,370,outputs\vlm_lmstudio_v5\vlm_resized_images\51_vlm_896x370.jpg,3.14,1,,7.2,
53.png,ok,29,15,4,9,17,15,1,11,openai_compat,3054,1376,896,404,outputs\vlm_lmstudio_v5\vlm_resized_images\53_vlm_896x404.jpg,2.8,1,,6.744,
56.jpeg,ok,15,7,2,2,8,3,1,5,openai_compat,365,239,365,239,outputs\vlm_lmstudio_v5\vlm_resized_images\56_vlm_365x239.jpg,1.29,1,,2.899,
57.jpeg,ok,19,8,2,4,10,3,2,6,openai_compat,375,225,375,225,outputs\vlm_lmstudio_v5\vlm_resized_images\57_vlm_375x225.jpg,1.3,1,,3.065,
59.png,ok,50,22,13,16,21,19,2,21,openai_compat,2276,1856,896,731,outputs\vlm_lmstudio_v5\vlm_resized_images\59_vlm_896x731.jpg,7.75,1,,12.27,
61.png,ok,37,21,8,12,22,22,2,13,openai_compat,3638,1152,896,284,outputs\vlm_lmstudio_v5\vlm_resized_images\61_vlm_896x284.jpg,5.03,1,,10.892,
63.png,ok,37,20,9,10,22,22,2,13,openai_compat,3744,1120,896,268,outputs\vlm_lmstudio_v5\vlm_resized_images\63_vlm_896x268.jpg,5.38,1,,11.042,
64.png,ok,30,9,7,8,8,8,3,9,openai_compat,2186,1920,896,787,outputs\vlm_lmstudio_v5\vlm_resized_images\64_vlm_896x787.jpg,4.32,1,,7.731,
67.jpeg,ok,13,0,1,0,0,0,2,9,openai_compat,641,416,641,416,outputs\vlm_lmstudio_v5\vlm_resized_images\67_vlm_641x416.jpg,0.89,1,,3.885,
68.jpeg,ok,43,2,2,7,21,2,2,19,openai_compat,531,587,531,587,outputs\vlm_lmstudio_v5\vlm_resized_images\68_vlm_531x587.jpg,1.68,1,,6.716,
78.jpeg,ok,34,1,1,9,1,0,2,29,openai_compat,721,498,721,498,outputs\vlm_lmstudio_v5\vlm_resized_images\78_vlm_721x498.jpg,1.29,1,,8.233,
