image_id,nutrient,quantity,unit,context
1.png,Magnesium,400,mg,per_daily_dose
1.png,magnesiumbisglycinat,333,mg,per_daily_dose
2.png,energy,1195 (281),kJ,per_100g
2.png,fat,0g,g,per_serving
4.png,energy,0,g,per_100g
4.png,fat,0,mg,per_100g
6.png,vitamin c,28,mg,per_100g
6.png,magnesium,56,mg,per_100g
6.png,potassium,70,mg,per_100g
6.png,calcium,9,mg,per_100g
6.png,sodium,200,mg,per_100g
6.png,green tea,1,mg,per_serving
8.png,energy,892/213,kJ/kcal,per_100g
8.png,protein,2.2,g,per_100g
8.png,FAT,4.8,g,per_100g
8.png,saturated fat,3.4,g,per_100g
8.png,carbohydrate,41,g,per_100g
8.png,- SUGARS,21,g,per_100g
8.png,DIETARY FIBRE,1.9,g,per_100g
8.png,SODIUM,42,mg,per_100g
9.jpeg,Zink,5 mg,mg,per_100g
9.jpeg,vitamin c,30 mg,mg,per_serving
12.png,energy,547kJ,kj,per_serving
12.png,energy,129kcal,kcal,per_serving
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.0g,g,per_serving
12.png,Koolhydraten / Hillihydraatit / Glucides / Karbohydrater / Weglowodany / Kolhydrater,32g,g,per_serving
12.png,waarvan sukers / josta sokereiden osuus / dont sucres / med andel sukker / w tym cukry / varav socker,1.1g,g,per_serving
12.png,Eiwitten / Proteinit / Protéines / Protein / Bialko / Protein,0.1g,g,per_serving
12.png,Zout / Sucia / Sel / Salt / Sól / Salt,0.6g,g,per_serving
15.png,salt,15.0 g,g,per_serving
15.png,Magnesium,670 mg,mg,per_serving
17.png,caffeine,100,mg,per_daily_dose
17.png,vitamin b6,2.4,mg ne,per_daily_dose
17.png,vitamin b6,0.22,mg,per_daily_dose
17.png,vitamin b12,0.38,µg,per_daily_dose
20.png,Brennwert/Energie,1474 kJ (346 kcal),kJ,per_100g
20.png,ewebb/protein,"<0,1 g",g,per_serving
20.png,Kohlenhydrate/Carbohydrate,"78,1 g",g,per_100g
20.png,fatt/fat,"<0,5 g",g,per_serving
20.png,Natrium/Sodium,667 mg,mg,per_100g
20.png,Kalium/Potassium,667 mg,mg,per_100g
20.png,calcium,800 mg,mg,per_100g
20.png,magnesium,300 mg,mg,per_100g
20.png,Chlorid/Chloride,667 mg,mg,per_serving
20.png,Phosphor/Phosphorus,800 mg,mg,per_100g
20.png,Selen/Selenium,200 μg,μg,per_serving
26.png,energy,942/255,kJ/KCAL,per_100g
26.png,fat,0,g,per_serving
27.png,brewswert/energyvalue,1254 kJ (300kcal),,per_100g
27.png,esemb/protein,"<0,1 g",g,per_serving
27.png,kublephydrate/carbohydrate,49 g,g,per_100g
27.png,fert/fat,"<0,5 g",g,per_serving
27.png,calcium,4000 mg,mg,per_100g
27.png,magnesium,2000 mg,mg,per_100g
27.png,Zink/Zinc,75 mg,mg,per_serving
27.png,kuples/copper,10000 μg,μg,per_100g
27.png,mangen/manganese,15 mg,,per_serving
27.png,Chrom/Chromium,896 μg,μg,per_100g
27.png,sefee/selenium,251 μg,μg,per_serving
27.png,vitamin d,37 μg,μg,per_100g
30.png,energy,907/215,kJ/kcal,per_serving
30.png,protein,2.7,g,per_serving
30.png,Fat:,9.1,g,per_serving
30.png,- Saturated Fat (g),2.7,g,per_serving
30.png,carbohydrate,39,g,per_serving
30.png,sugars,19,g,per_serving
30.png,Dietary Fibre (g),2.0,g,per_serving
30.png,Sodium (mg),70,mg,per_serving
33.png,energy,1660 (390),kJ,per_100g
33.png,fat,0 g,g,per_serving
33.png,saturated fats,0 g,g,per_serving
33.png,carbohydrate,97 g,g,per_100g
33.png,sugars,56 g,g,per_serving
33.png,protein,0 g,g,per_100g
33.png,salt,0.53 g,g,per_serving
34.png,energy,1356kJ/319kcal,kj,Per 25g serving
34.png,fat,0g,g,per_serving
35.jpeg,magnesium,4.7 g,g,per_100g
35.jpeg,vitamin c,2.1 g,g,per_100g
41.png,energy,612/144 KJ/KCAL,kJ/KCAL,per_100g
41.png,fat,0 g,g,per_serving
42.png,protein,0.1,g,per_100g
42.png,fat,0,g,per_serving
51.png,Energy,1541 (363),kJ(kcal),per_100g
51.png,Fat,<0.5,g,per_100g
51.png,Carbohydrate,84,g,per_100g
51.png,Protein,6.7,g,per_100g
51.png,Salt,0.13,g,per_100g
53.png,energy,<0.5,g,per_100g
53.png,Fat,<0.5,g,per_100g
53.png,Carbohydrate,84 g,g,per_100g
53.png,Protein,6.7 g,g,per_100g
56.jpeg,Proteines,83,g,per_100g
56.jpeg,Fett,4.3,g,per_100g
57.jpeg,Energie,383kcal.,kJ,per_100g
57.jpeg,Proteine,4.99,g,per_serving
59.png,energy,1391 kJ (330kcal),kJ,per_100g
59.png,eiweib/protein,"0,7 g",g,per_100g
59.png,Kohlenhydrate/Carbohydrate,"66,6 g",g,per_100g
59.png,davonzucker/of which sugars,"64,4 g",g,per_100g
59.png,davon Fructose / of which Fructose,"63,7 g",g,per_100g
59.png,Fett/Fat,"0,3 g",g,per_100g
59.png,davon gesättigte Fettsäuren/of which Saturates,"<0,3 g",g,per_100g
59.png,Ballaststoffe/Fibre,25 g,g,per_100g
59.png,Natrium/Sodium,"<0,1 g",g,per_100g
59.png,Selen/Selenium,150 μg,μg,per_100g
59.png,vitamin c,300 mg,mg,per_100g
59.png,vitamin e,50 mg α-TE,μg,per_100g
59.png,Vitamin A (aus/from Provitamin A),1667 μg RE,μg,per_100g
61.png,energy,"427 kJ, 102 kcal","kJ, kcal",per serving
61.png,fat,0 g,g,per serving
61.png,saturated fats,84.4 mg,mg,per serving
61.png,carbohydrate,"25.3 g, 84.4 g","g, kJ/kcal",per serving
61.png,sugars,"14.6 g, 48.7 g","g, kJ/kcal",per serving
61.png,protein,"0.2 g, 0.6 g","g, kJ/kcal",per serving
61.png,salt,"0.52 g, 1.73 g","g, kJ/kcal",per serving
63.png,energy,427 kJ / 102 kcal,kJ / kcal,per_serving
63.png,fat,0 g,g,per_serving
63.png,carbohydrate,25.3 g,g,per_serving
63.png,saturated fats,0 g,g,per_serving
63.png,protein,0.2 g,g,per_serving
63.png,salt,75 mg (20%*),mg,per_serving
63.png,magnesium,100 mg (5%),mg,per_serving
63.png,potassium,313.3 mg (6%*),mg,per_serving
63.png,calcium,50 mg (6%),mg,per_serving
64.png,vitamin c,50,mg,per_daily_dose
64.png,vitamin b2,0.6,mg,per_daily_dose
64.png,niacin,7.0,mg,per_daily_dose
64.png,vitamin b6,0.6,mg,per_daily_dose
64.png,folic acid,80,µg,per_daily_dose
64.png,vitamin b12,2.0,µg,per_daily_dose
64.png,pantothenic acid,3.0,mg,per_daily_dose
67.jpeg,Vitamin D3,1000 I.E.,I.E.,per_daily_dose
68.jpeg,Energy,1578 (37),kJ,per_100g
68.jpeg,Protein,64,g,per_serving
78.jpeg,vitamin d,50,µg,per_serving
82.jpeg,Energy,0,kJ/kcal,per_100g
82.jpeg,protein,0,g,per_serving
82.jpeg,carbohydrate,0,g,per_serving
82.jpeg,fat,0,g,per_serving
88.png,Fett/lipides,"0,7 g",g,per_100ml
88.png,davon gesättigte Fettsäuren/of which saturated fatty acids,"0,5 g",g,per_100ml
88.png,Kohlenhydrate/glucides/carbohydrates,"4,1 g",g,per_100ml
88.png,davon Zuckerarten/of which sugars,"3,5 g",g,per_100ml
88.png,Eiweiß/protein(e)/protéines,"8,0 g",g,per_100ml
88.png,Salt/sel/salt/sale**,"0,10 g",g,per_100ml
90.png,energy,192(45),kJ (kcal),per_100ml
90.png,Fett/lipides/fat,<0.1 g,g,per_serving
90.png,Kohlenhydrate/glucides/carbohydrates,10 g,g,per_100ml
90.png,Eiweiss/proteines/protein,<0.1 g,g,per_serving
90.png,Salz/sel/salt,0.16 g,g,per_100ml
91.png,energy,234 (55),kJ,per_100ml
91.png,Fatty Acids,0.7 g,g,per_100ml
91.png,saturated fats,0.5 g,g,per_100ml
91.png,carbohydrate,4.1 g,g,per_100ml
91.png,fat,234 (55),kJ,per_drink
91.png,saturated fats,1.6 g,g,per_drink
91.png,carbohydrate,13 g,g,per_drink
91.png,sugars,8.5 g,g,per_100ml
91.png,protein,26 g,g,per_drink
91.png,salt,0.33 g,g,per_100ml
101.png,Energie,1625 kJ / 383 kcal,kJ / kcal,per_100g
101.png,Fett,"0,8 g",g,per_serving
101.png,Kohlenhydrate,"86,1 g",g,per_100g
101.png,Ballaststoffe,"3,0 g",g,per_serving
101.png,Eiweiß,"6,3 g",g,per_100g
101.png,Salz,"0,09 g",g,per_serving
101.png,Thiamin,"0,44 mg (88 %)",mg,per_100g
101.png,Natrium,36 mg,mg,per_serving
102.png,Energie,1502 kJ / 356 kcal,kJ / kcal,per_100g
102.png,Fett,"7,7 g",g,per_serving
102.png,-davon gesättigte Fettsäuren,"1,1 g",g,per_100g
102.png,Kohlenhydrate,63 g,g,per_serving
102.png,-davon Zucker,31 g,g,per_100g
102.png,Ballaststoffe,"5,1 g",g,per_serving
102.png,Eiweiß,"5,9 g",g,per_100g
102.png,Salz,"0,14 g",g,per_serving
103.jpeg,Energie,1383kJ/228kcal,kJ/kcal,per_100g
103.jpeg,Fett,"3,7g",g,per_100g
103.jpeg,Kohlenhydrate,"5,1g",g,per_100g
103.jpeg,Ballaststoffe,"1,6g",g,per_100g
104.jpeg,Energie,1528kJ,kcal,per_100g
104.jpeg,Fett,2.6g,g,per_100g
104.jpeg,Kohlenhydrate,72g,g,per_100g
