image_id,status,ocr_tokens,corrector_edits,predicted_tuples,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_via_embedding,vlm_backend,vlm_original_width,vlm_original_height,vlm_width,vlm_height,vlm_image_path,vlm_time_s,vlm_attempts,vlm_last_error,total_processing_time_s,error
1.png,ok,15,5,5,6,5,5,1,9,openai_compat,2682,1600,896,535,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\1_vlm_896x535.jpg,4.28,1,,10.398,
2.png,ok,23,8,14,8,12,8,2,8,openai_compat,2930,1440,896,440,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\2_vlm_896x440.jpg,7.34,1,,10.045,
4.png,ok,100,26,6,38,5,5,1,84,openai_compat,4396,960,896,196,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\4_vlm_896x196.jpg,6.02,1,,14.407,
6.png,ok,15,8,6,6,6,6,1,8,openai_compat,2572,1632,896,569,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\6_vlm_896x569.jpg,4.55,1,,6.808,
8.png,ok,18,3,16,9,6,0,2,10,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\8_vlm_896x875.jpg,12.57,1,,14.987,
9.jpeg,ok,12,3,4,7,3,3,2,7,openai_compat,325,92,325,92,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\9_vlm_325x92.jpg,4.17,1,,6.147,
12.png,ok,33,18,10,10,17,17,2,13,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\12_vlm_896x597.jpg,8.75,1,,13.442,
15.png,ok,13,4,7,5,0,0,2,9,openai_compat,3098,1376,896,398,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\15_vlm_896x398.jpg,5.68,1,,10.455,
17.png,ok,15,4,4,4,7,4,1,6,openai_compat,2704,1568,896,520,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\17_vlm_896x520.jpg,4.52,1,,6.918,
20.png,ok,116,45,41,28,49,41,3,41,openai_compat,2270,1888,896,745,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\20_vlm_896x745.jpg,31.88,1,,40.512,
26.png,ok,19,7,6,7,7,6,1,11,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\26_vlm_896x597.jpg,4.83,1,,7.136,
27.png,ok,38,13,13,12,12,11,2,16,openai_compat,1920,2206,780,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\27_vlm_780x896.jpg,8.81,1,,12.293,
30.png,ok,29,4,9,7,18,0,2,11,openai_compat,1760,2372,665,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\30_vlm_665x896.jpg,7.39,1,,10.699,
33.png,ok,51,23,24,14,24,22,3,15,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\33_vlm_896x875.jpg,17.47,1,,22.562,
34.png,ok,89,40,24,24,40,41,2,31,openai_compat,1600,2654,540,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\34_vlm_540x896.jpg,14.16,1,,21.103,
35.jpeg,ok,10,4,4,3,2,2,2,5,openai_compat,520,130,520,130,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\35_vlm_520x130.jpg,4.53,1,,6.149,
41.png,ok,17,5,7,7,5,4,1,11,openai_compat,2486,1728,896,623,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\41_vlm_896x623.jpg,6.74,1,,9.321,
42.png,ok,25,5,14,7,13,0,2,11,openai_compat,1984,2154,825,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\42_vlm_825x896.jpg,7.87,1,,11.368,
51.png,ok,29,15,13,10,16,14,1,12,openai_compat,3174,1312,896,370,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\51_vlm_896x370.jpg,8.48,1,,12.494,
53.png,ok,29,15,8,9,17,15,1,11,openai_compat,3054,1376,896,404,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\53_vlm_896x404.jpg,6.32,1,,10.295,
56.jpeg,ok,15,7,7,2,8,3,1,5,openai_compat,365,239,365,239,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\56_vlm_365x239.jpg,6.29,1,,7.857,
57.jpeg,ok,19,8,6,4,10,3,2,6,openai_compat,375,225,375,225,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\57_vlm_375x225.jpg,5.85,1,,7.629,
59.png,ok,50,22,15,16,21,19,2,21,openai_compat,2276,1856,896,731,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\59_vlm_896x731.jpg,12.93,1,,17.635,
61.png,ok,37,21,16,12,22,22,2,13,openai_compat,3638,1152,896,284,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\61_vlm_896x284.jpg,13.24,1,,19.341,
63.png,ok,37,20,12,10,22,22,2,13,openai_compat,3744,1120,896,268,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\63_vlm_896x268.jpg,9.79,1,,15.547,
64.png,ok,30,9,8,8,8,8,3,9,openai_compat,2186,1920,896,787,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\64_vlm_896x787.jpg,6.3,1,,9.925,
67.jpeg,ok,13,0,1,0,0,0,2,9,openai_compat,641,416,641,416,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\67_vlm_641x416.jpg,2.32,1,,5.37,
68.jpeg,ok,43,2,19,7,21,2,2,19,openai_compat,531,587,531,587,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\68_vlm_531x587.jpg,11.19,1,,16.514,
78.jpeg,ok,34,1,3,9,1,0,2,29,openai_compat,721,498,721,498,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\78_vlm_721x498.jpg,4.1,1,,10.938,
82.jpeg,ok,20,1,4,10,3,1,3,14,openai_compat,385,240,385,240,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\82_vlm_385x240.jpg,4.72,1,,7.107,
88.png,ok,24,13,19,7,15,12,2,7,openai_compat,2432,1758,896,648,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\88_vlm_896x648.jpg,11.16,1,,13.97,
90.png,ok,31,12,8,10,15,12,3,10,openai_compat,2532,1664,896,589,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\90_vlm_896x589.jpg,7.05,1,,11.382,
91.png,ok,32,13,13,10,15,12,2,15,openai_compat,2194,1952,896,797,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\91_vlm_896x797.jpg,8.34,1,,12.69,
101.png,ok,22,12,11,11,10,10,1,12,openai_compat,1792,2388,672,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\101_vlm_672x896.jpg,7.88,1,,10.685,
102.png,ok,29,20,17,9,18,18,2,11,openai_compat,2224,1888,896,761,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\102_vlm_896x761.jpg,11.07,1,,14.44,
103.jpeg,ok,33,14,10,13,14,12,2,16,openai_compat,233,229,233,229,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\103_vlm_233x229.jpg,7.15,1,,10.199,
104.jpeg,ok,33,14,13,10,17,14,2,13,openai_compat,251,237,251,237,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\104_vlm_251x237.jpg,8.6,1,,11.293,
105.png,ok,30,21,9,11,17,17,1,12,openai_compat,1884,2272,743,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\105_vlm_743x896.jpg,6.76,1,,10.905,
106.png,ok,24,2,2,9,2,2,0,17,openai_compat,1856,2284,728,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\106_vlm_728x896.jpg,7.21,1,,11.882,
107.png,ok,23,11,10,10,9,9,1,13,openai_compat,1792,2386,673,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\107_vlm_673x896.jpg,25.77,1,,28.634,
108.jpeg,ok,24,10,10,10,11,8,1,12,openai_compat,691,1075,576,896,outputs\vlm_lmstudio_vGemma3\vlm_resized_images\108_vlm_576x896.jpg,25.31,1,,27.864,
