tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,333,mg,per_daily_dose,qty: got 333 expected 350
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,350,mg,per_daily_dose,qty: got 350 expected 333
incorrect,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,Magnesium,420,mg,per_daily_dose,nutrient: no match
missing,1.png,Magnesium (gesamt),400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,101.png,Fibre,3.0,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Vitamin B1,0.44,mg,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Energy,188,kJ,per_serving (1 Riegel* (12.5 g)),Energy,188,kJ,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),Fat,1.0,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Carbohydrate,63,g,per_100g,Carbohydrate,3.9,g,per_100g,qty: got 3.9 expected 63
incorrect,102.png,Protein,5.9,g,per_100g,Protein,0.02,g,per_100g,qty: got 0.02 expected 5.9
incorrect,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Carbohydrate,3.9,g,per_100g,qty: got 3.9 expected 7.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Protein,0.7,g,per_serving (1 Riegel* (12.5 g)),Protein,0.02,g,per_100g,qty: got 0.02 expected 0.7 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),Saturated Fat,0.1,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),Sugar,0.6,g,per_100g,qty: got 0.6 expected 3.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
missing,102.png,Energy,356,kcal,per_100g,,,,,nutrient not found in predictions
missing,102.png,Fibre,5.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salt,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Saturated Fats,0.4,g,per_100g,Saturated fats,0.4,g,pro Port. (12g),context: got pro Port. (12g) expected per_100g
incorrect,103.jpeg,Energy,166,kJ,per_serving (pro Port. (12g)),Energy,166,kj,pro Port. (12g),context: got pro Port. (12g) expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Carbohydrate,6.1,g,per_serving (pro Port. (12g)),Carbohydrate,6.1,g,pro Port. (12g),context: got pro Port. (12g) expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Protein,7.7,g,per_100g,Protein,66.0,g,per_100g,qty: got 66.0 expected 7.7
missing,103.jpeg,Energy,328,kcal,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,51,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Fibre,16,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,6.1,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Fibre,1.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Protein,0.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Salt,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Energy,214,kJ,per_serving (pro Port. (14g)),Energy,214,kj,per_14g,context: got per_14g expected per_serving (pro Port. (14g))
incorrect,104.jpeg,Carbohydrate,10,g,per_serving (pro Port. (14g)),Carbohydrate,10,g,per_14g,context: got per_14g expected per_serving (pro Port. (14g))
incorrect,104.jpeg,Sugars,10,g,per_serving (pro Port. (14g)),Sugars,10,g,per_14g,context: got per_14g expected per_serving (pro Port. (14g))
incorrect,104.jpeg,Fat,0,g,per_serving (pro Port. (14g)),Fat,0.6,g,per_14g,qty: got 0.6 expected 0 | context: got per_14g expected per_serving (pro Port. (14g))
missing,104.jpeg,Energy,361,kcal,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Fibre,10,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
