image_id,status,ocr_tokens,corrector_edits,predicted_tuples,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_via_embedding,vlm_backend,vlm_original_width,vlm_original_height,vlm_width,vlm_height,vlm_image_path,vlm_time_s,vlm_attempts,vlm_last_error,total_processing_time_s,error
1.png,ok,15,5,5,6,5,5,1,9,openai_compat,2682,1600,896,535,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\1_vlm_896x535.jpg,16.75,1,,23.083,
2.png,ok,23,8,14,8,12,8,2,8,openai_compat,2930,1440,896,440,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\2_vlm_896x440.jpg,32.18,1,,34.729,
4.png,ok,100,26,6,38,5,5,1,84,openai_compat,4396,960,896,196,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\4_vlm_896x196.jpg,21.2,1,,29.023,
6.png,ok,15,8,6,6,6,6,1,8,openai_compat,2572,1632,896,569,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\6_vlm_896x569.jpg,18.08,1,,20.115,
8.png,ok,18,3,8,9,6,3,2,10,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\8_vlm_896x875.jpg,23.25,1,,25.509,
9.jpeg,ok,12,3,4,7,3,3,2,7,openai_compat,325,92,325,92,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\9_vlm_325x92.jpg,13.1,1,,14.891,
12.png,ok,33,18,10,10,17,17,2,13,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\12_vlm_896x597.jpg,31.28,1,,35.964,
15.png,ok,13,4,7,5,0,0,2,9,openai_compat,3098,1376,896,398,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\15_vlm_896x398.jpg,17.31,1,,22.001,
17.png,ok,15,4,4,4,7,4,1,6,openai_compat,2704,1568,896,520,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\17_vlm_896x520.jpg,13.88,1,,16.11,
20.png,ok,116,45,42,28,49,41,3,41,openai_compat,2270,1888,896,745,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\20_vlm_896x745.jpg,127.22,1,,135.519,
26.png,ok,19,7,6,7,7,6,1,11,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\26_vlm_896x597.jpg,18.12,1,,20.359,
27.png,ok,38,13,19,12,12,11,2,16,openai_compat,1920,2206,780,896,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\27_vlm_780x896.jpg,41.88,1,,45.143,
30.png,ok,29,4,15,7,18,4,2,11,openai_compat,1760,2372,665,896,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\30_vlm_665x896.jpg,32.43,1,,35.3,
33.png,ok,51,23,16,14,24,22,3,15,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\33_vlm_896x875.jpg,53.95,1,,58.645,
34.png,ok,89,40,24,24,40,41,2,31,openai_compat,1600,2654,540,896,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\34_vlm_540x896.jpg,49.93,1,,56.381,
35.jpeg,ok,10,4,4,3,2,2,2,5,openai_compat,520,130,520,130,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\35_vlm_520x130.jpg,14.16,1,,15.698,
41.png,ok,17,5,7,7,5,4,1,11,openai_compat,2486,1728,896,623,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\41_vlm_896x623.jpg,21.78,1,,24.013,
42.png,ok,25,5,14,7,13,4,2,11,openai_compat,1984,2154,825,896,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\42_vlm_825x896.jpg,28.59,1,,31.871,
51.png,ok,29,15,12,10,16,14,1,12,openai_compat,3174,1312,896,370,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\51_vlm_896x370.jpg,28.25,1,,32.02,
53.png,ok,29,15,8,9,17,15,1,11,openai_compat,3054,1376,896,404,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\53_vlm_896x404.jpg,20.03,1,,23.689,
56.jpeg,ok,15,7,7,2,8,3,1,5,openai_compat,365,239,365,239,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\56_vlm_365x239.jpg,22.37,1,,23.815,
57.jpeg,ok,19,8,6,4,10,3,2,6,openai_compat,375,225,375,225,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\57_vlm_375x225.jpg,20.03,1,,21.597,
59.png,ok,50,22,15,16,21,19,2,21,openai_compat,2276,1856,896,731,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\59_vlm_896x731.jpg,48.37,1,,52.723,
61.png,ok,37,21,22,12,22,22,2,13,openai_compat,3638,1152,896,284,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\61_vlm_896x284.jpg,65.56,1,,71.409,
63.png,ok,37,20,12,10,22,22,2,13,openai_compat,3744,1120,896,268,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\63_vlm_896x268.jpg,35.45,1,,41.135,
64.png,ok,30,9,8,8,8,8,3,9,openai_compat,2186,1920,896,787,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\64_vlm_896x787.jpg,20.6,1,,23.887,
67.jpeg,ok,13,0,1,0,0,0,2,9,openai_compat,641,416,641,416,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\67_vlm_641x416.jpg,6.01,1,,8.932,
68.jpeg,ok,43,2,13,7,21,2,2,19,openai_compat,531,587,531,587,outputs\vlm_lmstudio_vGemma3_10_resized_coords\vlm_resized_images\68_vlm_531x587.jpg,30.25,1,,34.95,
