image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,50,100,100,25,25
101.png,11,11,11,100,100,100,100,100
102.png,18,15,13,69,100,62,69,46
103.jpeg,18,10,10,90,100,90,90,80
104.jpeg,18,13,13,92,100,100,92,92
105.png,18,9,9,67,100,78,67,67
106.png,2,2,2,100,50,100,50,50
107.png,10,10,10,40,50,100,40,40
108.jpeg,11,10,10,100,100,0,100,0
109.jpeg,9,8,8,100,100,100,100,100
110.jpeg,6,3,3,100,100,100,100,100
111.jpeg,1,1,0,0,0,0,0,0
112.jpeg,1,1,1,100,100,100,100,100
113.jpeg,20,14,13,77,92,100,69,69
114.jpeg,20,15,15,87,93,100,80,80
115.png,9,8,6,50,100,100,50,50
116.jpeg,18,14,13,77,100,100,77,77
117.jpeg,9,7,6,100,100,100,100,100
118.jpeg,20,20,13,15,92,23,8,8
119.jpeg,20,18,16,31,100,50,31,31
12.png,16,10,10,100,100,100,100,100
120.jpeg,26,25,24,62,79,75,62,46
121.jpeg,20,18,16,81,100,94,81,75
15.png,42,7,7,43,86,71,43,43
17.png,4,4,3,100,100,100,100,100
2.png,16,14,13,92,100,54,92,54
20.png,48,41,38,26,63,95,26,26
201.jpeg,16,8,8,88,100,75,88,75
26.png,8,6,6,67,100,100,67,67
27.png,13,13,9,22,78,100,22,22
30.png,18,15,15,93,100,100,93,93
33.png,26,16,16,100,100,38,100,38
34.png,40,24,19,95,95,63,95,63
35.jpeg,4,4,4,100,100,100,100,100
4.png,8,6,6,17,100,100,17,17
41.png,8,7,7,100,100,100,100,100
42.png,18,14,14,100,100,100,100,100
45_1.png,18,14,14,100,100,100,100,100
45_2.png,8,7,7,100,100,100,100,100
51.png,18,12,11,100,100,91,100,91
53.png,18,8,8,100,100,100,100,100
56.jpeg,10,7,5,60,100,40,60,40
57.jpeg,10,6,5,80,100,60,80,60
59.png,28,15,15,73,80,87,73,60
6.png,6,6,6,100,100,100,100,100
61.png,22,20,18,39,89,22,39,22
63.png,22,12,12,42,67,25,42,17
64.png,8,8,8,100,100,100,100,100
67.jpeg,4,1,0,0,0,0,0,0
68.jpeg,34,13,11,9,100,91,9,9
78.jpeg,2,3,2,50,0,100,0,0
8.png,18,16,16,81,88,94,81,81
82.jpeg,12,4,4,75,100,75,75,75
88.png,16,15,11,91,100,100,91,91
9.jpeg,4,4,4,100,100,100,100,100
90.png,17,8,8,88,88,88,88,88
91.png,16,13,13,77,100,92,77,69
