image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True
1.png,Magnesium (gesamt),Magnesium (gesamt),400,420,mg,mg,per_daily_dose,per_daily_dose,False,True,True,False,False
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,333,mg,mg,per_daily_dose,per_daily_dose,False,True,True,False,False
1.png,Magnesiummalat,Magnesiummalat,333,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,False,False
101.png,Energy,Energy,1625,1625,kJ,kj,per_100g,per_100g,True,True,True,True,True
101.png,Fat,Fat,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Saturated Fats,Saturated Fats,< 0.1,<0.1,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Carbohydrate,Carbohydrate,86.1,86.1,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Sugars,Sugars,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Fibre,Fibre,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Protein,Protein,6.3,6.3,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Sodium,Sodium,36,36,mg,mg,per_100g,per_100g,True,True,True,True,True
101.png,Salt,Salt,0.09,0.44,g,mg (88%)3,per_100g,per_100g,False,False,True,False,False
102.png,Fat,Fat,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True
102.png,Salt,Salt,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True
102.png,Energy,Energy,1502,1502,kJ,kj,per_100g,per_daily_dose,True,True,False,True,False
102.png,Carbohydrate,Carbohydrate,63,3.9,g,g,per_100g,per_100g,False,True,True,False,False
102.png,Sugars,Sugars,31,0.6,g,g,per_100g,per_100g,False,True,True,False,False
102.png,Fibre,Fibre,5.1,0.7,g,g,per_100g,per_100g,False,True,True,False,False
102.png,Fat,Fat,1.0,0.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,True,False,False,False
102.png,Saturated Fats,Fat,1.1,63,g,g,per_100g,per_100g,False,True,True,False,False
103.jpeg,Energy,Energy,1383,1383,kJ,kj,per_100g,per_100g,True,True,True,True,True
103.jpeg,Fat,Fat,3.7,3.7,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Carbohydrate,Carbohydrate,51,51,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Protein,Protein,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Salt,Salt,0,0,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Energy,energy,1528,1528,kJ,kj,per_100g,per_100g,True,True,True,True,True
104.jpeg,Fat,Fat,2.6,2.6,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Saturated Fats,saturated fats,0.6,0.6,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Carbohydrate,Carbohydrate,72,72,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Sugars,sugars,72,72,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Fibre,Fibre,10,10,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Salt,salt,0.1,0.1,g,g,per_100g,per_100g,True,True,True,True,True
105.png,Energy,Energy,1320,1320,kJ,kj,per_100g,per_serving,True,True,False,True,False
105.png,Energy,Energy,313,313,kcal,kcal,per_100g,per_serving,True,True,False,True,False
