image_id,nutrient,quantity,unit,context
1.png,Magnesium (gesamt),400,mg,per_serving
1.png,Magnesiumoxid,420,mg,per_serving
1.png,Magnesiumbisglycinat,333,mg,per_serving
1.png,Magnesiummalat,350,mg,per_serving
2.png,energy,1195 (281),kJ,per_100g
2.png,fat,0g,,per_100g
2.png,carbohydrate,70g,g,per_100g
2.png,sugars,33g,g,per_100g
2.png,protein,0g,,per_100g
2.png,salt,0.43g,g,per_100g
4.png,energy,10,g,per_100g
4.png,fat,0.12,g,per_100g
4.png,Carbohydrates,6.7,g,per_100g
4.png,Protein,56,g,per_serving
4.png,Protein,0.1a,g,per_serving
4.png,Salt,0.1g,g,per_serving
4.png,Salt,0.12,g,per_100g
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,energy,892,213,per_serving
8.png,protein,2.2,,per_serving
8.png,fat,4.8,,per_serving
8.png,saturated fat,3.4,,per_serving
8.png,carbohydrate,41,,per_serving
8.png,sugars,21,,per_serving
8.png,fibre,1.9,,per_serving
8.png,sodium,42,72,per_serving
9.jpeg,Zinc,5,mg,per_serving
9.jpeg,Vitamin C,30,mg,per_serving
9.jpeg,Vitamin C,60,mg,per_serving
12.png,Energy,547,kj,per_serving
12.png,Energy,129,kcal,per_serving
12.png,Fatten/ Rasva / Matiéres grasses / Fett/ Tlustcze / Fett,0.0,g,per_serving
12.png,waarvan verzadigd vetzuren / josta tyydytymeiden raswojen,0.0,g,per_serving
12.png,Coolhydraten/ Hillhydraatit / Glucides / Karbohidratar / Weglowodany / Kolhydrater,32,g,per_serving
12.png,waarvan sukers / josta sokereiden osuus / dont sucres /,1.1,g,per_serving
12.png,Eiwitter/ Proteinit / Protéines / Protein / Białko / Protein,0.1,g,per_serving
12.png,waarvan sukers / josta sokereiden osuus / dont sucres /,0.6,g,per_serving
15.png,Nahrwertangaben/Nutrition Information pro/per 100 g/42 g/21.42 g.Samgile/of210ks180kcal/38ld,21.42,g,per_100g
15.png,Salt,203,mg,per_100g
15.png,sium 3571mg/150mg7.5%*/300mg15%*)Chloride4762mg/200mg25%/400 mg 50%,4762,mg,per_100g
15.png,Calcium,1428,mg,per_100g
15.png,Caffeine,1786,mg,per_100g
15.png,"men, Koffein(1.80 %) Starke, SiBungsmitte(Sucrainen). Verzehraumpfahhatg:1TabkthnnauchSacciumphashtt.m",1,Tablet,per_serving
15.png,"men, Koffein(1.80 %) Starke, SiBungsmitte(Sucrainen). Verzehraumpfahhatg:1TabkthnnauchSacciumphashtt.m",500,bis,per_daily_dose
15.png,"men, Koffein(1.80 %) Starke, SiBungsmitte(Sucrainen). Verzehraumpfahhatg:1TabkthnnauchSacciumphashtt.m",2,Tabletten/Tag,per_daily_dose
17.png,Caffeine,100,mg,per_serving
17.png,Vitamin B3,2.4,mg NE,per_serving
17.png,Vitamin B6,0.22,mg,per_serving
17.png,Vitamin B12,0.38,g,per_serving
20.png,Brennwert/Energy Value,1474,kj (346 kcal),per_serving
20.png,EwebB/Protein,<0.1,g,per_100g
20.png,Kohlenhydrate/Carbohydrate,78.1,g,per_100g
20.png,Fat/Fat,<0.5,g,per_100g
20.png,Kalium/Potassium,667,mg,per_100g
20.png,Calcium,800,mg,per_100g
20.png,Magnesium,300,mg,per_100g
20.png,Chloride/Chloride,300,mg,per_100g
20.png,Phosphor/Phosphorus,667,mg,per_100g
20.png,Selen/Selenium,800,mg,per_100g
20.png,Koffein (aus Guaranextractpulver),200,mg,per_serving
20.png,Vitamin C,250,mg,per_serving
20.png,Niacin,240,mg NE,per_serving
20.png,Vitamin E,67,mg a-TE,per_serving
20.png,Pantothensäure/Panthothenic Acid,40,mg,per_serving
20.png,Vitamin B6,800,mg,per_serving
20.png,Vitamin B12,10.7,mg,per_serving
20.png,Folat/Folic Acid,9.3,mg,per_serving
