image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,50,100,100,25,25
101.png,11,11,11,100,100,100,100,100
102.png,18,15,13,69,100,62,69,46
103.jpeg,18,10,10,90,100,90,90,80
104.jpeg,18,13,13,92,100,100,92,92
105.png,18,9,9,67,100,78,67,67
106.png,2,2,2,100,50,100,50,50
107.png,10,10,10,40,50,100,40,40
108.jpeg,11,10,10,100,100,0,100,0
109.jpeg,9,8,8,100,100,100,100,100
110.jpeg,6,3,3,100,100,100,100,100
111.jpeg,1,1,1,100,100,100,100,100
112.jpeg,1,1,1,100,100,0,100,0
113.jpeg,20,14,13,77,92,100,69,69
114.jpeg,20,15,15,80,87,100,73,73
115.png,9,8,6,50,100,100,50,50
116.jpeg,18,14,13,77,92,100,69,69
117.jpeg,9,7,6,100,83,100,83,83
118.jpeg,20,22,13,8,92,31,8,8
119.jpeg,20,18,16,31,88,50,19,19
12.png,16,10,10,100,100,100,100,100
120.jpeg,26,25,25,68,88,100,64,64
121.jpeg,20,18,16,81,88,94,75,69
15.png,42,7,7,43,86,71,43,43
17.png,4,4,3,100,100,100,100,100
2.png,16,14,13,92,85,54,77,46
20.png,48,49,38,26,74,89,24,21
201.jpeg,16,6,6,100,83,67,83,67
26.png,8,6,6,67,100,100,67,67
27.png,13,10,6,17,83,100,17,17
30.png,18,15,15,87,93,100,87,87
33.png,26,24,24,100,92,100,92,92
34.png,40,40,32,100,100,97,100,97
35.jpeg,4,4,4,100,100,100,100,100
4.png,8,6,6,17,83,100,17,17
41.png,8,7,7,100,86,100,86,86
42.png,18,14,14,100,71,100,71,71
45_1.png,18,14,14,100,100,100,100,100
45_2.png,8,7,7,100,86,100,86,86
51.png,18,12,11,100,82,91,82,73
53.png,18,8,8,100,88,100,88,88
56.jpeg,10,7,5,60,100,40,60,40
57.jpeg,10,6,5,80,100,60,80,60
59.png,28,15,15,73,80,87,73,60
6.png,6,6,6,100,100,100,100,100
61.png,22,15,13,46,92,23,46,23
63.png,22,12,12,42,67,25,42,17
64.png,8,8,8,100,100,100,100,100
67.jpeg,4,1,0,0,0,0,0,0
68.jpeg,34,13,11,9,100,91,9,9
78.jpeg,2,3,2,50,0,100,0,0
8.png,18,8,8,88,75,100,62,62
82.jpeg,12,4,4,75,100,75,75,75
88.png,16,19,11,82,100,73,82,64
9.jpeg,4,4,4,100,100,100,100,100
90.png,17,8,8,88,88,88,88,88
91.png,16,13,13,77,100,92,77,69
