image_id,nutrient,quantity,unit,context
1.png,Magnesium,400,mg,per_daily_dose
1.png,Magnesium,420,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiummalat,350,mg,per_daily_dose
2.png,Energy,1195,281,per_100g
2.png,Fat,0,g,per_100g
2.png,Saturated Fats,0,g,per_100g
2.png,Carbohydrate,70,g,per_100g
2.png,Sugars,33,g,per_100g
2.png,Protein,0,g,per_100g
2.png,Salt,0.43,g,per_100g
2.png,Energy,837,197,per_daily_dose
2.png,Fat,0,g,per_daily_dose
2.png,Saturated Fats,0,g,per_daily_dose
2.png,Carbohydrate,50,g,per_daily_dose
2.png,Sugars,25,g,per_daily_dose
2.png,Protein,0.30,g,per_daily_dose
2.png,Protein,0.43,g,per_daily_dose
4.png,Energy,0,,per_100g
4.png,Fat,0.8,g,per_100g
4.png,Saturated Fats,3.6,g,per_100g
4.png,Carbohydrate,56.0,g,per_100g
4.png,Protein,0.1a,,per_100g
4.png,Salt,0.13,g,per_100g
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,Energy,892,,per_serving
8.png,Protein,2.2,g,per_serving
8.png,Fat,4.8,,per_serving
8.png,Saturated Fats,3.4,g,per_serving
8.png,Carbohydrate,41,g,per_serving
8.png,Sugars,21,g,per_serving
8.png,Fibre,1.9,g,per_serving
8.png,Sodium,42,mg,per_serving
9.jpeg,Zinc,5,mg,per_serving
9.jpeg,Vitamin C,30,mg,per_serving
9.jpeg,Zinc,10,mg,per_daily_dose
9.jpeg,Vitamin C,60,mg,per_daily_dose
12.png,Energy,547,kJ,per_100ml
12.png,Energy,328,kJ,per_serving
12.png,Fat,0.0,g,per_100ml
12.png,Fat,0.0,g,per_serving
12.png,Carbohydrate,32,g,per_100ml
12.png,Carbohydrate,19,g,per_serving
12.png,Protein,0.1,g,per_100ml
12.png,Protein,0.0,g,per_serving
12.png,Salt,0.6,g,per_100ml
12.png,Salt,0.4,g,per_serving
15.png,Salt,3571,mg,per_100g
15.png,Chloride,4762,mg,per_100g
15.png,Magnesium,670,mg,per_100g
15.png,Calcium,1428,mg,per_100g
15.png,Caffeine,1788,mg,per_100g
15.png,Magnesium,670,mg,per_daily_dose
15.png,Calcium,1428,mg,per_daily_dose
17.png,Caffeine,100,mg,per_serving
17.png,Vitamin B3,2.4,mg NE,per_serving
17.png,Vitamin B6,0.22,mg,per_serving
17.png,Vitamin B12,0.38,µg,per_serving
20.png,Energy,1474,kJ,per_100g
20.png,Carbohydrate,<0.1,g,per_100g
20.png,Fat,78.1,g,per_100g
20.png,Sodium,667,mg,per_100g
20.png,Potassium,45,mg,per_100g
20.png,Calcium,800,mg,per_100g
20.png,Magnesium,800,mg,per_100g
20.png,Chloride,300,mg,per_100g
20.png,Phosphorus,667,mg,per_100g
20.png,Selenium,800,mg,per_100g
20.png,Caffeine,37.5,mg,per_100g
20.png,Vitamin C,250,mg,per_100g
20.png,Niacin,240,NE,per_100g
20.png,Vitamin E,67,mg α-TE,per_100g
20.png,Pantothenic Acid,40,mg,per_100g
20.png,Vitamin B6,800,mg,per_100g
20.png,Vitamin B12,10.7,mg,per_100g
20.png,Folic Acid,9.3,mg,per_100g
20.png,Vitamin B12,1333,mg,per_100g
20.png,RCA,1000,IU,per_100g
20.png,Average Value,223,kcal,per_daily_dose
20.png,<0.1,<0.1,g,per_daily_dose
20.png,Protein,<0.1,g,per_daily_dose
20.png,Carbohydrate,<0.1,g,per_daily_dose
20.png,Fat,+25%,%,per_daily_dose
20.png,Sodium,120,mg,per_daily_dose
20.png,Potassium,45,mg,per_daily_dose
20.png,Calcium,120,mg,per_daily_dose
20.png,Magnesium,15%,%,per_daily_dose
20.png,Chloride,120,mg,per_daily_dose
20.png,Phosphorus,33,mg,per_daily_dose
20.png,Selenium,100%,%,per_daily_dose
20.png,Caffeine,50%,mg,per_daily_dose
20.png,Vitamin C,225%,mg,per_daily_dose
20.png,Niacin,150,%,per_daily_dose
20.png,Vitamin E,125%,mg α-TE,per_daily_dose
20.png,Pantothenic Acid,667%,mg,per_daily_dose
20.png,Vitamin B6,160%,mg,per_daily_dose
20.png,Vitamin B12,67%,%,per_daily_dose
20.png,Folic Acid,67%,mg,per_daily_dose
20.png,Vitamin B12,153,µg,per_daily_dose
20.png,RCA,250,mg,per_daily_dose
20.png,16,16,mg NE,per_daily_dose
20.png,1333%,1333%,%,per_daily_dose
20.png,800,800,mg,per_daily_dose
20.png,10.7,10.7,mg,per_daily_dose
20.png,1333,1333,mg,per_daily_dose
20.png,1000,1000,IU,per_daily_dose
20.png,667,667,%,per_daily_dose
26.png,Energy,942,kJ,per_100g
26.png,Fat,0,g,per_100g
26.png,Saturated Fats,56,g,per_100g
26.png,Carbohydrate,7,g,per_100g
26.png,Protein,3.5,g,per_100g
26.png,Salt,0.11,g,per_100g
27.png,Magnesium,4000,mg,per_100g
27.png,Zinc,2000,mg,per_100g
27.png,Calcium,<0.5,g,per_100g
27.png,Vitamin D,251,µg,per_100g
27.png,Chromium,15,mg,per_100g
27.png,Selenium,896,µg,per_100g
27.png,Vitamin D,37,µg,per_100g
27.png,Magnesium,75,mg,per_100g
27.png,Zinc,49,g,per_100g
27.png,Chromium,10000,µg,per_100g
30.png,Protein,2.7,g,per_serving
30.png,Fat,5.0,g,per_serving
30.png,Saturated Fats,2.7,g,per_serving
30.png,Carbohydrate,39,g,per_serving
30.png,Sugars,19,g,per_serving
30.png,Fibre,2.0,g,per_serving
30.png,Sodium,70,mg,per_serving
30.png,Energy,907/215,kJ/kcal,per_serving
30.png,Protein,4.8,g,per_100g
30.png,Fat,9.1,g,per_100g
30.png,Saturated Fats,4.9,g,per_100g
30.png,Carbohydrate,35,g,per_100g
30.png,Sugars,35,g,per_100g
30.png,Fibre,3.6,g,per_100g
30.png,Sodium,130,mg,per_100g
33.png,Energy,1660,kcal,per_100g
33.png,Fat,0,g,per_100g
33.png,Saturated Fats,0,g,per_100g
33.png,Carbohydrate,97,g,per_100g
33.png,Sugars,56,g,per_100g
33.png,Protein,0,g,per_100g
33.png,Salt,0.53,g,per_100g
33.png,Sodium,210,mg,per_100g
33.png,Calcium,35,mg,per_100g
33.png,Magnesium,25,mg,per_100g
33.png,Potassium,55,mg,per_100g
33.png,Chloride,140,mg,per_100g
33.png,Fat,0,g,per_serving
33.png,Energy,1245,kcal,per_serving
33.png,Saturated Fats,0,g,per_serving
33.png,Carbohydrate,73,g,per_serving
33.png,Sugars,42,g,per_serving
33.png,Protein,0,g,per_serving
33.png,Salt,0.40,g,per_serving
33.png,Sodium,158,mg,per_serving
33.png,Calcium,26,mg,per_serving
33.png,Magnesium,19,mg,per_serving
33.png,Potassium,41,mg,per_serving
33.png,Chloride,105,mg,per_serving
34.png,Energy,1356,kJ,per_serving
34.png,Energy,339,kJ,per_serving
34.png,Fat,0,g,per_100g
34.png,Fat,0,g,per_serving
34.png,Carbohydrate,80,g,per_100g
34.png,Carbohydrate,20,g,per_serving
34.png,Sugars,77,g,per_100g
34.png,Sugars,19,g,per_serving
34.png,Fibre,5,g,per_100g
34.png,Fibre,1.2,g,per_serving
34.png,Protein,0,g,per_100g
34.png,Protein,0,g,per_serving
34.png,Salt,3.5,g,per_100g
34.png,Salt,0.9,g,per_serving
34.png,Minerals,minerals,,per_100g
34.png,Minerals,RDA,,per_serving
34.png,Calcium,400,mg,per_100g
34.png,Calcium,100,mg,per_serving
34.png,Potassium,400,mg,per_100g
34.png,Potassium,100,mg,per_serving
34.png,Magnesium,100,mg,per_100g
34.png,Magnesium,25,mg,per_serving
34.png,Zinc,2.6,mg,per_100g
34.png,Zinc,0.7,mg,per_serving
34.png,Vitamins C,72,mg,per_100g
34.png,Vitamins C,18,mg,per_serving
34.png,Vitamin B3,12,mg,per_100g
34.png,Vitamin B3,3.0,mg,per_serving
34.png,Vitamin B6,3.2,mg,per_100g
34.png,Vitamin B6,0.8,mg,per_serving
34.png,Vitamin B5,2.9,mg,per_100g
34.png,Vitamin B5,0.7,mg,per_serving
34.png,Vitamin B1,0.8,mg,per_100g
34.png,Vitamin B1,0.2,mg,per_serving
34.png,Vitamin B2,0.8,mg,per_100g
34.png,Vitamin B2,0.2,mg,per_serving
34.png,Folic Acid,34,µg,per_100g
34.png,Folic Acid,8.4,µg,per_serving
34.png,Vitamin B12,3.5,µg,per_100g
34.png,Vitamin B12,0.9,µg,per_serving
35.jpeg,Magnesium,4.7,g,per_100g
35.jpeg,Vitamin C,2.1,g,per_100g
35.jpeg,Magnesium,225,mg,per_serving
35.jpeg,Vitamin C,100.8,mg,per_serving
41.png,Energy,612,144 KJ/kcal,per_100g
41.png,Fat,0,g,per_100g
41.png,Saturated Fats,0,g,per_100g
41.png,Carbohydrate,36,g,per_100g
41.png,Sugars,4.5,g,per_100g
41.png,Protein,0,g,per_100g
41.png,Salt,0.10,g,per_100g
42.png,Protein,0,,per_serving
42.png,Fat,0,g,per_serving
42.png,Saturated Fats,0,g,per_serving
42.png,Carbohydrate,44,g,per_serving
42.png,Sugars,18,g,per_serving
42.png,Fibre,0,g,per_serving
42.png,Sodium,240,mg,per_serving
42.png,Protein,0.1,,per_100g
42.png,Fat,0,g,per_100g
42.png,Saturated Fats,0,g,per_100g
42.png,Carbohydrate,94,,per_100g
42.png,Sugars,38,,per_100g
42.png,Fibre,0,g,per_100g
42.png,Sodium,500,mg,per_100g
51.png,Energy,1541,363,per_100g
51.png,Fat,<0.5,g,per_100g
51.png,Saturated Fats,<0.5,g,of which saturates
51.png,Carbohydrate,84,g,per_100g
51.png,Protein,6.7,g,per_100g
51.png,Salt,0.13,g,per_100g
51.png,Vitamin B1,0.35,ng (25%*),per_100g
51.png,Energy,925,218,per_serving
51.png,Fat,<0.5,g,per_serving
51.png,Carbohydrate,50,g,per_serving
51.png,Protein,4.0,g,per_serving
51.png,Salt,0.08,g,per_serving
53.png,Energy,1541,(363),per_100g
53.png,Fat,<0.5,g,per_100g
53.png,Saturated Fats,<0.5,g,per_100g
53.png,Carbohydrate,84,g,per_100g
53.png,Sugars,62,g,per_100g
53.png,Protein,6.7,g,per_100g
53.png,Salt,0.13,g,per_100g
53.png,Vitamin B6,0.35,mg,per_100g
56.jpeg,Protein,83,g,per_100g
56.jpeg,Fat,3.67,g,per_100g
56.jpeg,Energy,383,kcal,per_100g
56.jpeg,Protein,0.228,g,per_100g
56.jpeg,Fat,0.268,g,per_100g
56.jpeg,Protein,4.998,g,per_serving
56.jpeg,Fat,4.3,g,per_serving
57.jpeg,Energy,383,kcal,per_100g
57.jpeg,Protein,83,g,per_100g
57.jpeg,Fat,3.67,g,per_100g
57.jpeg,Fat,4.3,g,per_100g
57.jpeg,Protein,0.228,g,per_100g
57.jpeg,Fat,0.26,g,per_100g
59.png,Energy,1391,kJ,per_100g
59.png,Energy,278,kJ,per_100g
59.png,Protein,0.7,g,per_100g
59.png,Carbohydrate,66.6,g,per_100g
59.png,Sugars,64.4,g,per_100g
59.png,Fructose,63.7,g,per_100g
59.png,Fat,0.3,g,per_100g
59.png,Saturated Fats,<0.3,g,per_100g
59.png,Fibre,25,g,per_100g
59.png,Sodium,5,g,per_100g
59.png,Selenium,<0.1,g,per_100g
59.png,Vitamin C,150,µg,per_100g
59.png,Vitamin E,300,mg,per_100g
59.png,Vitamin A,1667,µg RE,per_100g
59.png,Vitamin A,333,µg RE,per_100g
61.png,Energy,427,kJ,per_serving
61.png,Energy,102,kcal,per_serving
61.png,Fat,0,g,per_100g
61.png,Carbohydrate,25.3,g,per_100g
61.png,Sugars,14.5,g,per_100g
61.png,Protein,0.52,g,per_100g
61.png,Salt,75,mg,per_100g
61.png,Magnesium,333.3,mg,per_100g
61.png,Potassium,100,mg,per_100g
61.png,Calcium,50,mg,per_100g
61.png,Magnesium,100,mg,per_daily_dose
61.png,Potassium,166.7,mg,per_daily_dose
61.png,Calcium,75,mg,per_daily_dose
61.png,Magnesium,333.3,mg,per_daily_dose
61.png,Calcium,50,mg,per_daily_dose
63.png,Energy,427,kJ,per_serving
63.png,Fat,0,g,per_serving
63.png,Carbohydrate,25.3,g,per_100g
63.png,Sugars,14.6,g,per_100g
63.png,Protein,0.52,g,per_serving
63.png,Salt,75,mg,per_100g
63.png,Magnesium,100,mg,per_daily_dose
63.png,Potassium,313.3,mg,per_daily_dose
63.png,Calcium,50,mg,per_daily_dose
63.png,Magnesium,100,%,per_daily_dose
63.png,Potassium,313.3,%,per_daily_dose
63.png,Calcium,50,%,per_daily_dose
64.png,Vitamin C,50,mg,per_daily_dose
64.png,Vitamin B2,0.6,mg,per_daily_dose
64.png,Niacin,7.0,mg,per_daily_dose
64.png,Vitamin B6,0.6,mg,per_daily_dose
64.png,Folic Acid,80,µg,per_daily_dose
64.png,Vitamin B12,2.0,µg,per_daily_dose
64.png,Pantothenic Acid,2.5,mg,per_daily_dose
64.png,Zinc,3.0,mg,per_daily_dose
67.jpeg,Sucrose,1000,i.e.,per_daily_dose
68.jpeg,Energy,24,kJ,per_100g
68.jpeg,Fat,0.59,g,per_100g
68.jpeg,Carbohydrate,5.29,g,per_100g
68.jpeg,Protein,2.1,g,per_100g
68.jpeg,Salt,0.42,g,per_100g
68.jpeg,L-Valine,5.79,g,per_100g
68.jpeg,L-Leucine,6.8,g,per_100g
68.jpeg,L-Leucine,9.29,g,per_100g
68.jpeg,L-Methionine,2.8,g,per_100g
68.jpeg,L-Phenylalanine,2.69,g,per_100g
68.jpeg,L-Tyrosine,6.4,g,per_100g
68.jpeg,L-Tryptophan,1.51,g,per_100g
68.jpeg,Vitamin A,14,µg,per_100g
78.jpeg,Vitamin D3,2000.IE,,per_serving
78.jpeg,Vitamin D,50,g,per_serving
78.jpeg,Vitamin D3,1000,%,per_serving
82.jpeg,Protein,0,g,per_serving
82.jpeg,Carbohydrate,0,g,per_serving
82.jpeg,Fat,0,g,per_serving
82.jpeg,Carbohydrate,100,g,per_serving
88.png,Energy,234,kJ,per_100ml
88.png,Fat,0.7,g,per_100ml
88.png,Saturated Fats,0.5,g,per_100ml
88.png,Carbohydrate,4.1,g,per_100ml
88.png,Zuckerarten,3.5,g,per_100ml
88.png,Protein,8.0,g,per_100ml
88.png,Protein,0.10,g,per_100ml
88.png,Salt,0.33,g,per_100ml
88.png,Fat,772,g,per_serving
88.png,Saturated Fats,2.3,g,per_serving
88.png,Carbohydrate,13,g,per_serving
88.png,Zuckerarten,11,g,per_serving
88.png,Protein,26,g,per_serving
88.png,Fat,4.1,g,per_daily_dose
88.png,Saturated Fats,1.6,g,per_daily_dose
88.png,Carbohydrate,3.5,g,per_daily_dose
88.png,Zuckerarten,8.0,g,per_daily_dose
88.png,Protein,0.10,g,per_daily_dose
88.png,Salt,0.33,g,per_daily_dose
90.png,Energy,192,kJ,per_100ml
90.png,Fat,<0.1,g,per_100ml
90.png,Saturated Fats,<0.1,g,per_100ml
90.png,Carbohydrate,10,g,per_100ml
90.png,Sugars,10,g,per_100ml
90.png,Protein,<0.1,g,per_100ml
90.png,Salt,0.16,g,per_100ml
90.png,Magnesium,0.10,g,per_100ml
91.png,Energy,234,kJ,per_serving
91.png,Fat,0.7,g,per_100ml
91.png,Saturated Fats,0.5,g,per_100ml
91.png,Carbohydrate,4.1,g,per_100ml
91.png,Sugars,8.5,g,per_100ml
91.png,Protein,0.33,g,per_100ml
91.png,Salt,0.10,g,per_100ml
91.png,Energy,772,kJ,per_serving
91.png,Fat,2.3,g,per_serving
91.png,Saturated Fats,1.6,g,per_serving
91.png,Carbohydrate,13,g,per_serving
91.png,Sugars,26,g,per_serving
91.png,Protein,0.33,g,per_serving
101.png,Energy,1625,kJ,per_100g
101.png,Energy,383,kcal,per_100g
101.png,Fat,0.8,g,per_100g
101.png,Saturated Fats,<0.1,g,per_100g
101.png,Carbohydrate,86.1,g,per_100g
101.png,Sugars,8.9,g,per_100g
101.png,Fibre,3.0,g,per_100g
101.png,Protein,6.3,g,per_100g
101.png,Salt,0.09,g,per_100g
101.png,Vitamin B1,0.44,mg,per_100g
101.png,Sodium,36,mg,per_100g
102.png,Energy,1502,kJ,per_100g
102.png,Fat,7.7,g,per_100g
102.png,Saturated Fats,1.1,g,per_100g
102.png,Fatty Acids,63,g,per_100g
102.png,Carbohydrate,3.9,g,per_100g
102.png,Sugars,31,g,per_100g
102.png,Fibre,5.1,g,per_100g
102.png,Protein,0.02,g,per_100g
102.png,Salt,0.14,g,per_100g
102.png,Energy,188,kJ,per_100g
102.png,Fat,1.0,g,per_100g
102.png,Saturated Fats,0.1,g,per_100g
102.png,Fatty Acids,7.9,g,per_100g
102.png,Sugars,0.6,g,per_100g
102.png,Fibre,0.7,g,per_100g
103.jpeg,Energy,1383,kJ,per_100g
103.jpeg,Energy,166,kJ,per_serving
103.jpeg,Fat,3.7,g,per_100g
103.jpeg,Saturated Fats,0.4,g,per_serving
103.jpeg,Carbohydrate,51,g,per_100g
103.jpeg,Carbohydrate,6.1,g,per_serving
103.jpeg,Fibre,16,g,per_100g
103.jpeg,Fibre,1.9,g,per_serving
103.jpeg,Protein,66.0,g,per_100g
103.jpeg,Salt,0,g,per_100g
104.jpeg,Energy,1528,kJ,per_100g
104.jpeg,Fat,2.6,g,per_100g
104.jpeg,Saturated Fats,0.6,g,per_100g
104.jpeg,Carbohydrate,72,g,per_100g
104.jpeg,Sugars,72,g,per_100g
104.jpeg,Fibre,10,g,per_100g
104.jpeg,Protein,3.2,g,per_100g
104.jpeg,Salt,0.1,g,per_100g
104.jpeg,Energy,214,kJ,per_serving
104.jpeg,Fat,0.6,g,per_serving
104.jpeg,Carbohydrate,10,g,per_serving
104.jpeg,Sugars,10,g,per_serving
104.jpeg,Fibre,1.4,g,per_serving
105.png,Energy,1320,kJ,per_100g
105.png,Energy,158,kJ,per_serving
105.png,Fat,2.7,g,per_100g
105.png,Fat,0.4,g,davon gesättigte
105.png,Carbohydrate,52.1,g,per_100g
105.png,Carbohydrate,51.4,g,davon Zucker
105.png,Fibre,15.5,g,per_100g
105.png,Protein,0.00,g,per_100g
105.png,Salt,0.03,g,per_100g
106.png,Vitamin E,12,mg,per_serving
106.png,Magnesium,250,mg,per_serving
107.png,Vitamin B1,1.1,mg,per_daily_dose
107.png,Vitamin B2,1.4,mg,per_daily_dose
107.png,Vitamin B6,2.5,µg,per_daily_dose
107.png,Vitamin B12,80,mg,per_daily_dose
107.png,Vitamin C,80,mg,per_daily_dose
107.png,Vitamin E,16,mg NE,per_daily_dose
107.png,Niacin,50,g,per_daily_dose
107.png,Biotin,200,µg,per_daily_dose
107.png,Folic Acid,6,mg,per_daily_dose
107.png,Pantothenic Acid,6,mg,per_daily_dose
108.jpeg,Magnesium,240,mg,per_serving
108.jpeg,Vitamin B1,1.1,mg,per_serving
108.jpeg,Vitamin B2,1.4,mg,per_serving
108.jpeg,Vitamin B6,1.4,mg,per_serving
108.jpeg,Vitamin B12,2.5,µg,per_serving
108.jpeg,Vitamin C,80,mg,per_serving
108.jpeg,Niacin,16,mg,per_serving
108.jpeg,Biotin,50,µg,per_serving
108.jpeg,Folic Acid,200,µg,per_serving
108.jpeg,Pantothenic Acid,6.0,mg,per_serving
109.jpeg,Energy,420,kJ,per_100g
