tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,400,mg,tagesdosis***,context: got tagesdosis*** expected per_daily_dose
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,420,mg,tagesdosis***,qty: got 420 expected 333 | context: got tagesdosis*** expected per_daily_dose
incorrect,1.png,Magnesium (gesamt),400,mg,per_daily_dose,Magnesium,400,mg,tagesdosis***,nutrient: no match | context: got tagesdosis*** expected per_daily_dose
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.png,Vitamin B1,0.44,mg,per_100g,Vitamin B1,36,mg,per_100g,qty: got 36 expected 0.44
incorrect,101.png,Energy,1625,kJ,per_100g,Energy,0.89,,per_100g,qty: got 0.89 expected 1625 | unit: got None expected kJ
incorrect,101.png,Fat,0.8,g,per_100g,Fat,0.89,,per_100g,qty: got 0.89 expected 0.8 | unit: got None expected g
incorrect,101.png,Saturated Fats,< 0.1,g,per_100g,Saturated Fats,"<0,19",,per_100g,"qty: got <0,19 expected < 0.1 | unit: got None expected g"
incorrect,101.png,Carbohydrate,86.1,g,per_100g,Carbohydrate,86.19,,per_100g,qty: got 86.19 expected 86.1 | unit: got None expected g
incorrect,101.png,Fibre,3.0,g,per_100g,Fibre,3.09,,per_100g,qty: got 3.09 expected 3.0 | unit: got None expected g
incorrect,101.png,Protein,6.3,g,per_100g,Protein,6.39,,per_100g,qty: got 6.39 expected 6.3 | unit: got None expected g
incorrect,101.png,Salt,0.09,g,per_100g,Salt,0.099,,per_100g,qty: got 0.099 expected 0.09 | unit: got None expected g
missing,101.png,Energy,383,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Carbohydrate,63,g,per_100g,Carbohydrate,31,g,per_100g,qty: got 31 expected 63
incorrect,102.png,Energy,1502,kJ,per_100g,Energy,1.09,,per_100g,qty: got 1.09 expected 1502 | unit: got None expected kJ
