image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
114.jpeg,20,26,18,89,100,89,89,89,16,10,4,0.6154,0.8,0.89
116.jpeg,18,18,14,86,86,93,86,86,12,6,6,0.6667,0.6667,0.86
113.jpeg,20,22,14,86,79,100,71,71,10,12,10,0.4545,0.5,0.71
121.jpeg,20,27,18,67,89,83,67,67,12,15,8,0.4444,0.6,0.67
34.png,40,59,38,61,82,84,61,61,23,36,17,0.3898,0.575,0.61
63.png,22,26,20,60,70,80,60,60,12,14,10,0.4615,0.5455,0.6
109.jpeg,9,10,7,57,57,100,57,57,4,6,5,0.4,0.4444,0.57
41.png,8,7,7,57,57,100,57,57,4,3,4,0.5714,0.5,0.57
64.png,8,7,7,57,71,100,57,57,4,3,4,0.5714,0.5,0.57
106.png,2,7,2,50,50,50,50,50,1,6,1,0.1429,0.5,0.5
