image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,3,3,67,100,0,33,0,0,3,5,0.0,0.0,0.0
107.png,10,15,8,50,25,0,25,0,0,15,10,0.0,0.0,0.0
108.jpeg,11,11,8,25,50,0,25,0,0,11,11,0.0,0.0,0.0
111.jpeg,1,2,1,0,0,0,0,0,0,2,1,0.0,0.0,0.0
112.jpeg,1,2,1,0,0,0,0,0,0,2,1,0.0,0.0,0.0
117.jpeg,9,8,7,0,14,100,0,0,0,8,9,0.0,0.0,0.0
118.jpeg,20,16,11,0,18,45,0,0,0,16,20,0.0,0.0,0.0
119.jpeg,20,5,3,0,33,0,0,0,0,5,20,0.0,0.0,0.0
120.jpeg,26,68,26,46,50,0,42,0,0,68,26,0.0,0.0,0.0
15.png,42,4,4,25,0,0,0,0,0,4,42,0.0,0.0,0.0
