image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,tagesdosis***,True,True,False,True,False
1.png,Magnesiummalat,Magnesiummalat,333,420,mg,mg,per_daily_dose,tagesdosis***,False,True,False,False,False
1.png,Magnesium (gesamt),Magnesium,400,400,mg,mg,per_daily_dose,tagesdosis***,True,True,False,False,False
101.png,Sugars,Sugars,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True
101.png,Sodium,Sodium,36,36,mg,mg,per_100g,per_100g,True,True,True,True,True
101.png,Vitamin B1,Vitamin B1,0.44,36,mg,mg,per_100g,per_100g,False,True,True,False,False
101.png,Energy,Energy,1625,0.89,kJ,,per_100g,per_100g,False,False,True,False,False
101.png,Fat,Fat,0.8,0.89,g,,per_100g,per_100g,False,False,True,False,False
101.png,Saturated Fats,Saturated Fats,< 0.1,"<0,19",g,,per_100g,per_100g,False,False,True,False,False
101.png,Carbohydrate,Carbohydrate,86.1,86.19,g,,per_100g,per_100g,False,False,True,False,False
101.png,Fibre,Fibre,3.0,3.09,g,,per_100g,per_100g,False,False,True,False,False
101.png,Protein,Protein,6.3,6.39,g,,per_100g,per_100g,False,False,True,False,False
101.png,Salt,Salt,0.09,0.099,g,,per_100g,per_100g,False,False,True,False,False
102.png,Sugars,Sugars,31,31,g,g,per_100g,per_100g,True,True,True,True,True
102.png,Carbohydrate,Carbohydrate,63,31,g,g,per_100g,per_100g,False,True,True,False,False
102.png,Energy,Energy,1502,1.09,kJ,,per_100g,per_100g,False,False,True,False,False
102.png,Fat,Fat,7.7,1.79,g,,per_100g,per_100g,False,False,True,False,False
102.png,Fibre,Fibre,5.1,5.19,g,,per_100g,per_100g,False,False,True,False,False
102.png,Protein,Protein,5.9,5.99,g,,per_100g,per_100g,False,False,True,False,False
102.png,Salt,Salt,0.14,0.149,g,,per_100g,per_100g,False,False,True,False,False
102.png,Carbohydrate,Carbohydrate,7.9,639,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
102.png,Sugars,Sugars,3.9,0.69,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
102.png,Fibre,Fibre,0.6,0.79,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
102.png,Protein,Protein,0.7,0.029,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False
103.jpeg,Energy,Energy,328,328,kcal,kcal,per_100g,per_100g,True,True,True,True,True
103.jpeg,Fat,Fat,3.7,3.7,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Carbohydrate,Carbohydrate,51,51,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Sugars,Sugars,51,51,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Protein,Protein,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True
103.jpeg,Carbohydrate,Carbohydrate,6.1,6.1,g,g,per_serving (pro Port. (12g)),per_100g,True,True,False,True,False
103.jpeg,Sugars,Sugars,6.1,6.1,g,g,per_serving (pro Port. (12g)),per_100g,True,True,False,True,False
103.jpeg,Salt,Salt,0,7.7,g,g,per_100g,per_100g,False,True,True,False,False
103.jpeg,Energy,Energy,39,0.49,kcal,kcal,per_serving (pro Port. (12g)),per_100g,False,True,False,False,False
103.jpeg,Energy,Energy,1383,3.7,kJ,g,per_100g,per_100g,False,False,True,False,False
103.jpeg,Fibre,Fibre,16,169,g,,per_100g,per_100g,False,False,True,False,False
103.jpeg,Fat,Fat,0.4,0.49,g,kcal,per_serving (pro Port. (12g)),per_100g,False,False,False,False,False
103.jpeg,Fibre,Fibre,1.9,1.99,g,,per_serving (pro Port. (12g)),per_100g,False,False,False,False,False
103.jpeg,Protein,Protein,0.9,0.99,g,,per_serving (pro Port. (12g)),per_100g,False,False,False,False,False
103.jpeg,Salt,Salt,0,0.99,g,,per_serving (pro Port. (12g)),per_100g,False,False,False,False,False
104.jpeg,Energy,Energy,361,361,kcal,kcal,per_100g,per_100g,True,True,True,True,True
104.jpeg,Salt,Salt,0.1,0.1,g,g,per_100g,per_100g,True,True,True,True,True
104.jpeg,Carbohydrate,Carbohydrate,10,10,g,g,per_serving (pro Port. (14g)),per_100g,True,True,False,True,False
104.jpeg,Sugars,Sugars,10,10,g,g,per_serving (pro Port. (14g)),per_100g,True,True,False,True,False
104.jpeg,Fat,Fat,2.6,361,g,kcal,per_100g,per_100g,False,False,True,False,False
104.jpeg,Carbohydrate,Carbohydrate,72,729,g,kcal,per_100g,per_100g,False,False,True,False,False
104.jpeg,Sugars,Sugars,72,729,g,,per_100g,per_100g,False,False,True,False,False
104.jpeg,Fibre,Fibre,10,109,g,,per_100g,per_100g,False,False,True,False,False
104.jpeg,Protein,Protein,3.2,3.29,g,,per_100g,per_100g,False,False,True,False,False
104.jpeg,Fat,Fat,0,2.69,g,kcal,per_serving (pro Port. (14g)),per_100g,False,False,False,False,False
104.jpeg,Fibre,Fibre,1.4,1.49,g,,per_serving (pro Port. (14g)),per_100g,False,False,False,False,False
104.jpeg,Protein,Protein,0,109,g,,per_serving (pro Port. (14g)),per_100g,False,False,False,False,False
104.jpeg,Salt,Salt,0,3.29,g,,per_serving (pro Port. (14g)),per_100g,False,False,False,False,False
105.png,Energy,Energy,1320,1320,kJ,kj,per_100g,per_100g,True,True,True,True,True
105.png,Energy,Energy,158,158,kJ,kj,per_serving (1 Portion* (12 g)),per_100g,True,True,False,True,False
105.png,Fat,Fat,2.7,2.79,g,,per_100g,per_100g,False,False,True,False,False
105.png,Carbohydrate,Carbohydrate,52.1,6.29,g,,per_100g,per_100g,False,False,True,False,False
105.png,Fibre,Fibre,15.5,15.59,g,,per_100g,per_100g,False,False,True,False,False
105.png,Protein,Protein,7.0,7.09,g,,per_100g,per_100g,False,False,True,False,False
105.png,Salt,Salt,0.03,0.039,g,,per_100g,per_100g,False,False,True,False,False
105.png,Fat,Fat,0.3,0.39,g,,per_serving (1 Portion* (12 g)),per_100g,False,False,False,False,False
105.png,Fibre,Fibre,1.9,0.89,g,,per_serving (1 Portion* (12 g)),per_100g,False,False,False,False,False
105.png,Protein,Protein,0.8,0.00,g,,per_serving (1 Portion* (12 g)),per_100g,False,False,False,False,False
