image_id,n_ground_truth,n_predicted,tp,fp,fn,precision,recall,f1,fast_rule_decision,likely_failure_source,descriptive_summary
1.png,5,3,0,3,5,0.0,0.0,0.0,n/a,none,"Image: 1.png. GT=5, predicted=3, TP=0, FP=3, FN=5. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesiumoxid 400 mg [tagesdosis***]; Magnesiummalat 420 mg [tagesdosis***]; Magnesium 400 mg [tagesdosis***]"
2.png,16,9,1,8,15,0.1111,0.0625,0.11,n/a,none,"Image: 2.png. GT=16, predicted=9, TP=1, FP=8, FN=15. Precision=0.11, recall=0.06, F1=0.11. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 70 g [per_100g]; Carbohydrate 50 g [per_daily_dose]; Salt 043 g [per_100g]  (+6 more)"
4.png,8,17,0,17,8,0.0,0.0,0.0,n/a,none,"Image: 4.png. GT=8, predicted=17, TP=0, FP=17, FN=8. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 0.10  [per_100g]; Energy 09  [per_100g]; Fat 09  [per_100g]  (+4 more)"
6.png,6,6,0,6,6,0.0,0.0,0.0,n/a,none,"Image: 6.png. GT=6, predicted=6, TP=0, FP=6, FN=6. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium 56 mg []; Potassium 70 mg []; Calcium 9 mg []  (+2 more)"
8.png,18,14,0,14,18,0.0,0.0,0.0,n/a,none,"Image: 8.png. GT=18, predicted=14, TP=0, FP=14, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 41  [per_100g]; Sugars 21  [per_100g]; Protein 3.7  [per_100g]  (+9 more)"
9.jpeg,4,1,0,1,4,0.0,0.0,0.0,n/a,none,"Image: 9.jpeg. GT=4, predicted=1, TP=0, FP=1, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  "
12.png,16,16,5,11,11,0.3125,0.3125,0.42,n/a,none,"Image: 12.png. GT=16, predicted=16, TP=5, FP=11, FN=11. Precision=0.31, recall=0.31, F1=0.42. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 328 kj [per_serving]; Carbohydrate 19 g [per_serving]; Sugars 0.7 g [per_serving]  (+9 more)"
15.png,42,4,0,4,42,0.0,0.0,0.0,n/a,none,"Image: 15.png. GT=42, predicted=4, TP=0, FP=4, FN=42. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Saturated Fats 0  []; Salt 0  []; Caffeine 2  []  (+1 more)"
17.png,4,7,1,6,3,0.1429,0.25,0.25,n/a,none,"Image: 17.png. GT=4, predicted=7, TP=1, FP=6, FN=3. Precision=0.14, recall=0.25, F1=0.25. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B6 0.22 mg [per_serving]; Caffeine 15  [per_serving]; Niacin 15  [per_serving]  (+1 more)"
20.png,48,70,10,60,38,0.1429,0.2083,0.27,n/a,none,"Image: 20.png. GT=48, predicted=70, TP=10, FP=60, FN=38. Precision=0.14, recall=0.21, F1=0.27. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1474 kj [per_100g]; Potassium 667 mg [per_100g]; Calcium 800 mg [per_100g]  (+34 more)"
