image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,3,3,67,100,0,33,0,0,3,5,0.0,0.0,0.0
101.png,11,10,10,20,30,100,20,20,2,8,9,0.2,0.1818,0.2
102.png,18,14,11,9,18,64,9,9,1,13,17,0.0714,0.0556,0.09
103.jpeg,18,22,15,47,60,53,47,33,5,17,13,0.2273,0.2778,0.33
104.jpeg,18,18,13,31,31,54,31,15,2,16,16,0.1111,0.1111,0.15
105.png,18,14,10,20,20,60,20,10,1,13,17,0.0714,0.0556,0.1
106.png,2,7,2,50,50,50,50,50,1,6,1,0.1429,0.5,0.5
107.png,10,15,8,50,25,0,25,0,0,15,10,0.0,0.0,0.0
108.jpeg,11,11,8,25,50,0,25,0,0,11,11,0.0,0.0,0.0
109.jpeg,9,10,7,57,57,100,57,57,4,6,5,0.4,0.4444,0.57
110.jpeg,6,6,6,67,67,50,67,33,2,4,4,0.3333,0.3333,0.33
111.jpeg,1,2,1,0,0,0,0,0,0,2,1,0.0,0.0,0.0
112.jpeg,1,2,1,0,0,0,0,0,0,2,1,0.0,0.0,0.0
113.jpeg,20,22,14,86,79,100,71,71,10,12,10,0.4545,0.5,0.71
114.jpeg,20,26,18,89,100,89,89,89,16,10,4,0.6154,0.8,0.89
115.png,9,14,8,38,50,100,38,38,3,11,6,0.2143,0.3333,0.38
116.jpeg,18,18,14,86,86,93,86,86,12,6,6,0.6667,0.6667,0.86
117.jpeg,9,8,7,0,14,100,0,0,0,8,9,0.0,0.0,0.0
118.jpeg,20,16,11,0,18,45,0,0,0,16,20,0.0,0.0,0.0
119.jpeg,20,5,3,0,33,0,0,0,0,5,20,0.0,0.0,0.0
12.png,16,16,12,83,83,42,83,42,5,11,11,0.3125,0.3125,0.42
120.jpeg,26,68,26,46,50,0,42,0,0,68,26,0.0,0.0,0.0
121.jpeg,20,27,18,67,89,83,67,67,12,15,8,0.4444,0.6,0.67
15.png,42,4,4,25,0,0,0,0,0,4,42,0.0,0.0,0.0
17.png,4,7,4,25,25,100,25,25,1,6,3,0.1429,0.25,0.25
2.png,16,9,9,33,56,44,22,11,1,8,15,0.1111,0.0625,0.11
20.png,48,70,37,35,57,76,27,27,10,60,38,0.1429,0.2083,0.27
201.jpeg,16,19,9,0,0,56,0,0,0,19,16,0.0,0.0,0.0
26.png,8,7,7,29,71,0,29,0,0,7,8,0.0,0.0,0.0
27.png,13,16,10,60,60,100,30,30,3,13,10,0.1875,0.2308,0.3
30.png,18,16,16,44,25,94,0,0,0,16,18,0.0,0.0,0.0
33.png,26,25,20,60,60,55,40,20,4,21,22,0.16,0.1538,0.2
34.png,40,59,38,61,82,84,61,61,23,36,17,0.3898,0.575,0.61
35.jpeg,4,6,2,0,50,0,0,0,0,6,4,0.0,0.0,0.0
4.png,8,17,7,14,14,100,0,0,0,17,8,0.0,0.0,0.0
41.png,8,7,7,57,57,100,57,57,4,3,4,0.5714,0.5,0.57
42.png,18,9,9,78,44,56,0,0,0,9,18,0.0,0.0,0.0
45_1.png,18,8,8,75,50,38,0,0,0,8,18,0.0,0.0,0.0
45_2.png,8,8,7,43,43,100,43,43,3,5,5,0.375,0.375,0.43
51.png,18,23,12,33,25,58,0,0,0,23,18,0.0,0.0,0.0
53.png,18,15,13,46,38,62,31,15,2,13,16,0.1333,0.1111,0.15
56.jpeg,10,3,2,100,100,0,100,0,0,3,10,0.0,0.0,0.0
57.jpeg,10,3,3,0,0,0,0,0,0,3,10,0.0,0.0,0.0
59.png,28,26,18,39,50,50,17,6,1,25,27,0.0385,0.0357,0.06
6.png,6,6,5,80,100,0,80,0,0,6,6,0.0,0.0,0.0
61.png,22,28,20,40,55,65,40,40,8,20,14,0.2857,0.3636,0.4
63.png,22,26,20,60,70,80,60,60,12,14,10,0.4615,0.5455,0.6
64.png,8,7,7,57,71,100,57,57,4,3,4,0.5714,0.5,0.57
67.jpeg,4,1,1,0,0,0,0,0,0,1,4,0.0,0.0,0.0
68.jpeg,34,0,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0
78.jpeg,2,1,1,0,0,0,0,0,0,1,2,0.0,0.0,0.0
8.png,18,14,12,58,33,50,0,0,0,14,18,0.0,0.0,0.0
82.jpeg,12,6,6,0,0,83,0,0,0,6,12,0.0,0.0,0.0
88.png,16,30,13,15,31,54,8,0,0,30,16,0.0,0.0,0.0
9.jpeg,4,1,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0
90.png,17,31,16,56,44,44,38,25,4,27,13,0.129,0.2353,0.25
91.png,16,16,10,0,30,70,0,0,0,16,16,0.0,0.0,0.0
