image_id,nutrient,quantity,unit,context
1.png,Magnesium,400,mg,tagesdosis***
1.png,Magnesiummalat,420,mg,tagesdosis***
1.png,Magnesiumoxid,400,mg,tagesdosis***
2.png,Saturated Fats,837,,per_daily_dose
2.png,Saturated Fats,89,,per_100g
2.png,Carbohydrate,70,g,per_100g
2.png,Carbohydrate,50,g,per_daily_dose
2.png,ofwhich sugars,339,,per_100g
2.png,ofwhich sugars,259,,per_daily_dose
2.png,Eiweiß ]Protein,0,g,per_100g
2.png,Salt,043,g,per_100g
2.png,Salt,030,g,per_daily_dose
4.png,Fibre,09,,per_100g
4.png,Energy,09,,per_100g
4.png,VALOR ENERGETICO,09,,per_100g
4.png,VALORE ENERGETICO,09,,per_100g
4.png,Fat,09,,per_100g
4.png,GRAISSES,09,,per_100g
4.png,Saturated Fats,56.9,,per_100g
4.png,Fettsäuren,09,,per_100g
4.png,Fettsäuren,56.9,,per_100g
4.png,Saturated Fats,09,,per_100g
4.png,Carbohydrate,56.9,,per_100g
4.png,Carbohydrate,6.79,,per_100g
4.png,Sugars,6.79,,per_100g
4.png,Sugars,0.10,,per_100g
4.png,Protein,0.10,,per_100g
4.png,Protein,0.129,,per_100g
4.png,Salt,0.129,,per_100g
6.png,Vitamin A,28,mg,
6.png,Magnesium,56,mg,
6.png,Potassium,70,mg,
6.png,Calcium,9,mg,
6.png,Sodium,200,mg,
6.png,Green Tea,7,mg,
8.png,Protein,22,,per_serving
8.png,Protein,3.7,,per_serving
8.png,SATURATED FAT (g,34,g,per_serving
8.png,SATURATED FAT (g,57,g,per_serving
8.png,Carbohydrate,41,,per_serving
8.png,Carbohydrate,69,,per_serving
8.png,Sugars,21,,per_serving
8.png,Sugars,35,,per_serving
8.png,DIETARY FIBRE,19,,per_serving
8.png,DIETARY FIBRE,3.2,,per_serving
8.png,SODIUM (mg,42,mg,per_serving
8.png,SODIUM (mg,72,mg,per_serving
8.png,Vitamin B1,22,,per_serving
8.png,Vitamin B1,3.7,,per_serving
9.jpeg,Vitamin A,,,
12.png,Energy,547,kj,per 1ooml
12.png,Energy,328,kj,per_serving
12.png,Energy,129,kcal,per 1ooml
12.png,Fat,0.0,g,per 1ooml
12.png,Carbohydrate,329,,per 1ooml
12.png,Carbohydrate,19,g,per_serving
12.png,Carbohydrate,,,per 1ooml
12.png,Sugars,1.1,g,per 1ooml
12.png,Sugars,0.7,g,per_serving
12.png,Sugars,,,per 1ooml
12.png,Protein,0.19,,per 1ooml
12.png,Protein,0.0,g,per_serving
12.png,Salt,0.6,g,per 1ooml
12.png,Salt,0.4,g,per_serving
12.png,Sucia / Sel,0.6,g,per 1ooml
12.png,Sucia / Sel,0.4,g,per_serving
15.png,Salt,0,,
15.png,Saturated Fats,0,,
15.png,Calcium 7428,,,
15.png,Caffeine,2,,
17.png,Caffeine,15,,per_serving
17.png,Niacin,15,,per_serving
17.png,Vitamin A,0.22,mg,per_serving
17.png,Vitamin A,15,,per_serving
17.png,Vitamin B6,0.22,mg,per_serving
17.png,Vitamin B6,15,,per_serving
17.png,Vitamin B12,15,,per_serving
20.png,Ewebß/Protein,1474,kj,per_100g
20.png,Ewebß/Protein,"<0,19",,per_100g
20.png,Ewebß/Protein,11.79,,per_daily_dose
20.png,KohlenhydratelGarbohydrate,78.1,g,per_100g
20.png,KohlenhydratelGarbohydrate,100,mg,per_daily_dose
20.png,KohlenhydratelGarbohydrate,"<0,19",,per_daily_dose
20.png,Fatt/Fat,"<0,59",,per_100g
20.png,Fatt/Fat,78.1,g,per_100g
20.png,Fatt/Fat,100,mg,per_daily_dose
20.png,Natrium{Sodium,667,mg,per_100g
20.png,Natrium{Sodium,"<0,59",,per_100g
20.png,Natrium{Sodium,100,mg,per_daily_dose
20.png,Phosphor Phosphorus,667,mg,per_100g
20.png,Phosphor Phosphorus,800,mg,per_100g
20.png,Phosphor Phosphorus,37.5,mg,per_daily_dose
20.png,Vitamin B6,13.3,mg,per_100g
20.png,Vitamin B6,40,mg,per_100g
20.png,Vitamin B6,1.6,mg,per_daily_dose
20.png,Vitamin B1,13.3,mg,per_100g
20.png,Vitamin B1,10.7,mg,per_100g
20.png,Vitamin B1,6678,,per_daily_dose
20.png,Vitamin B1,1,,per_daily_dose
20.png,Vitamin B1,280,,per_daily_dose
20.png,Vitamin B12,6.,,per_100g
20.png,Vitamin B12,7,,per_100g
20.png,Vitamin B12,9.3,mg,per_100g
20.png,auslfrom Provitamin A,,,per_100g
20.png,ala,1474,kj,per_100g
20.png,Energy,1474,kj,per_100g
20.png,Potassium,667,mg,per_100g
20.png,Potassium,120,mg,per_daily_dose
20.png,Potassium,45,mg,per_daily_dose
20.png,Calcium,667,mg,per_100g
20.png,Calcium,800,mg,per_100g
20.png,Calcium,45,mg,per_daily_dose
20.png,Magnesium,300,mg,per_100g
20.png,Magnesium,120,mg,per_daily_dose
20.png,Chloride,300,mg,per_100g
20.png,Chloride,667,mg,per_100g
20.png,Chloride,120,mg,per_daily_dose
20.png,Selenium,800,mg,per_100g
20.png,Selenium,37.5,mg,per_daily_dose
20.png,Selenium,375,mg,per_daily_dose
20.png,Caffeine,800,mg,per_100g
20.png,Caffeine,37.5,mg,per_daily_dose
20.png,Caffeine,375,mg,per_daily_dose
20.png,Vitamin A,250,mg,per_100g
20.png,Vitamin A,800,mg,per_100g
20.png,Vitamin A,2258,,per_daily_dose
20.png,Niacin,800,mg,per_100g
20.png,Niacin,10,mg,per_daily_dose
20.png,Niacin,6,mg,per_daily_dose
20.png,Vitamin A,667,,per_100g
20.png,Vitamin A,1,mg,per_daily_dose
20.png,Vitamin A,1250,,per_daily_dose
20.png,Pantothenic Acid,40,mg,per_100g
20.png,Pantothenic Acid,667,,per_100g
20.png,Pantothenic Acid,1.6,mg,per_daily_dose
20.png,Vitamin A,13.3,mg,per_100g
20.png,Vitamin A,10.7,mg,per_100g
20.png,Vitamin A,6678,,per_daily_dose
20.png,Vitamin A,280,,per_daily_dose
20.png,Folic Acid,9.3,mg,per_100g
20.png,Folic Acid,1,,per_daily_dose
20.png,Folic Acid,280,,per_daily_dose
20.png,Vitamin A,6.,,per_100g
20.png,Vitamin A,7,,per_100g
20.png,Vitamin A,9.3,mg,per_100g
20.png,Biotin,6.,,per_100g
20.png,Biotin,7,,per_100g
26.png,Energy,2,,
26.png,Fat,0,g,
26.png,Saturated Fats,56,g,
26.png,Carbohydrate,7,g,
26.png,Sugars,3.5,g,
26.png,Protein,3.5,g,
26.png,Salt,,,
27.png,Brewswert/Energy,1254,kj,per_100g
