image_id,match_status,predicted_nutrient,predicted_quantity,predicted_unit,predicted_context,gt_nutrient,gt_quantity,gt_unit,gt_context
1.png,TP,Magnesiumoxid,400,mg,tagesdosis***,Magnesiumoxid,,mg,per_daily_dose
1.png,TP,Magnesiummalat,420,mg,tagesdosis***,Magnesiummalat,,mg,per_daily_dose
1.png,TP,Magnesium,400,mg,tagesdosis***,Magnesium (gesamt),,mg,per_daily_dose
101.png,TP,Sugars,8.9,g,per_100g,Sugars,,g,per_100g
101.png,TP,Sodium,36,mg,per_100g,Sodium,,mg,per_100g
101.png,TP,Vitamin B1,36,mg,per_100g,Vitamin B1,,mg,per_100g
101.png,TP,Energy,0.89,,per_100g,Energy,,kJ,per_100g
101.png,TP,Fat,0.89,,per_100g,Fat,,g,per_100g
101.png,TP,Saturated Fats,"<0,19",,per_100g,Saturated Fats,,g,per_100g
101.png,TP,Carbohydrate,86.19,,per_100g,Carbohydrate,,g,per_100g
101.png,TP,Fibre,3.09,,per_100g,Fibre,,g,per_100g
101.png,TP,Protein,6.39,,per_100g,Protein,,g,per_100g
101.png,TP,Salt,0.099,,per_100g,Salt,,g,per_100g
102.png,TP,Sugars,31,g,per_100g,Sugars,,g,per_100g
102.png,TP,Carbohydrate,31,g,per_100g,Carbohydrate,,g,per_100g
102.png,TP,Energy,1.09,,per_100g,Energy,,kJ,per_100g
102.png,TP,Fat,1.79,,per_100g,Fat,,g,per_100g
102.png,TP,Fibre,5.19,,per_100g,Fibre,,g,per_100g
102.png,TP,Protein,5.99,,per_100g,Protein,,g,per_100g
102.png,TP,Salt,0.149,,per_100g,Salt,,g,per_100g
102.png,TP,Carbohydrate,639,,per_100g,Carbohydrate,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Sugars,0.69,,per_100g,Sugars,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Fibre,0.79,,per_100g,Fibre,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Protein,0.029,,per_100g,Protein,,g,per_serving (1 Riegel* (12.5 g))
103.jpeg,TP,Energy,328,kcal,per_100g,Energy,,kcal,per_100g
103.jpeg,TP,Fat,3.7,g,per_100g,Fat,,g,per_100g
103.jpeg,TP,Carbohydrate,51,g,per_100g,Carbohydrate,,g,per_100g
103.jpeg,TP,Sugars,51,g,per_100g,Sugars,,g,per_100g
103.jpeg,TP,Protein,7.7,g,per_100g,Protein,,g,per_100g
103.jpeg,TP,Carbohydrate,6.1,g,per_100g,Carbohydrate,,g,per_serving (pro Port. (12g))
103.jpeg,TP,Sugars,6.1,g,per_100g,Sugars,,g,per_serving (pro Port. (12g))
103.jpeg,TP,Salt,7.7,g,per_100g,Salt,,g,per_100g
103.jpeg,TP,Energy,0.49,kcal,per_100g,Energy,,kcal,per_serving (pro Port. (12g))
103.jpeg,TP,Energy,3.7,g,per_100g,Energy,,kJ,per_100g
103.jpeg,TP,Fibre,169,,per_100g,Fibre,,g,per_100g
103.jpeg,TP,Fat,0.49,kcal,per_100g,Fat,,g,per_serving (pro Port. (12g))
103.jpeg,TP,Fibre,1.99,,per_100g,Fibre,,g,per_serving (pro Port. (12g))
103.jpeg,TP,Protein,0.99,,per_100g,Protein,,g,per_serving (pro Port. (12g))
103.jpeg,TP,Salt,0.99,,per_100g,Salt,,g,per_serving (pro Port. (12g))
104.jpeg,TP,Energy,361,kcal,per_100g,Energy,,kcal,per_100g
104.jpeg,TP,Salt,0.1,g,per_100g,Salt,,g,per_100g
104.jpeg,TP,Carbohydrate,10,g,per_100g,Carbohydrate,,g,per_serving (pro Port. (14g))
104.jpeg,TP,Sugars,10,g,per_100g,Sugars,,g,per_serving (pro Port. (14g))
104.jpeg,TP,Fat,361,kcal,per_100g,Fat,,g,per_100g
104.jpeg,TP,Carbohydrate,729,kcal,per_100g,Carbohydrate,,g,per_100g
104.jpeg,TP,Sugars,729,,per_100g,Sugars,,g,per_100g
104.jpeg,TP,Fibre,109,,per_100g,Fibre,,g,per_100g
