image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,5,4,100,100,100,100,100,4,1,1,0.8,0.8,1.0
101.png,11,11,11,91,91,100,91,91,10,1,1,0.9091,0.9091,0.91
102.png,18,22,13,77,92,62,77,62,8,14,10,0.3636,0.4444,0.62
103.jpeg,18,20,17,76,82,88,65,59,10,10,8,0.5,0.5556,0.59
104.jpeg,18,19,15,80,80,87,73,73,11,8,7,0.5789,0.6111,0.73
105.png,18,16,13,69,100,54,69,46,6,10,12,0.375,0.3333,0.46
106.png,2,8,2,100,50,0,50,0,0,8,2,0.0,0.0,0.0
107.png,10,16,10,80,50,100,50,50,5,11,5,0.3125,0.5,0.5
108.jpeg,11,18,10,70,70,100,70,70,7,11,4,0.3889,0.6364,0.7
109.jpeg,9,12,9,100,100,100,100,100,9,3,0,0.75,1.0,1.0
110.jpeg,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
111.jpeg,1,2,1,100,0,0,0,0,0,2,1,0.0,0.0,0.0
112.jpeg,1,2,1,100,0,0,0,0,0,2,1,0.0,0.0,0.0
113.jpeg,20,22,14,50,100,86,50,50,7,15,13,0.3182,0.35,0.5
114.jpeg,20,22,15,80,100,80,80,80,12,10,8,0.5455,0.6,0.8
115.png,9,16,8,88,88,100,88,88,7,9,2,0.4375,0.7778,0.88
116.jpeg,18,15,15,100,80,100,80,80,12,3,6,0.8,0.6667,0.8
117.jpeg,9,7,7,57,29,100,14,14,1,6,8,0.1429,0.1111,0.14
118.jpeg,20,15,13,8,85,31,0,0,0,15,20,0.0,0.0,0.0
119.jpeg,20,12,10,0,100,20,0,0,0,12,20,0.0,0.0,0.0
12.png,16,13,11,91,100,100,82,82,9,4,7,0.6923,0.5625,0.82
120.jpeg,26,70,25,92,60,100,56,56,14,56,12,0.2,0.5385,0.56
121.jpeg,20,24,13,85,77,92,69,69,9,15,11,0.375,0.45,0.69
15.png,42,9,9,100,100,100,100,100,9,0,33,1.0,0.2143,1.0
17.png,4,7,4,100,75,100,75,75,3,4,1,0.4286,0.75,0.75
2.png,16,14,13,69,77,54,54,31,4,10,12,0.2857,0.25,0.31
20.png,48,66,43,42,58,84,26,26,11,55,37,0.1667,0.2292,0.26
201.jpeg,16,14,7,100,100,57,100,57,4,10,12,0.2857,0.25,0.57
26.png,8,7,7,29,86,100,29,29,2,5,6,0.2857,0.25,0.29
27.png,13,21,12,83,75,100,25,25,3,18,10,0.1429,0.2308,0.25
30.png,18,17,15,100,53,100,40,40,6,11,12,0.3529,0.3333,0.4
33.png,26,28,22,95,91,95,86,86,19,9,7,0.6786,0.7308,0.86
34.png,40,60,39,95,100,97,95,92,36,24,4,0.6,0.9,0.92
35.jpeg,4,3,3,67,67,67,67,67,2,1,2,0.6667,0.5,0.67
4.png,8,22,8,62,88,100,62,62,5,17,3,0.2273,0.625,0.62
41.png,8,7,7,57,86,100,57,57,4,3,4,0.5714,0.5,0.57
42.png,18,12,12,100,50,92,42,42,5,7,13,0.4167,0.2778,0.42
45_1.png,18,13,13,77,69,100,46,46,6,7,12,0.4615,0.3333,0.46
45_2.png,8,7,7,71,71,100,57,57,4,3,4,0.5714,0.5,0.57
51.png,18,14,9,89,78,56,0,0,0,14,18,0.0,0.0,0.0
53.png,18,14,11,100,82,55,0,0,0,14,18,0.0,0.0,0.0
56.jpeg,10,6,4,25,100,50,25,25,1,5,9,0.1667,0.1,0.25
57.jpeg,10,12,4,75,100,50,75,25,1,11,9,0.0833,0.1,0.25
59.png,28,30,23,78,74,100,57,57,13,17,15,0.4333,0.4643,0.57
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
61.png,22,20,19,100,100,100,100,100,19,1,3,0.95,0.8636,1.0
63.png,22,23,19,95,100,95,84,84,16,7,6,0.6957,0.7273,0.84
64.png,8,8,8,100,75,100,75,75,6,2,2,0.75,0.75,0.75
67.jpeg,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
68.jpeg,34,18,2,0,100,50,0,0,0,18,34,0.0,0.0,0.0
78.jpeg,2,5,2,0,0,50,0,0,0,5,2,0.0,0.0,0.0
8.png,18,11,11,36,64,91,9,9,1,10,17,0.0909,0.0556,0.09
82.jpeg,12,5,5,20,20,80,0,0,0,5,12,0.0,0.0,0.0
88.png,16,13,9,78,100,100,78,78,7,6,9,0.5385,0.4375,0.78
9.jpeg,4,7,4,75,100,25,75,0,0,7,4,0.0,0.0,0.0
90.png,17,18,16,81,75,81,69,62,10,8,7,0.5556,0.5882,0.62
91.png,16,22,15,93,80,93,80,80,12,10,4,0.5455,0.75,0.8
