image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,5,4,100,100,100,100,100,4,1,1,0.8,0.8,1.0
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
109.jpeg,9,12,9,100,89,100,89,89,8,4,1,0.6667,0.8889,0.89
101.png,11,11,11,91,82,100,82,82,9,2,2,0.8182,0.8182,0.82
17.png,4,7,4,100,75,100,75,75,3,4,1,0.4286,0.75,0.75
64.png,8,8,8,100,75,100,75,75,6,2,2,0.75,0.75,0.75
108.jpeg,11,18,10,70,70,100,70,70,7,11,4,0.3889,0.6364,0.7
35.jpeg,4,3,3,67,67,67,67,67,2,1,2,0.6667,0.5,0.67
115.png,9,16,8,88,62,100,62,62,5,11,4,0.3125,0.5556,0.62
4.png,8,22,8,62,88,100,62,62,5,17,3,0.2273,0.625,0.62
