image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Energy,Energy,1625,1625,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fat,Fat,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Saturated Fats,Saturated Fats,< 0.1,<0.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Carbohydrate,Carbohydrate,86.1,86.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Sugars,Sugars,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fibre,Fibre,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Protein,Protein,6.3,6.3,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Salt,Salt,0.09,0.09,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Sodium,Sodium,36,36,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Energy,Energy,383,383,kcal,kj,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
101.png,Vitamin B1,Vitamin B1,0.44,,mg,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.png,Energy,Energy,1502,1502,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Fat,Fat,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Carbohydrate,Carbohydrate,63,63,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Sugars,Sugars,31,31,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Fibre,Fibre,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Protein,Protein,5.9,5.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Salt,Salt,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Sugars,Sugars,3.9,3.9,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
102.png,Fibre,Fibre,0.6,0.6,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
102.png,Energy,Energy,356,356,kcal,kj,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
102.png,Carbohydrate,Carbohydrate,7.9,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Protein,Protein,0.7,0.14,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Energy,Energy,188,7.7,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energy,Energy,1383,1383,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Saturated Fats,Saturated Fats,0.4,0.4,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Carbohydrate,Carbohydrate,51,51,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Sugars,Sugars,51,51,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Fibre,Fibre,16,16,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Protein,Protein,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
103.jpeg,Fat,Fat,0.4,0.4,g,g,per_serving (pro Port. (12g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
103.jpeg,Carbohydrate,Carbohydrate,6.1,6.1,g,g,per_serving (pro Port. (12g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
103.jpeg,Energy,Energy,328,328,kcal,kj,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
103.jpeg,Fat,Fat,3.7,3.7,g,kcal,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
103.jpeg,Salt,Salt,0,7.7,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Energy,Energy,39,3.7,kcal,kcal,per_serving (pro Port. (12g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Sugars,Sugars,6.1,16,g,g,per_serving (pro Port. (12g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Fibre,Fibre,1.9,7.7,g,g,per_serving (pro Port. (12g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Protein,Protein,0.9,16,g,g,per_serving (pro Port. (12g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Salt,Salt,0,66.0,g,g,per_serving (pro Port. (12g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Saturated Fats,Saturated Fats,0,3.7,g,kcal,per_serving (pro Port. (12g)),per_100g,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Energy,Energy,1528,1528,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Saturated Fats,Saturated Fats,0.6,0.6,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Carbohydrate,Carbohydrate,72,72,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Sugars,Sugars,72,72,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Fibre,Fibre,10,10,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Salt,Salt,0.1,0.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
104.jpeg,Sugars,Sugars,10,10,g,g,per_serving (pro Port. (14g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
104.jpeg,Salt,Salt,0,0,g,g,per_serving (pro Port. (14g)),per_100g,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
104.jpeg,Energy,Energy,361,361,kcal,kj,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
104.jpeg,Fat,Fat,2.6,2.6,g,kcal,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
104.jpeg,Energy,Energy,51,51,kcal,kj,per_serving (pro Port. (14g)),per_100g,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
104.jpeg,Carbohydrate,Carbohydrate,10,0.6,g,g,per_serving (pro Port. (14g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
104.jpeg,Fibre,Fibre,1.4,3.2,g,g,per_serving (pro Port. (14g)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
104.jpeg,Fat,Fat,0,361,g,kj,per_serving (pro Port. (14g)),per_100g,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Saturated Fats,Saturated Fats,0,2.6,g,kcal,per_serving (pro Port. (14g)),per_100g,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
105.png,Energy,Energy,1320,1320,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
