image_id,n_ground_truth,n_predicted,tp,fp,fn,precision,recall,f1,fast_rule_decision,likely_failure_source,descriptive_summary
1.png,5,5,4,1,1,0.8,0.8,1.0,n/a,none,"Image: 1.png. GT=5, predicted=5, TP=4, FP=1, FN=1. Precision=0.80, recall=0.80, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium (gesamt 400 mg [per_daily_dose]; Magnesiumoxid 400 mg [per_daily_dose]; Magnesiumbisglycinat 350 mg [per_daily_dose]  (+1 more)"
2.png,16,11,4,7,12,0.3636,0.25,0.36,n/a,none,"Image: 2.png. GT=16, predicted=11, TP=4, FP=7, FN=12. Precision=0.36, recall=0.25, F1=0.36. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 70 g [per_100g]; Sugars 33 g [per_100g]; Protein 0 g [per_100g]  (+8 more)"
4.png,8,22,5,17,3,0.2273,0.625,0.62,n/a,none,"Image: 4.png. GT=8, predicted=22, TP=5, FP=17, FN=3. Precision=0.23, recall=0.62, F1=0.62. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 56 g [per_100g]  (+5 more)"
6.png,6,6,6,0,0,1.0,1.0,1.0,n/a,none,"Image: 6.png. GT=6, predicted=6, TP=6, FP=0, FN=0. Precision=1.00, recall=1.00, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 28 mg [per_serving]; Magnesium 56 mg [per_serving]; Potassium 70 mg [per_serving]  (+3 more)"
8.png,18,11,0,11,18,0.0,0.0,0.0,n/a,none,"Image: 8.png. GT=18, predicted=11, TP=0, FP=11, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 2.2 g [per_100g]; Protein 3.7  [per_100g]; Sugars 21271 g [per_100g]  (+8 more)"
9.jpeg,4,7,1,6,3,0.1429,0.25,0.25,n/a,none,"Image: 9.jpeg. GT=4, predicted=7, TP=1, FP=6, FN=3. Precision=0.14, recall=0.25, F1=0.25. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 60 mg [per_daily_dose]; Zinc 5 mg [per_daily_dose]; Vitamin C 30 mg [per_daily_dose]  (+1 more)"
12.png,16,12,4,8,12,0.3333,0.25,0.4,n/a,none,"Image: 12.png. GT=16, predicted=12, TP=4, FP=8, FN=12. Precision=0.33, recall=0.25, F1=0.40. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 547 kj [per_100ml]; Energy 129 kcal [per_100ml]; Carbohydrate 32 g [per_100ml]  (+7 more)"
15.png,42,6,0,6,42,0.0,0.0,0.0,n/a,none,"Image: 15.png. GT=42, predicted=6, TP=0, FP=6, FN=42. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Salt   [per_100g]; Caffeine   [per_100g]; sium 3571mg/150mg7.5%*/300mg15%*)Chloride4762mg/200mg25%/400 mg 50%,Calcium 1428   [per_100g]  (+2 more)"
17.png,4,7,3,4,1,0.4286,0.75,0.75,n/a,none,"Image: 17.png. GT=4, predicted=7, TP=3, FP=4, FN=1. Precision=0.43, recall=0.75, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Caffeine 100 mg [per_serving]; Niacin 2.4 mg ne [per_serving]; Vitamin B6 0.22 mg [per_serving]  (+1 more)"
20.png,48,64,9,55,39,0.1406,0.1875,0.21,n/a,none,"Image: 20.png. GT=48, predicted=64, TP=9, FP=55, FN=39. Precision=0.14, recall=0.19, F1=0.21. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 78.1 g [per_100g]; Calcium 800 mg [per_100g]; Magnesium 300 mg [per_100g]  (+40 more)"
26.png,8,7,1,6,7,0.1429,0.125,0.14,n/a,none,"Image: 26.png. GT=8, predicted=7, TP=1, FP=6, FN=7. Precision=0.14, recall=0.12, F1=0.14. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 56 g [per_100g]; Carbohydrate 7 g [per_100g]  (+4 more)"
27.png,13,21,3,18,10,0.1429,0.2308,0.25,n/a,none,"Image: 27.png. GT=13, predicted=21, TP=3, FP=18, FN=10. Precision=0.14, recall=0.23, F1=0.25. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Calcium 4000 mg [per_100g]; Magnesium 2000 mg [per_100g]; Chromium 896 µg [per_100g]  (+9 more)"
30.png,18,17,3,14,15,0.1765,0.1667,0.2,n/a,none,"Image: 30.png. GT=18, predicted=17, TP=3, FP=14, FN=15. Precision=0.18, recall=0.17, F1=0.20. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 4.8 g [per_100g]; Sugars 35 g [per_100g]; Sodium 130 mg [per_100g]  (+12 more)"
33.png,26,29,11,18,15,0.3793,0.4231,0.48,n/a,none,"Image: 33.png. GT=26, predicted=29, TP=11, FP=18, FN=15. Precision=0.38, recall=0.42, F1=0.48. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 97 g [per_100g]  (+20 more)"
34.png,40,61,16,45,24,0.2623,0.4,0.41,n/a,none,"Image: 34.png. GT=40, predicted=61, TP=16, FP=45, FN=24. Precision=0.26, recall=0.40, F1=0.41. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 80 g [per_100g]; Sugars 77 g [per_100g]; Fibre 5 g [per_100g]  (+36 more)"
35.jpeg,4,3,2,1,2,0.6667,0.5,0.67,n/a,none,"Image: 35.jpeg. GT=4, predicted=3, TP=2, FP=1, FN=2. Precision=0.67, recall=0.50, F1=0.67. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium 4.7 g [per_100g]; Vitamin C 2.1 g [per_100g]; Magnesium 2.1 g [per_100g]"
41.png,8,7,4,3,4,0.5714,0.5,0.57,n/a,none,"Image: 41.png. GT=8, predicted=7, TP=4, FP=3, FN=4. Precision=0.57, recall=0.50, F1=0.57. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Protein 0 g [per_100g]  (+4 more)"
42.png,18,12,4,8,14,0.3333,0.2222,0.33,n/a,none,"Image: 42.png. GT=18, predicted=12, TP=4, FP=8, FN=14. Precision=0.33, recall=0.22, F1=0.33. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Sugars 38 g [per_100g]  (+9 more)"
51.png,18,14,0,14,18,0.0,0.0,0.0,n/a,none,"Image: 51.png. GT=18, predicted=14, TP=0, FP=14, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat Fett Matieres grassesVetten <0.5 g [per_100g]; CarbohydrateKohlenhydrateGlucidesKoolhydraten 84 g [per_100g]; -of which sugarsdavon Zuckerdont sucreswaarvan suikers 62 g [per_100g]  (+6 more)"
53.png,18,14,0,14,18,0.0,0.0,0.0,n/a,none,"Image: 53.png. GT=18, predicted=14, TP=0, FP=14, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1541 (363 g [per_100g]; Energy 925 (218 g [per_100g]; Fat |Fett |Matieres grasses |Vetten <0.5 g [per_100g]  (+8 more)"
56.jpeg,10,6,2,4,8,0.3333,0.2,0.5,n/a,none,"Image: 56.jpeg. GT=10, predicted=6, TP=2, FP=4, FN=8. Precision=0.33, recall=0.20, F1=0.50. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Proteines 83 g [per_100g]; Fat 4.3 g [per_100g]; Fat 3.67 g [per_100g]  (+1 more)"
57.jpeg,10,12,1,11,9,0.0833,0.1,0.25,n/a,none,"Image: 57.jpeg. GT=10, predicted=12, TP=1, FP=11, FN=9. Precision=0.08, recall=0.10, F1=0.25. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: proteines 83 g [per_100g]; Fat 0.26 g [per_100g]; Fat 3.67 g [per_100g]  (+1 more)"
59.png,28,30,6,24,22,0.2,0.2143,0.26,n/a,none,"Image: 59.png. GT=28, predicted=30, TP=6, FP=24, FN=22. Precision=0.20, recall=0.21, F1=0.26. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 66.6 g [per_100g]; Fat 0.3 g [per_100g]; Saturated Fats <0.3 g [per_100g]  (+20 more)"
61.png,22,23,7,16,15,0.3043,0.3182,0.37,n/a,none,"Image: 61.png. GT=22, predicted=23, TP=7, FP=16, FN=15. Precision=0.30, recall=0.32, F1=0.37. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1424 kj [per_100g]; Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]  (+16 more)"
63.png,22,23,8,15,14,0.3478,0.3636,0.42,n/a,none,"Image: 63.png. GT=22, predicted=23, TP=8, FP=15, FN=14. Precision=0.35, recall=0.36, F1=0.42. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1424 kj [per_100g]; Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]  (+16 more)"
64.png,8,8,6,2,2,0.75,0.75,0.75,n/a,none,"Image: 64.png. GT=8, predicted=8, TP=6, FP=2, FN=2. Precision=0.75, recall=0.75, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 50 mg [per_daily_dose]; Vitamin B2 0.6 mg [per_daily_dose]; Niacin 7.0 mg [per_daily_dose]  (+5 more)"
67.jpeg,4,0,0,0,4,0.0,0.0,0.0,n/a,none,"Image: 67.jpeg. GT=4, predicted=0, TP=0, FP=0, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  "
68.jpeg,34,19,0,19,34,0.0,0.0,0.0,n/a,none,"Image: 68.jpeg. GT=34, predicted=19, TP=0, FP=19, FN=34. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Prter(e/Ehws8/Proteines/Eiwtten/Proteinas 64 g [per_100g]; Prter(e/Ehws8/Proteines/Eiwtten/Proteinas 0.49 g [per_100g]"
78.jpeg,2,5,0,5,2,0.0,0.0,0.0,n/a,none,"Image: 78.jpeg. GT=2, predicted=5, TP=0, FP=5, FN=2. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin D   []; rnit Vitamin D3   []"
82.jpeg,12,5,0,5,12,0.0,0.0,0.0,n/a,none,"Image: 82.jpeg. GT=12, predicted=5, TP=0, FP=5, FN=12. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy   [per_serving]; Protein 60  [per_serving]; Carbohydrate 60  [per_serving]  (+2 more)"
88.png,16,13,2,11,14,0.1538,0.125,0.22,n/a,none,"Image: 88.png. GT=16, predicted=13, TP=2, FP=11, FN=14. Precision=0.15, recall=0.12, F1=0.22. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Saturated Fats 0.5 g [per_100ml]; Protein 8.0 g [per_100ml]; Fat 2.3 g [per_100ml]  (+6 more)"
90.png,17,19,6,13,11,0.3158,0.3529,0.38,n/a,none,"Image: 90.png. GT=17, predicted=19, TP=6, FP=13, FN=11. Precision=0.32, recall=0.35, F1=0.38. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat <0.1 g [per_100ml]; Saturated Fats <0.1 g [per_100ml]; Carbohydrate 10 g [per_100ml]  (+13 more)"
91.png,16,22,5,17,11,0.2273,0.3125,0.33,n/a,none,"Image: 91.png. GT=16, predicted=22, TP=5, FP=17, FN=11. Precision=0.23, recall=0.31, F1=0.33. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Saturated Fats 1.6 g [per_serving]; Carbohydrate 13 g [per_serving]; Sugars 11 g [per_serving]  (+12 more)"
101.png,11,11,9,2,2,0.8182,0.8182,0.82,n/a,none,"Image: 101.png. GT=11, predicted=11, TP=9, FP=2, FN=2. Precision=0.82, recall=0.82, F1=0.82. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1625 kj [per_100g]; Fat 0.8 g [per_100g]; Saturated Fats <0.1 g [per_100g]  (+8 more)"
102.png,18,22,7,15,11,0.3182,0.3889,0.54,n/a,none,"Image: 102.png. GT=18, predicted=22, TP=7, FP=15, FN=11. Precision=0.32, recall=0.39, F1=0.54. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1502 kj [per_100g]; Fat 7.7 g [per_100g]; Carbohydrate 63 g [per_100g]  (+10 more)"
103.jpeg,18,20,6,14,12,0.3,0.3333,0.35,n/a,none,"Image: 103.jpeg. GT=18, predicted=20, TP=6, FP=14, FN=12. Precision=0.30, recall=0.33, F1=0.35. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1383 kj [per_100g]; Saturated Fats 0.4 g [per_100g]; Carbohydrate 51 g [per_100g]  (+14 more)"
104.jpeg,18,19,6,13,12,0.3158,0.3333,0.4,n/a,none,"Image: 104.jpeg. GT=18, predicted=19, TP=6, FP=13, FN=12. Precision=0.32, recall=0.33, F1=0.40. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1528 kj [per_100g]; Saturated Fats 0.6 g [per_100g]; Carbohydrate 72 g [per_100g]  (+12 more)"
105.png,18,16,6,10,12,0.375,0.3333,0.46,n/a,none,"Image: 105.png. GT=18, predicted=16, TP=6, FP=10, FN=12. Precision=0.38, recall=0.33, F1=0.46. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1320 kj [per_100g]; Fat 2.7 g [per_100g]; Sugars 51.4 g [per_100g]  (+10 more)"
106.png,2,8,0,8,2,0.0,0.0,0.0,n/a,none,"Image: 106.png. GT=2, predicted=8, TP=0, FP=8, FN=2. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium 250 mg []; Vitamin E 12 mg a-te []"
107.png,10,16,5,11,5,0.3125,0.5,0.5,n/a,none,"Image: 107.png. GT=10, predicted=16, TP=5, FP=11, FN=5. Precision=0.31, recall=0.50, F1=0.50. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B1 1.1 mg [per_daily_dose]; Vitamin B2 1.4 mg [per_daily_dose]; Vitamin B6 1.4 mg [per_daily_dose]  (+7 more)"
108.jpeg,11,18,7,11,4,0.3889,0.6364,0.7,n/a,none,"Image: 108.jpeg. GT=11, predicted=18, TP=7, FP=11, FN=4. Precision=0.39, recall=0.64, F1=0.70. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium 240 mg [per_daily_dose]; Vitamin B1 1.1 mg [per_daily_dose]; Vitamin B2 1.4 mg [per_daily_dose]  (+7 more)"
109.jpeg,9,12,8,4,1,0.6667,0.8889,0.89,n/a,none,"Image: 109.jpeg. GT=9, predicted=12, TP=8, FP=4, FN=1. Precision=0.67, recall=0.89, F1=0.89. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 420 kj [per_100g]; Fat 0 g [per_100g]; Saturated Fats 0.2 g [per_100g]  (+6 more)"
110.jpeg,6,6,3,3,3,0.5,0.5,0.5,n/a,none,"Image: 110.jpeg. GT=6, predicted=6, TP=3, FP=3, FN=3. Precision=0.50, recall=0.50, F1=0.50. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Melissen Extrakt 15 mg [per_serving]; Niacin 8.0 mg ne [per_serving]; Pantothenic Acid 3.0 mg [per_serving]  (+3 more)"
111.jpeg,1,2,0,2,1,0.0,0.0,0.0,n/a,none,"Image: 111.jpeg. GT=1, predicted=2, TP=0, FP=2, FN=1. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B12 17.5 g [1 tagesdosis (8 ml)]"
112.jpeg,1,2,0,2,1,0.0,0.0,0.0,n/a,none,"Image: 112.jpeg. GT=1, predicted=2, TP=0, FP=2, FN=1. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B12 17.5 g [1 tagesdosis (8 ml)]"
113.jpeg,20,22,0,22,20,0.0,0.0,0.0,n/a,none,"Image: 113.jpeg. GT=20, predicted=22, TP=0, FP=22, FN=20. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 4.5 g [per_serving]; Fibre 1.9 g [per_serving]; Protein 72.7 g [per_serving]  (+11 more)"
114.jpeg,20,22,2,20,18,0.0909,0.1,0.13,n/a,none,"Image: 114.jpeg. GT=20, predicted=22, TP=2, FP=20, FN=18. Precision=0.09, recall=0.10, F1=0.13. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 462 kj [per_serving]; Caffeine 80 mg [per_serving]; Energy 1541 kj [per_serving]  (+12 more)"
115.png,9,16,5,11,4,0.3125,0.5556,0.62,n/a,none,"Image: 115.png. GT=9, predicted=16, TP=5, FP=11, FN=4. Precision=0.31, recall=0.56, F1=0.62. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 438 kj [per_100g]; Carbohydrate 12.0 g [per_100g]; Sugars 10.0 g [per_100g]  (+5 more)"
116.jpeg,18,15,6,9,12,0.4,0.3333,0.4,n/a,none,"Image: 116.jpeg. GT=18, predicted=15, TP=6, FP=9, FN=12. Precision=0.40, recall=0.33, F1=0.40. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 12.0 g [per_100g]; Saturated Fats 1.4 g [per_100g]; Carbohydrate 27.0 g [per_100g]  (+12 more)"
117.jpeg,9,7,1,6,8,0.1429,0.1111,0.14,n/a,none,"Image: 117.jpeg. GT=9, predicted=7, TP=1, FP=6, FN=8. Precision=0.14, recall=0.11, F1=0.14. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Salt 0.04 g [per_serving]; Energy 728 kj/kcal [per_serving]; Energy 173 kj/kcal [per_serving]  (+4 more)"
118.jpeg,20,14,0,14,20,0.0,0.0,0.0,n/a,none,"Image: 118.jpeg. GT=20, predicted=14, TP=0, FP=14, FN=20. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 38 g [per_100g]; Carbohydrate 3.2 g [per_100g]; Fibre 19 g [per_100g]  (+9 more)"
119.jpeg,20,11,0,11,20,0.0,0.0,0.0,n/a,none,"Image: 119.jpeg. GT=20, predicted=11, TP=0, FP=11, FN=20. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 24 g [per_100g]; Carbohydrate 3.2 g [per_100g]; Fibre 19 g [per_100g]  (+6 more)"
120.jpeg,26,67,10,57,16,0.1493,0.3846,0.4,n/a,none,"Image: 120.jpeg. GT=26, predicted=67, TP=10, FP=57, FN=16. Precision=0.15, recall=0.38, F1=0.40. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Inositol 100 mg [per_daily_dose]; Alpha-Liponsäure 42 mg [per_daily_dose]; Choline 20 mg [per_daily_dose]  (+22 more)"
121.jpeg,20,22,3,19,17,0.1364,0.15,0.23,n/a,none,"Image: 121.jpeg. GT=20, predicted=22, TP=3, FP=19, FN=17. Precision=0.14, recall=0.15, F1=0.23. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fibre 18 g [per_100g]; Protein 35 g [per_100g]; Salt 0.20 g [per_100g]  (+10 more)"
201.jpeg,16,14,0,14,16,0.0,0.0,0.0,n/a,none,"Image: 201.jpeg. GT=16, predicted=14, TP=0, FP=14, FN=16. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1642 kj [por 30go]; Protein 77 g [por 30go]; Salt 0.05 g [por 30go]  (+4 more)"
45_1.png,18,13,4,9,14,0.3077,0.2222,0.31,n/a,none,"Image: 45_1.png. GT=18, predicted=13, TP=4, FP=9, FN=14. Precision=0.31, recall=0.22, F1=0.31. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 0.1 g [per_100g]; Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]  (+10 more)"
45_2.png,8,7,4,3,4,0.5714,0.5,0.57,n/a,none,"Image: 45_2.png. GT=8, predicted=7, TP=4, FP=3, FN=4. Precision=0.57, recall=0.50, F1=0.57. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Carbohydrate 94 g [per_100g]; Protein 0.1 g [per_100g]  (+4 more)"
