image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,100,100,100,100,100
101.png,11,11,11,91,82,100,82,82
102.png,18,22,13,77,85,62,69,54
103.jpeg,18,20,17,59,82,53,47,35
104.jpeg,18,19,15,73,67,53,53,40
105.png,18,16,13,69,85,54,54,46
106.png,2,8,2,100,50,0,50,0
107.png,10,16,10,80,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,89,100,89,89
110.jpeg,6,6,6,100,100,50,100,50
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,22,14,36,79,43,36,0
114.jpeg,20,22,15,60,87,47,53,13
115.png,9,16,8,88,62,100,62,62
116.jpeg,18,15,15,100,80,53,80,40
117.jpeg,9,7,7,57,14,100,14,14
118.jpeg,20,14,12,0,75,67,0,0
119.jpeg,20,11,9,0,89,56,0,0
12.png,16,12,10,90,90,60,80,40
120.jpeg,26,67,25,88,52,68,48,40
121.jpeg,20,22,13,69,69,46,54,23
15.png,42,6,5,0,0,100,0,0
17.png,4,7,4,100,75,100,75,75
2.png,16,11,11,73,64,73,64,36
20.png,48,64,43,51,53,53,23,21
201.jpeg,16,14,7,100,86,0,86,0
26.png,8,7,7,14,71,100,14,14
27.png,13,21,12,75,67,100,25,25
30.png,18,17,15,100,40,47,40,20
33.png,26,29,23,74,91,57,74,48
34.png,40,61,39,62,85,51,49,41
35.jpeg,4,3,3,67,67,67,67,67
4.png,8,22,8,62,88,100,62,62
41.png,8,7,7,57,71,100,57,57
42.png,18,12,12,100,42,58,42,33
45_1.png,18,13,13,77,54,46,46,31
45_2.png,8,7,7,71,71,100,57,57
51.png,18,14,9,67,78,67,0,0
53.png,18,14,11,82,82,64,0,0
56.jpeg,10,6,4,50,100,50,50,50
57.jpeg,10,12,4,50,100,50,50,25
59.png,28,30,23,74,65,57,48,26
6.png,6,6,6,100,100,100,100,100
61.png,22,23,19,84,89,53,79,37
63.png,22,23,19,95,89,53,74,42
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,19,2,0,100,50,0,0
78.jpeg,2,5,2,0,0,0,0,0
8.png,18,11,11,36,36,27,9,0
82.jpeg,12,5,5,20,20,20,0,0
88.png,16,13,9,78,100,44,78,22
9.jpeg,4,7,4,75,100,50,75,25
90.png,17,19,16,75,75,50,62,38
91.png,16,22,15,87,80,47,73,33
