image_id,nutrient,quantity,unit,context
1.png,Magnesium (gesamt,400,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiumbisglycinat,350,mg,per_daily_dose
1.png,Magnesiummalat,333,mg,per_daily_dose
2.png,Energy,1195,,per_100g
2.png,Energy,837 (197,,per_100g
2.png,Fat,1616,,per_100g
2.png,Saturated Fats,,,per_100g
2.png,Carbohydrate,70,g,per_100g
2.png,Carbohydrate,50,g,per_100g
2.png,Sugars,33,g,per_100g
2.png,Sugars,25,g,per_100g
2.png,Protein,0,g,per_100g
2.png,Salt,0.43,g,per_100g
2.png,Salt,0.30,g,per_100g
4.png,Energy,,,per_100g
4.png,VALORE ENERGETICO,,,per_100g
4.png,VALOR ENERGETICO,,,per_100g
4.png,Energy,0,g,per_100g
4.png,Fat,0,g,per_100g
4.png,GRAISSES,0,g,per_100g
4.png,Saturated Fats,,,per_100g
4.png,DE LAS CUALES DONTACIDES WAARVAN HERAF MAETTEDE davon gesattigte,0,g,per_100g
4.png,Saturated Fats,0,g,per_100g
4.png,Fettsauren,0,g,per_100g
4.png,Fettsauren,56,g,per_100g
4.png,Carbohydrate,56,g,per_100g
4.png,Carbohydrate,6.7,g,per_100g
4.png,Sugars,6.7,g,per_100g
4.png,DOS QUAIS ACUCARES JOISTA SOKERETTA DELOSCUALESAZUCARES DONT SUCRES WAARVAN SUIKERS,6.7,g,per_100g
4.png,Protein,,,per_100g
4.png,proteines,,,per_100g
4.png,proteins,,,per_100g
4.png,PROTEINES,,,per_100g
4.png,Protein,0.12,g,per_100g
4.png,Salt,0.12,g,per_100g
4.png,Salt,,,per_100g
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,Energy,,,per_100g
8.png,Protein,2.2,g,per_100g
8.png,Protein,3.7,,per_100g
8.png,FAT: (g,4.8,g,per_100g
8.png,FAT: (g,7.9,,per_100g
8.png,Saturated Fats,,,per_100g
8.png,Carbohydrate,,,per_100g
8.png,Sugars,21271,g,per_100g
8.png,Sugars,2823232,g,per_100g
8.png,Fibre,,,per_100g
8.png,Sodium,,,per_100g
9.jpeg,Vitamin Czuachten,,,per_daily_dose
9.jpeg,Zinc,5,mg,per_daily_dose
9.jpeg,Zinc,30,mg,per_daily_dose
9.jpeg,Zinc,60,mg,per_daily_dose
9.jpeg,Vitamin C,5,mg,per_daily_dose
9.jpeg,Vitamin C,30,mg,per_daily_dose
9.jpeg,Vitamin C,60,mg,per_daily_dose
12.png,Energy,547,kj,per_100ml
12.png,Energy,328,kj,per_100ml
12.png,Energy,129,kcal,per_100ml
12.png,Energy,77,kcal,per_100ml
12.png,Fatten/ Rasva / Matiéres grasses / Fett/ Tlustcze / Fett,0.0,g,per_100ml
12.png,Carbohydrate,32,g,per_100ml
12.png,Carbohydrate,19,g,per_100ml
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,1.1,g,per_100ml
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,0.7,g,per_100ml
12.png,Sugars,,,per_100ml
12.png,Protein,0.1,g,per_100ml
12.png,Protein,0.0,g,per_100ml
15.png,Salt,,,per_100g
15.png,"sium 3571mg/150mg7.5%*/300mg15%*)Chloride4762mg/200mg25%/400 mg 50%,Calcium 1428",,,per_100g
